Q,A
가울테리아의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
가울테리아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
가울테리아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
가울테리아의 생장속도 알려 주세요.,생장속도는 느림 
가울테리아의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
가울테리아의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
가울테리아의 습도 알려 주세요.,습도는 40 에서 70% 
가울테리아의 비료 알려 주세요.,비료는 보통 요구함 
가울테리아의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 (Loam,Sand) "
가울테리아의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
개운죽의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
개운죽의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
개운죽의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
개운죽의 생장속도 알려 주세요.,생장속도는 보통 
개운죽의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
개운죽의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
개운죽의 습도 알려 주세요.,습도는 40 에서 70% 
개운죽의 비료 알려 주세요.,비료는 거의 요구하지않음 
개운죽의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
골드크레스트 '윌마'의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
골드크레스트 '윌마'의 광요구도 알려 주세요.,"광요구도는 높은 광도(1,500에서 10,000 Lux) "
골드크레스트 '윌마'의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
골드크레스트 '윌마'의 생장속도 알려 주세요.,생장속도는 보통 
골드크레스트 '윌마'의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
골드크레스트 '윌마'의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
