년,월,평균상대습도(%),최소상대습도(%),지역
 1980,03,63,26,서울특별시
 1980,04,65,23,서울특별시
 1980,05,65,28,서울특별시
 1980,06,76,27,서울특별시
 1980,07,80,41,서울특별시
 1980,08,76,39,서울특별시
 1980,09,66,29,서울특별시
 1981,03,61,24,서울특별시
 1981,04,66,24,서울특별시
 1981,05,69,27,서울특별시
 1981,06,67,31,서울특별시
 1981,07,82,46,서울특별시
 1981,08,76,31,서울특별시
 1981,09,72,35,서울특별시
 1982,03,61,26,서울특별시
 1982,04,53,23,서울특별시
 1982,05,68,22,서울특별시
 1982,06,67,32,서울특별시
 1982,07,73,32,서울특별시
 1982,08,81,44,서울특별시
 1982,09,61,24,서울특별시
 1983,03,60,9,서울특별시
 1983,04,57,15,서울특별시
 1983,05,62,22,서울특별시
 1983,06,65,24,서울특별시
 1983,07,88,49,서울특별시
 1983,08,79,40,서울특별시
 1983,09,77,33,서울특별시
 1984,03,60,14,서울특별시
 1984,04,62,19,서울특별시
 1984,05,64,23,서울특별시
 1984,06,71,22,서울특별시
 1984,07,86,41,서울특별시
 1984,08,86,43,서울특별시
 1984,09,77,34,서울특별시
 1985,03,63,23,서울특별시
 1985,04,62,15,서울특별시
 1985,05,67,18,서울특별시
 1985,06,76,30,서울특별시
 1985,07,89,43,서울특별시
 1985,08,87,49,서울특별시
 1985,09,83,37,서울특별시
 1986,03,68,34,서울특별시
 1986,04,56,18,서울특별시
 1986,05,66,28,서울특별시
 1986,06,77,22,서울특별시
 1986,07,88,53,서울특별시
 1986,08,86,51,서울특별시
 1986,09,78,32,서울특별시
 1987,03,74,33,서울특별시
 1987,04,64,19,서울특별시
 1987,05,67,24,서울특별시
 1987,06,69,29,서울특별시
 1987,07,87,41,서울특별시
 1987,08,90,54,서울특별시
 1987,09,74,30,서울특별시
 1988,03,54,23,서울특별시
 1988,04,59,21,서울특별시
 1988,05,56,19,서울특별시
 1988,06,74,35,서울특별시
 1988,07,87,52,서울특별시
 1988,08,80,51,서울특별시
 1988,09,72,44,서울특별시
 1989,03,66,25,서울특별시
 1989,04,54,26,서울특별시
 1989,05,70,28,서울특별시
 1989,06,74,31,서울특별시
 1989,07,86,53,서울특별시
 1989,08,79,49,서울특별시
 1989,09,79,45,서울특별시
 1990,03,65,26,서울특별시
 1990,04,64,19,서울특별시
 1990,05,74,30,서울특별시
 1990,06,81,34,서울특별시
 1990,07,85,58,서울특별시
 1990,08,80,49,서울특별시
 1990,09,78,45,서울특별시
 1991,03,64,22,서울특별시
 1991,04,56,21,서울특별시
 1991,05,60,21,서울특별시
 1991,06,70,25,서울특별시
 1991,07,84,45,서울특별시
 1991,08,71,27,서울특별시
 1991,09,70,28,서울특별시
 1992,03,58,14,서울특별시
 1992,04,59,12,서울특별시
 1992,05,65,20,서울특별시
 1992,06,66,27,서울특별시
