년,월,평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),지역
 1980,03,1009.6,1020.4,1029.5,1005.6,서울특별시
 1980,04,1005.9,1016.5,1025.7,1002.1,서울특별시
 1980,05,1001.4,1011.7,1021.5,995.1,서울특별시
 1980,06,998.9,1009.0,1020.4,998.0,서울특별시
 1980,07,996.3,1006.3,1013.9,995.5,서울특별시
 1980,08,998.8,1008.9,1015.6,1000.7,서울특별시
 1980,09,1003.9,1014.1,1024.0,994.4,서울특별시
 1981,03,1008.3,1019.1,1031.7,1000.7,서울특별시
 1981,04,1004.1,1014.6,1025.6,1006.2,서울특별시
 1981,05,1000.0,1010.4,1018.6,998.5,서울특별시
 1981,06,998.3,1008.4,1018.3,996.6,서울특별시
 1981,07,997.6,1007.6,1014.1,998.2,서울특별시
 1981,08,994.8,1004.8,1014.9,998.0,서울특별시
 1981,09,1003.5,1013.7,1023.5,995.9,서울특별시
 1982,03,1009.0,1019.8,1029.8,1006.6,서울특별시
 1982,04,1006.6,1017.0,1030.4,1009.0,서울특별시
 1982,05,1000.3,1010.5,1019.3,998.9,서울특별시
 1982,06,998.0,1008.0,1016.7,998.1,서울특별시
 1982,07,995.9,1005.8,1012.9,995.0,서울특별시
 1982,08,997.9,1007.8,1013.2,992.5,서울특별시
 1982,09,1004.2,1014.3,1021.9,1005.4,서울특별시
 1983,03,1008.6,1019.3,1032.2,1003.4,서울특별시
 1983,04,1002.4,1012.8,1024.6,1000.8,서울특별시
 1983,05,1001.5,1011.7,1025.4,997.8,서울특별시
 1983,06,998.0,1008.0,1014.9,1001.3,서울특별시
 1983,07,995.0,1004.9,1012.1,988.3,서울특별시
 1983,08,998.3,1008.1,1014.3,996.6,서울특별시
 1983,09,1002.1,1012.1,1018.9,1003.2,서울특별시
 1984,03,1008.6,1019.5,1027.6,1009.6,서울특별시
 1984,04,1006.7,1017.2,1026.8,999.3,서울특별시
 1984,05,1002.5,1012.6,1021.7,1003.0,서울특별시
 1984,06,997.0,1007.0,1015.6,989.3,서울특별시
 1984,07,994.9,1004.8,1011.6,994.6,서울특별시
 1984,08,999.2,1009.0,1015.4,989.9,서울특별시
 1984,09,1003.3,1013.4,1024.7,1000.4,서울특별시
 1985,03,1013.4,1024.2,1037.6,1007.0,서울특별시
 1985,04,1004.2,1014.7,1030.4,1003.1,서울특별시
 1985,05,1002.5,1012.7,1025.8,1002.9,서울특별시
 1985,06,999.1,1009.2,1015.5,999.3,서울특별시
 1985,07,996.6,1006.5,1016.2,994.5,서울특별시
 1985,08,998.3,1008.2,1016.7,992.6,서울특별시
 1985,09,1005.4,1015.6,1026.1,1006.4,서울특별시
 1986,03,1008.1,1018.9,1030.1,1005.3,서울특별시
 1986,04,1006.2,1016.6,1027.1,1007.0,서울특별시
 1986,05,999.3,1009.5,1018.3,999.8,서울특별시
 1986,06,997.2,1007.2,1018.4,993.1,서울특별시
 1986,07,998.3,1008.2,1014.0,996.6,서울특별시
 1986,08,996.9,1006.8,1014.6,974.7,서울특별시
 1986,09,1003.3,1013.4,1020.6,1004.3,서울특별시
 1987,03,1007.9,1018.7,1029.8,1006.7,서울특별시
 1987,04,1007.0,1017.6,1029.3,991.1,서울특별시
 1987,05,1003.5,1013.8,1023.2,998.3,서울특별시
 1987,06,998.9,1008.8,1016.0,999.9,서울특별시
 1987,07,995.7,1005.7,1014.0,984.3,서울특별시
 1987,08,997.3,1007.2,1017.3,991.1,서울특별시
 1987,09,1004.8,1014.9,1024.2,1002.8,서울특별시
