년,월,합계일조시간(hr),합계전천일사량(MJ/㎡),지역
 1980,03,207.1,443.75,서울특별시
 1980,04,156.8,443.81,서울특별시
 1980,05,241.2,565.53,서울특별시
 1980,06,163.6,451.19,서울특별시
 1980,07,72.8,347.39,서울특별시
 1980,08,76.4,355.11,서울특별시
 1980,09,196.6,441.83,서울특별시
 1981,03,224.7,394.6,서울특별시
 1981,04,216.1,420.26,서울특별시
 1981,05,211.5,384.52,서울특별시
 1981,06,217.7,397.34,서울특별시
 1981,07,149.8,346.93,서울특별시
 1981,08,175.6,357.61,서울특별시
 1981,09,212.3,369.12,서울특별시
 1982,03,226.4,421.41,서울특별시
 1982,04,252.4,517.82,서울특별시
 1982,05,194.7,444.35,서울특별시
 1982,06,242.0,568.4,서울특별시
 1982,07,203.8,466.83,서울특별시
 1982,08,129.1,149.83,서울특별시
 1982,09,252.7,199.45,서울특별시
 1983,03,209.7,378.42,서울특별시
 1983,04,203.9,422.04,서울특별시
 1983,05,245.3,525.6,서울특별시
 1983,06,255.6,558.47,서울특별시
 1983,07,83.5,283.05,서울특별시
 1983,08,169.5,419.43,서울특별시
 1983,09,173.8,364.84,서울특별시
 1984,03,213.7,388.83,서울특별시
 1984,04,204.1,421.35,서울특별시
 1984,05,271.1,542.33,서울특별시
 1984,06,199.3,435.05,서울특별시
 1984,07,163.6,390.8,서울특별시
 1984,08,151.4,342.2,서울특별시
 1984,09,187.9,420.98,서울특별시
 1985,03,221.9,436.16,서울특별시
 1985,04,213.4,480.46,서울특별시
 1985,05,215.6,525.46,서울특별시
 1985,06,200.4,529.72,서울특별시
 1985,07,158.4,445.81,서울특별시
 1985,08,149.3,425.71,서울특별시
 1985,09,119.1,333.86,서울특별시
 1986,03,218.7,431.08,서울특별시
 1986,04,249.2,570.03,서울특별시
 1986,05,246.1,608.52,서울특별시
 1986,06,186.9,474.71,서울특별시
 1986,07,120.5,375.08,서울특별시
 1986,08,151.9,431.5,서울특별시
 1986,09,188.6,452.89,서울특별시
 1987,03,188.4,415.17,서울특별시
 1987,04,202.3,474.53,서울특별시
 1987,05,251.3,607.16,서울특별시
 1987,06,222.2,570.19,서울특별시
 1987,07,102.1,361.52,서울특별시
 1987,08,128.7,380.18,서울특별시
 1987,09,225.6,458.6,서울특별시
 1988,03,222.0,460.79,서울특별시
 1988,04,252.0,541.87,서울특별시
 1988,05,240.8,632.75,서울특별시
 1988,06,214.3,564.27,서울특별시
 1988,07,100.8,363.65,서울특별시
 1988,08,202.8,471.5,서울특별시
 1988,09,212.7,199.91,서울특별시
 1989,03,190.2,365.84,서울특별시
 1989,04,247.3,521.67,서울특별시
 1989,05,241.3,557.45,서울특별시
 1989,06,204.4,502.39,서울특별시
 1989,07,150.7,394.54,서울특별시
 1989,08,201.8,444.03,서울특별시
 1989,09,177.2,331.11,서울특별시
 1990,03,165.2,294.98,서울특별시
 1990,04,187.2,375.82,서울특별시
 1990,05,151.7,360.33,서울특별시
 1990,06,108.4,286.51,서울특별시
 1990,07,116.8,285.76,서울특별시
 1990,08,210.3,395.0,서울특별시
 1990,09,170.0,311.72,서울특별시
 1991,03,179.5,347.09,서울특별시
 1991,04,253.5,491.56,서울특별시
 1991,05,244.0,510.01,서울특별시
 1991,06,192.1,464.1,서울특별시
 1991,07,117.7,315.68,서울특별시
 1991,08,203.7,438.23,서울특별시
 1991,09,183.7,344.45,서울특별시
 1992,03,176.7,320.47,서울특별시
 1992,04,206.6,419.52,서울특별시
 1992,05,237.2,506.86,서울특별시
 1992,06,241.5,524.61,서울특별시
 1992,07,115.0,330.02,서울특별시
 1992,08,170.4,401.02,서울특별시
 1992,09,174.6,356.12,서울특별시
 1993,03,176.3,343.4,서울특별시
 1993,04,185.3,429.58,서울특별시
 1993,05,233.8,503.35,서울특별시
 1993,06,140.0,385.19,서울특별시
 1993,07,161.8,397.12,서울특별시
 1993,08,170.6,381.15,서울특별시
 1993,09,237.5,408.9,서울특별시
 1994,03,215.7,400.03,서울특별시
 1994,04,222.0,472.04,서울특별시
 1994,05,215.3,504.51,서울특별시
 1994,06,217.9,487.65,서울특별시
 1994,07,191.5,416.29,서울특별시
 1994,08,205.6,410.63,서울특별시
 1994,09,231.6,437.8,서울특별시
 1995,03,153.1,303.61,서울특별시
 1995,04,239.8,462.88,서울특별시
 1995,05,225.5,484.53,서울특별시
 1995,06,202.7,454.87,서울특별시
 1995,07,146.7,327.43,서울특별시
 1995,08,137.3,293.85,서울특별시
 1995,09,195.0,349.02,서울특별시
 1996,03,189.8,340.85,서울특별시
 1996,04,247.4,514.35,서울특별시
 1996,05,264.0,559.7,서울특별시
 1996,06,129.5,340.72,서울특별시
 1996,07,146.2,379.15,서울특별시
 1996,08,140.7,364.94,서울특별시
 1996,09,211.0,412.08,서울특별시
 1997,03,226.3,404.6,서울특별시
 1997,04,227.1,467.49,서울특별시
 1997,05,173.4,420.49,서울특별시
 1997,06,227.8,504.42,서울특별시
 1997,07,168.4,383.83,서울특별시
 1997,08,206.0,446.41,서울특별시
 1997,09,203.2,376.13,서울특별시
 1998,03,220.9,383.36,서울특별시
 1998,04,164.6,367.92,서울특별시
 1998,05,214.8,478.23,서울특별시
 1998,06,163.7,408.43,서울특별시
 1998,07,137.2,354.89,서울특별시
 1998,08,114.1,298.17,서울특별시
 1998,09,197.3,348.55,서울특별시
 1999,03,197.7,371.46,서울특별시
 1999,04,228.1,463.18,서울특별시
 1999,05,235.1,510.45,서울특별시
 1999,06,217.5,518.74,서울특별시
 1999,07,130.4,401.04,서울특별시
 1999,08,161.4,396.61,서울특별시
 1999,09,119.9,302.32,서울특별시
 2000,03,152.8,389.5,서울특별시
 2000,04,156.6,440.9,서울특별시
 2000,05,138.3,443.69,서울특별시
 2000,06,133.0,443.37,서울특별시
 2000,07,108.2,398.51,서울특별시
 2000,08,112.8,350.5,서울특별시
 2000,09,116.4,317.17,서울특별시
 2001,03,151.0,396.53,서울특별시
 2001,04,177.8,492.04,서울특별시
 2001,05,163.1,504.43,서울특별시
 2001,06,100.9,359.31,서울특별시
 2001,07,82.4,322.67,서울특별시
 2001,08,168.7,431.66,서울특별시
 2001,09,179.6,405.66,서울특별시
 2002,03,128.6,455.61,서울특별시
 2002,04,172.4,539.06,서울특별시
 2002,05,175.0,569.16,서울특별시
 2002,06,162.9,568.18,서울특별시
 2002,07,84.1,398.92,서울특별시
 2002,08,52.4,314.8,서울특별시
 2002,09,119.4,391.8,서울특별시
 2003,03,104.3,391.06,서울특별시
 2003,04,125.8,440.66,서울특별시
 2003,05,170.7,586.05,서울특별시
 2003,06,101.8,422.35,서울특별시
 2003,07,86.6,420.74,서울특별시
 2003,08,83.0,391.98,서울특별시
 2003,09,100.4,373.37,서울특별시
 2004,03,221.6,465.92,서울특별시
 2004,04,210.3,516.08,서울특별시
 2004,05,166.9,507.25,서울특별시
