년,월,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm),지역
 1980,03,5.2,10.8,1.0,32.8,서울특별시
 1980,04,10.1,15.3,5.7,216.7,서울특별시
 1980,05,16.5,22.1,11.6,90.3,서울특별시
 1980,06,21.6,26.5,17.5,118.8,서울특별시
 1980,07,22.7,26.7,19.9,259.2,서울특별시
 1980,08,22.8,26.7,19.9,331.5,서울특별시
 1980,09,19.6,24.9,15.2,58.3,서울특별시
 1981,03,5.7,11.5,1.0,55.4,서울특별시
 1981,04,11.9,17.8,7.0,55.4,서울특별시
 1981,05,15.9,20.9,11.6,80.8,서울특별시
 1981,06,21.8,26.8,17.5,109.1,서울특별시
 1981,07,25.4,29.3,22.5,463.8,서울특별시
 1981,08,24.5,28.7,21.1,192.9,서울특별시
 1981,09,20.0,25.0,15.8,129.0,서울특별시
 1982,03,5.9,10.9,1.7,46.0,서울특별시
 1982,04,12.3,18.1,7.5,8.1,서울특별시
 1982,05,17.9,22.9,13.7,134.6,서울특별시
 1982,06,21.9,27.3,17.4,15.7,서울특별시
 1982,07,25.1,30.1,21.3,195.5,서울특별시
 1982,08,25.4,29.2,22.4,255.8,서울특별시
 1982,09,20.8,26.3,15.5,4.8,서울특별시
 1983,03,6.4,11.3,2.0,67.5,서울특별시
 1983,04,13.6,19.0,8.4,113.4,서울특별시
 1983,05,18.5,23.7,13.3,69.0,서울특별시
 1983,06,22.2,27.9,17.4,27.4,서울특별시
 1983,07,23.6,26.8,21.0,398.6,서울특별시
 1983,08,26.0,30.0,22.9,132.2,서울특별시
 1983,09,22.0,26.1,18.5,253.4,서울특별시
 1984,03,2.5,7.3,-1.3,11.4,서울특별시
 1984,04,12.1,17.9,7.4,41.8,서울특별시
 1984,05,18.2,24.0,13.5,35.2,서울특별시
 1984,06,22.6,27.7,18.4,105.5,서울특별시
 1984,07,25.2,29.5,22.0,269.9,서울특별시
 1984,08,26.3,30.5,23.3,330.9,서울특별시
 1984,09,20.1,25.0,16.3,348.1,서울특별시
 1985,03,4.3,9.5,0.4,57.8,서울특별시
 1985,04,11.6,17.8,6.5,69.0,서울특별시
 1985,05,18.1,23.6,13.3,177.4,서울특별시
 1985,06,22.1,27.3,18.0,85.4,서울특별시
 1985,07,25.3,29.2,22.1,185.2,서울특별시
 1985,08,26.3,30.4,23.1,438.9,서울특별시
 1985,09,20.2,23.9,17.3,171.7,서울특별시
 1986,03,4.9,10.2,0.7,44.3,서울특별시
 1986,04,11.9,17.8,6.8,20.6,서울특별시
 1986,05,17.1,22.5,12.4,71.5,서울특별시
 1986,06,21.9,26.3,18.2,117.1,서울특별시
 1986,07,23.5,27.0,20.5,351.8,서울특별시
 1986,08,24.5,28.3,21.2,370.3,서울특별시
 1986,09,19.9,24.7,15.8,101.0,서울특별시
 1987,03,4.0,8.6,0.1,34.2,서울특별시
 1987,04,10.8,16.3,6.0,55.3,서울특별시
 1987,05,17.0,22.4,12.1,126.6,서울특별시
 1987,06,22.4,27.1,17.8,130.3,서울특별시
 1987,07,23.7,27.1,20.9,651.2,서울특별시
 1987,08,24.4,28.1,21.6,521.8,서울특별시
 1987,09,20.1,25.2,15.6,61.1,서울특별시
 1988,03,4.3,8.8,0.1,31.3,서울특별시
 1988,04,11.3,16.6,6.7,60.5,서울특별시
 1988,05,17.9,23.4,13.0,42.8,서울특별시
 1988,06,22.3,27.3,18.2,73.7,서울특별시
 1988,07,24.4,27.8,21.6,382.3,서울특별시
 1988,08,26.4,31.0,22.8,81.3,서울특별시
 1988,09,21.4,26.5,16.9,39.7,서울특별시
 1989,03,6.1,10.7,2.3,116.7,서울특별시
 1989,04,14.3,20.5,8.8,14.0,서울특별시
 1989,05,17.9,23.4,13.3,41.1,서울특별시
 1989,06,21.2,26.2,16.9,177.1,서울특별시
 1989,07,24.5,28.5,21.2,343.5,서울특별시
 1989,08,25.5,29.7,21.7,329.4,서울특별시
 1989,09,20.7,25.1,16.9,101.2,서울특별시
 1990,03,7.2,11.5,3.6,92.3,서울특별시
 1990,04,11.3,16.3,6.7,94.2,서울특별시
 1990,05,16.2,21.0,12.2,122.8,서울특별시
 1990,06,20.7,24.6,17.4,497.2,서울특별시
 1990,07,24.9,28.4,22.0,486.5,서울특별시
 1990,08,26.4,30.9,22.8,283.5,서울특별시
 1990,09,21.1,25.7,17.0,570.1,서울특별시
 1991,03,4.9,9.6,0.7,65.5,서울특별시
 1991,04,13.0,19.1,7.6,48.5,서울특별시
 1991,05,17.5,22.8,12.7,83.2,서울특별시
 1991,06,22.6,27.6,18.3,81.8,서울특별시
 1991,07,24.3,27.8,21.4,487.8,서울특별시
 1991,08,25.5,30.0,21.6,68.2,서울특별시
 1991,09,21.1,25.5,17.3,175.2,서울특별시
 1992,03,7.6,12.2,3.5,11.2,서울특별시
 1992,04,12.0,17.5,7.1,76.5,서울특별시
 1992,05,16.4,21.9,11.7,155.5,서울특별시
 1992,06,20.9,26.0,16.4,99.6,서울특별시
 1992,07,24.8,28.4,22.0,270.1,서울특별시
 1992,08,24.8,28.9,21.4,418.8,서울특별시
 1992,09,20.9,25.1,16.9,168.5,서울특별시
 1993,03,5.8,10.5,1.9,29.2,서울특별시
 1993,04,10.6,15.8,6.3,85.5,서울특별시
 1993,05,18.2,23.8,13.3,135.7,서울특별시
 1993,06,21.3,25.8,17.8,198.2,서울특별시
 1993,07,23.3,27.6,19.8,424.4,서울특별시
 1993,08,23.2,27.5,19.8,197.8,서울특별시
 1993,09,21.2,26.3,16.9,56.1,서울특별시
 1994,03,4.0,8.9,-0.1,31.7,서울특별시
 1994,04,15.2,21.4,10.0,44.9,서울특별시
 1994,05,17.9,23.1,13.4,152.4,서울특별시
 1994,06,22.8,28.2,18.1,85.0,서울특별시
 1994,07,28.5,32.6,25.3,139.5,서울특별시
 1994,08,27.6,31.9,24.4,232.7,서울특별시
 1994,09,21.0,26.1,16.7,60.7,서울특별시
 1995,03,6.0,10.3,2.2,60.6,서울특별시
 1995,04,11.3,16.7,6.5,44.4,서울특별시
 1995,05,17.1,22.1,12.1,60.6,서울특별시
 1995,06,21.6,26.3,17.5,70.7,서울특별시
 1995,07,24.5,27.8,21.7,436.1,서울특별시
 1995,08,26.0,29.2,23.4,786.6,서울특별시
 1995,09,20.0,24.5,15.7,47.2,서울특별시
 1996,03,4.9,9.5,1.0,77.9,서울특별시
 1996,04,10.2,15.1,5.9,62.0,서울특별시
 1996,05,18.4,24.2,13.3,29.3,서울특별시
 1996,06,22.3,26.5,19.1,249.7,서울특별시
 1996,07,24.4,28.3,21.2,512.8,서울특별시
 1996,08,26.0,29.8,22.9,132.4,서울특별시
 1996,09,22.0,27.3,17.5,11.0,서울특별시
 1997,03,6.8,11.8,2.5,25.3,서울특별시
 1997,04,13.0,18.1,8.4,56.1,서울특별시
 1997,05,17.0,21.5,12.9,291.3,서울특별시
 1997,06,23.4,28.5,18.9,110.0,서울특별시
 1997,07,26.1,30.1,22.8,299.6,서울특별시
 1997,08,26.8,31.3,23.2,117.2,서울특별시
 1997,09,20.2,25.4,15.7,76.9,서울특별시
 1998,03,7.3,12.5,2.8,45.1,서울특별시
 1998,04,15.6,20.9,11.1,120.2,서울특별시
 1998,05,19.0,24.3,14.0,121.5,서울특별시
 1998,06,21.9,26.4,18.0,234.1,서울특별시
 1998,07,24.9,28.6,21.9,311.8,서울특별시
 1998,08,25.0,28.8,22.1,1237.8,서울특별시
 1998,09,23.0,27.8,19.0,177.9,서울특별시
 1999,03,6.7,11.7,1.6,55.0,서울특별시
 1999,04,13.9,19.3,8.7,97.2,서울특별시
 1999,05,17.5,22.7,12.4,109.7,서울특별시
 1999,06,23.1,28.3,18.5,131.8,서울특별시
 1999,07,25.9,30.0,22.3,230.4,서울특별시
 1999,08,26.0,30.2,22.3,600.5,서울특별시
 1999,09,22.9,27.0,19.4,377.3,서울특별시
 2000,03,6.3,11.4,1.7,3.1,서울특별시
 2000,04,11.9,16.9,7.3,30.7,서울특별시
 2000,05,17.5,22.7,12.9,75.2,서울특별시
 2000,06,23.7,29.2,19.1,68.1,서울특별시
 2000,07,26.8,31.0,23.1,114.7,서울특별시
 2000,08,26.2,30.0,22.9,599.4,서울특별시
 2000,09,20.7,24.8,17.1,178.5,서울특별시
 2001,03,5.0,9.6,0.9,18.1,서울특별시
 2001,04,13.6,19.2,8.7,12.3,서울특별시
 2001,05,19.1,24.7,14.8,16.5,서울특별시
 2001,06,22.5,27.1,19.2,157.4,서울특별시
 2001,07,25.9,29.9,22.9,698.4,서울특별시
 2001,08,26.5,30.8,22.8,252.0,서울특별시
 2001,09,22.5,27.5,17.9,49.3,서울특별시
 2002,03,7.6,12.4,3.6,31.5,서울특별시
 2002,04,13.6,18.6,8.8,155.1,서울특별시
 2002,05,18.2,23.5,13.3,58.0,서울특별시
 2002,06,22.2,27.3,17.9,61.4,서울특별시
 2002,07,25.2,28.8,22.2,220.6,서울특별시
 2002,08,24.2,27.5,21.4,688.0,서울특별시
 2002,09,21.6,26.1,17.8,61.1,서울특별시
 2003,03,6.5,10.6,2.9,26.8,서울특별시
 2003,04,13.2,17.9,9.0,139.6,서울특별시
 2003,05,19.6,25.0,14.4,106.0,서울특별시
 2003,06,21.5,25.8,18.0,156.0,서울특별시
 2003,07,23.8,27.7,20.7,469.8,서울특별시
 2003,08,24.1,27.6,21.3,684.2,서울특별시
 2003,09,20.9,24.9,17.5,258.2,서울특별시
 2004,03,6.3,11.1,2.1,27.6,서울특별시
 2004,04,13.1,18.3,8.5,74.1,서울특별시
 2004,05,17.6,22.2,13.7,168.5,서울특별시
 2004,06,23.2,27.7,19.3,138.1,서울특별시
 2004,07,24.8,27.7,22.3,510.7,서울특별시
 2004,08,26.1,30.2,22.8,193.3,서울특별시
 2004,09,21.7,26.3,17.8,198.7,서울특별시
 2005,03,4.1,8.8,0.2,12.5,서울특별시
 2005,04,13.2,18.1,8.9,94.7,서울특별시
 2005,05,17.7,22.9,13.0,85.8,서울특별시
 2005,06,22.7,27.3,19.1,168.5,서울특별시
 2005,07,25.3,28.8,22.7,269.4,서울특별시
 2005,08,25.1,28.7,22.4,285.0,서울특별시
 2005,09,21.8,25.7,18.6,313.3,서울특별시
 2006,03,5.2,9.9,0.9,14.0,서울특별시
 2006,04,11.6,16.2,7.7,51.8,서울특별시
 2006,05,18.4,23.4,14.0,156.2,서울특별시
 2006,06,21.8,26.3,18.1,168.5,서울특별시
 2006,07,23.1,26.0,20.9,1014.0,서울특별시
 2006,08,27.0,31.1,23.9,121.2,서울특별시
 2006,09,21.1,25.7,16.9,11.1,서울특별시
 2007,03,6.1,10.3,2.3,123.5,서울특별시
 2007,04,11.4,16.1,7.5,41.1,서울특별시
 2007,05,18.1,23.4,13.6,137.6,서울특별시
 2007,06,23.2,27.7,19.2,54.5,서울특별시
 2007,07,24.2,27.8,21.3,274.1,서울특별시
 2007,08,26.5,29.9,23.8,237.6,서울특별시
 2007,09,21.5,25.1,18.6,241.9,서울특별시
 2008,03,7.3,11.9,3.7,53.9,서울특별시
 2008,04,14.1,19.5,9.3,38.5,서울특별시
 2008,05,17.7,22.7,13.1,97.7,서울특별시
 2008,06,21.5,26.1,17.6,165.0,서울특별시
 2008,07,25.1,28.4,22.6,530.8,서울특별시
 2008,08,25.3,29.5,21.8,251.2,서울특별시
 2008,09,22.0,26.9,18.0,99.2,서울특별시
 2009,03,6.0,10.6,1.8,63.9,서울특별시
 2009,04,12.7,18.0,8.1,66.5,서울특별시
 2009,05,19.1,24.3,14.6,109.0,서울특별시
 2009,06,22.4,26.7,18.8,132.0,서울특별시
 2009,07,24.3,28.2,21.0,659.4,서울특별시
 2009,08,25.7,29.5,22.4,285.3,서울특별시
 2009,09,21.8,26.3,17.7,64.5,서울특별시
 2010,03,4.3,8.1,0.5,82.5,서울특별시
 2010,04,9.5,14.0,5.6,62.8,서울특별시
 2010,05,17.2,22.0,13.0,124.0,서울특별시
 2010,06,23.4,28.2,19.3,127.6,서울특별시
 2010,07,25.8,29.3,23.1,239.2,서울특별시
 2010,08,26.5,30.0,23.8,598.7,서울특별시
 2010,09,21.8,26.0,18.5,671.5,서울특별시
 2011,03,3.6,8.3,-0.1,14.6,서울특별시
 2011,04,10.7,15.6,6.8,110.1,서울특별시
 2011,05,17.9,23.0,13.6,53.4,서울특별시
 2011,06,22.0,26.6,18.4,404.5,서울특별시
 2011,07,24.6,28.0,22.0,1131.0,서울특별시
 2011,08,25.8,29.5,23.0,166.8,서울특별시
 2011,09,21.8,26.6,17.7,25.6,서울특별시
 2012,03,5.1,9.5,1.5,47.4,서울특별시
 2012,04,12.3,17.9,7.8,157.0,서울특별시
 2012,05,19.7,25.1,15.4,8.2,서울특별시
 2012,06,24.1,29.7,20.0,91.9,서울특별시
 2012,07,25.4,29.0,22.4,448.9,서울특별시
 2012,08,27.1,30.9,23.9,464.9,서울특별시
 2012,09,21.0,25.0,17.4,212.0,서울특별시
 2013,03,5.1,10.8,0.7,27.3,서울특별시
 2013,04,10.0,15.0,5.7,71.7,서울특별시
 2013,05,18.2,23.6,13.7,132.0,서울특별시
 2013,06,24.4,29.2,20.5,28.3,서울특별시
 2013,07,25.5,28.3,23.4,676.2,서울특별시
 2013,08,27.7,31.1,24.8,148.6,서울특별시
 2013,09,21.8,25.9,18.0,138.5,서울특별시
 2014,03,7.9,13.1,3.5,7.2,서울특별시
 2014,04,14.0,19.6,9.4,31.0,서울특별시
 2014,05,18.9,25.3,13.8,63.0,서울특별시
 2014,06,23.1,27.8,19.7,98.1,서울특별시
 2014,07,26.1,30.6,22.9,207.9,서울특별시
 2014,08,25.2,29.0,22.1,172.8,서울특별시
 2014,09,22.1,27.0,18.0,88.1,서울특별시
 2015,03,6.3,12.4,1.0,9.6,서울특별시
 2015,04,13.3,18.8,8.4,80.5,서울특별시
 2015,05,18.9,24.9,13.6,28.9,서울특별시
 2015,06,23.6,29.5,18.9,99.0,서울특별시
 2015,07,25.8,30.0,22.6,226.0,서울특별시
 2015,08,26.3,30.8,22.8,72.9,서울특별시
 2015,09,22.4,28.1,17.5,26.0,서울특별시
 2016,03,7.0,12.6,2.4,40.5,서울특별시
 2016,04,14.1,20.3,9.1,76.8,서울특별시
 2016,05,19.6,25.7,14.1,160.5,서울특별시
 2016,06,23.6,28.7,19.5,54.4,서울특별시
 2016,07,26.2,29.8,23.3,358.2,서울특별시
 2016,08,28.0,32.6,24.5,67.1,서울특별시
 2016,09,23.1,27.9,19.3,33.0,서울특별시
 2017,03,6.3,12.3,1.7,7.9,서울특별시
 2017,04,13.9,20.0,9.1,61.6,서울특별시
 2017,05,19.5,25.4,14.4,16.1,서울특별시
 2017,06,23.3,28.8,18.7,66.6,서울특별시
 2017,07,26.9,30.4,24.3,621.0,서울특별시
 2017,08,25.9,29.7,22.9,297.0,서울특별시
 2017,09,22.1,27.4,17.5,35.0,서울특별시
 2018,03,8.1,13.6,3.8,49.5,서울특별시
