"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",5.6,11.6,21.5,-0.6,-4.5,14.2,37.0,7.0,1020.9,-9.5,-,247.1,-,2.6,5.4,9.7
"2011","4월",12.4,19.2,28.3,5.7,-0.6,74.7,43.0,5.0,1014.1,-1.8,-,221.3,-,2.2,4.6,8.5
"2011","5월",17.9,23.8,28.0,12.1,7.9,114.4,56.0,10.0,1011.4,7.6,-,183.0,-,1.7,4.2,7.6
"2011","6월",23.4,29.1,34.1,17.9,14.8,133.4,64.0,21.0,1007.1,15.2,-,195.2,-,1.5,3.5,6.6
"2011","7월",25.9,30.3,33.8,22.4,19.2,317.5,74.0,37.0,1006.6,20.7,-,114.8,-,1.4,3.5,6.9
"2011","8월",25.1,29.5,34.2,21.8,16.6,262.0,80.0,39.0,1009.3,21.1,-,99.3,-,1.0,3.1,5.8
"2011","9월",21.0,26.6,33.8,16.5,9.1,44.2,73.0,24.0,1012.8,15.3,-,144.8,-,1.3,3.1,6.0
"2012","3월",6.4,11.7,21.5,1.5,-5.0,76.6,56.0,15.0,1019.5,-2.9,…,204.1,…,2.2,4.7,8.6
"2012","4월",13.7,20.6,29.9,6.9,0.1,84.5,53.0,14.0,1013.6,2.7,…,244.3,…,2.2,5.1,9.3
"2012","5월",19.0,25.5,30.0,13.0,8.2,55.6,59.0,16.0,1011.5,9.4,…,242.7,…,1.6,3.8,6.7
"2012","6월",22.5,27.8,31.6,17.8,14.2,82.9,67.0,28.0,1008.1,15.4,…,183.9,…,1.6,3.5,6.3
"2012","7월",26.2,30.9,35.9,22.1,19.0,245.5,75.0,36.0,1006.3,20.9,…,206.6,…,1.5,3.3,6.3
"2012","8월",26.6,31.4,36.4,22.8,18.7,285.9,76.0,37.0,1009.3,21.5,…,172.2,…,1.5,3.6,6.8
"2012","9월",20.0,25.6,29.5,15.8,9.2,336.0,77.0,30.0,1013.9,15.5,…,194.8,…,1.3,3.3,5.7
"2013","3월",7.7,15.5,27.0,0.5,-4.4,35.5,48.0,10.0,1017.1,-3.8,-,257.2,-,2.1,8.2,12.9
"2013","4월",11.1,17.8,29.0,4.7,-2.0,87.1,54.0,16.0,1013.2,0.8,-,249.1,-,2.3,7.6,15.3
"2013","5월",19.2,26.0,33.1,12.5,6.3,91.2,60.0,19.0,1011.9,10.0,-,273.5,-,1.7,5.8,11.1
"2013","6월",23.7,29.2,32.7,19.1,13.6,69.7,69.0,29.0,1008.2,17.0,-,210.9,-,1.5,5.4,11.9
"2013","7월",27.0,31.9,34.8,23.0,20.7,174.8,77.0,36.0,1006.1,22.1,-,191.6,-,1.3,5.9,12.2
"2013","8월",27.5,33.3,36.7,23.2,18.9,170.8,75.0,38.0,1007.2,22.2,-,257.5,-,1.2,7.3,13.3
"2013","9월",21.1,26.8,31.0,16.7,9.1,119.4,76.0,25.0,1015.4,16.2,-,182.8,-,1.1,6.3,10.1
"2014","3월",8.4,14.8,25.3,2.2,-3.8,85.5,58.0,15.0,1019.7,-0.8,…,206.0,…,1.8,6.4,11.1
"2014","4월",14.5,21.4,27.7,8.0,0.9,107.9,53.0,14.0,1017.0,3.5,…,225.8,…,1.7,6.6,11.6
"2014","5월",19.8,27.2,36.7,12.2,4.8,19.0,52.0,15.0,1010.9,8.1,…,305.4,…,2.0,7.0,14.0
"2014","6월",22.9,28.1,32.6,18.3,15.3,108.8,66.0,28.0,1006.7,15.4,…,178.0,…,1.6,4.9,9.9
"2014","7월",26.0,31.2,36.2,21.6,18.5,174.0,72.0,33.0,1007.5,19.9,…,192.0,…,1.5,5.8,10.9
"2014","8월",23.9,28.1,33.5,20.8,14.9,427.5,80.0,42.0,1008.6,19.9,…,121.4,…,1.3,4.9,10.2
"2014","9월",21.0,27.0,30.7,16.4,11.2,111.1,75.0,26.0,1013.8,15.8,…,191.8,…,1.2,4.3,7.9
"2015","3월",7.8,14.9,23.5,1.1,-5.3,50.0,48.0,10.0,1020.9,-4.2,…,250.0,…,2.1,8.3,14.9
"2015","4월",13.6,19.9,29.7,7.8,3.6,81.8,65.0,14.0,1016.4,5.6,…,177.8,…,1.6,8.6,14.4
"2015","5월",20.7,27.5,34.0,13.3,7.1,25.0,51.0,16.0,1009.6,8.5,…,303.7,…,1.8,7.3,12.5
"2015","6월",23.3,29.0,33.6,17.8,11.5,66.5,63.0,16.0,1007.2,14.8,…,191.3,…,1.4,7.3,11.9
"2015","7월",25.1,29.8,35.5,21.3,16.1,154.4,79.0,32.0,1007.4,20.8,…,183.4,…,1.3,4.7,11.6
"2015","8월",25.5,31.0,36.8,21.4,17.6,102.9,83.0,36.0,1008.6,22.0,…,185.0,…,1.1,5.6,11.7
"2015","9월",20.4,26.4,29.5,15.3,11.5,75.3,79.0,24.0,1014.4,16.0,…,192.3,…,1.1,4.7,10.7
"2016","3월",8.3,14.5,22.6,2.4,-6.2,50.5,56.0,5.0,1021.3,-1.7,-,195.8,-,1.3,4.4,7.6
"2016","4월",14.9,21.4,27.4,9.0,3.9,163.7,64.0,8.0,1013.7,6.4,-,174.3,-,1.3,9.2,16.6
