"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",4.9,10.7,21.2,-0.3,-5.3,15.0,39.5,17.9,1021.1,-9.2,2.7,256.1,-,2.9,6.4,10.9
"2011","4월",11.5,17.9,26.4,5.4,-1.4,75.1,48.7,23.3,1014.4,-1.3,-,206.5,-,2.3,5.3,9.6
"2011","5월",17.3,23.4,28.8,11.7,7.5,144.4,62.5,35.2,1011.6,8.5,-,175.8,-,1.7,4.1,7.9
"2011","6월",22.6,28.4,32.9,17.5,14.2,271.0,66.9,41.4,1006.9,15.1,-,187.3,-,1.4,3.5,6.9
"2011","7월",24.9,29.1,33.7,21.9,19.0,283.4,85.1,65.7,1006.3,21.9,-,93.0,-,1.1,2.9,5.9
"2011","8월",24.7,29.3,33.2,21.6,16.8,198.8,86.7,64.8,1009.0,22.0,-,84.3,-,1.0,2.6,5.6
"2011","9월",19.9,25.5,32.8,15.3,7.2,59.0,77.9,50.1,1012.7,15.2,-,145.5,-,1.0,2.6,5.2
"2012","3월",5.5,10.5,19.9,0.8,-5.7,74.0,53.0,30.0,1019.4,-5.2,-,192.7,-,2.5,5.8,10.1
"2012","4월",12.9,19.5,28.9,6.7,-1.1,81.4,49.0,23.0,1013.4,0.4,-,229.1,-,2.4,5.4,10.0
"2012","5월",18.5,25.0,29.1,12.9,8.8,63.8,57.0,30.0,1011.3,8.1,-,244.8,-,1.4,3.5,6.7
"2012","6월",21.9,27.4,31.4,17.4,13.6,55.7,69.0,42.0,1007.8,15.3,-,186.6,-,1.2,2.9,6.0
"2012","7월",25.3,29.8,35.0,21.7,18.9,271.8,78.0,58.0,1006.1,20.8,-,199.8,-,1.2,3.0,6.0
"2012","8월",25.5,30.3,35.5,22.1,17.7,324.3,79.0,61.0,1009.1,21.2,-,158.5,-,1.1,3.0,6.1
"2012","9월",19.0,24.6,28.2,15.0,8.0,303.1,80.0,53.0,1013.8,15.0,-,166.0,-,1.0,2.9,5.8
"2013","3월",6.7,14.1,25.9,-0.1,-4.4,43.1,49.0,9.0,1017.1,-4.8,-,257.9,-,2.3,9.5,16.3
"2013","4월",10.1,16.7,28.8,4.0,-1.5,71.4,54.0,9.0,1013.1,-0.1,-,235.4,-,2.4,8.8,16.3
"2013","5월",18.4,25.4,31.7,12.0,4.8,105.6,60.0,14.0,1011.6,9.3,-,269.5,-,1.6,6.3,12.8
"2013","6월",22.9,28.7,31.9,18.4,13.4,125.7,72.0,30.0,1008.0,17.2,-,215.9,-,1.1,4.3,8.1
"2013","7월",26.2,31.2,34.6,22.7,21.1,157.2,77.0,45.0,1005.8,21.5,-,168.6,-,1.2,8.7,17.4
"2013","8월",26.7,32.7,35.6,22.4,18.4,114.0,75.0,20.0,1007.0,21.5,-,247.5,-,1.1,6.3,12.6
"2013","9월",20.0,26.4,31.1,15.4,7.9,133.7,77.0,25.0,1015.3,15.3,-,168.6,-,0.8,3.9,9.1
"2014","3월",7.7,13.7,25.5,1.9,-5.1,88.2,53.0,10.0,1019.5,-2.7,-,211.0,-,2.0,8.4,14.5
"2014","4월",13.6,20.6,27.2,7.5,-0.6,73.3,51.0,12.0,1016.8,2.0,-,217.2,-,1.6,7.9,14.0
"2014","5월",19.0,26.3,35.8,12.2,3.7,25.6,50.0,13.0,1010.7,6.9,-,316.2,-,1.7,6.0,13.9
"2014","6월",22.1,27.9,31.9,17.7,14.8,79.9,65.0,27.0,1006.4,14.7,-,174.6,-,1.2,4.6,9.0
"2014","7월",25.0,30.2,34.5,21.0,17.5,107.1,71.0,29.0,1007.4,19.0,-,189.3,-,1.2,4.7,11.5
"2014","8월",23.1,27.5,33.0,19.9,13.8,433.3,78.0,43.0,1008.4,18.7,-,127.0,-,1.1,5.8,13.1
"2014","9월",19.9,26.0,29.9,15.3,9.1,116.7,74.0,22.0,1013.7,14.6,-,183.8,-,0.9,4.1,7.8
"2015","3월",7.6,14.5,24.9,0.8,-6.4,43.5,41.0,5.0,1020.8,-6.9,-,269.2,-,2.3,10.2,17.7
"2015","4월",13.1,19.2,28.9,7.6,2.6,90.0,61.0,9.0,1016.3,3.8,-,179.3,-,1.6,8.6,15.3
"2015","5월",20.2,27.2,33.7,13.4,6.1,18.0,48.0,11.0,1009.3,7.1,-,308.0,-,1.7,7.7,14.1
"2015","6월",22.9,29.3,34.3,17.6,9.9,125.2,62.0,13.0,1006.9,14.2,-,213.3,-,1.1,4.8,11.5
"2015","7월",25.0,29.9,36.3,21.2,15.2,150.7,73.0,29.0,1007.2,19.4,-,203.6,-,1.1,5.7,13.6
"2015","8월",25.6,31.3,36.6,21.3,17.6,45.0,73.0,32.0,1008.5,19.8,-,219.8,-,1.0,9.3,16.2
"2015","9월",20.3,27.2,30.2,14.6,10.4,30.9,68.0,22.0,1014.3,13.5,-,207.7,-,0.9,4.9,8.4
"2016","3월",6.5,12.7,21.4,0.4,-10.0,42.1,46.0,8.0,1021.3,-6.1,-,198.8,-,1.9,6.6,12.4
