월별(1),시점,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
월별(1),시점,평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
3월,2011,4.9,10.7,21.2,-0.3,-5.3,15,39.5,17.9,1021.1,-9.2,2.7,256.1,...,2.9,6.4,10.9
4월,2011,11.5,17.9,26.4,5.4,-1.4,75.1,48.7,23.3,1014.4,-1.3,...,206.5,...,2.3,5.3,9.6
5월,2011,17.3,23.4,28.8,11.7,7.5,144.4,62.5,35.2,1011.6,8.5,...,175.8,...,1.7,4.1,7.9
6월,2011,22.6,28.4,32.9,17.5,14.2,271,66.9,41.4,1006.9,15.1,...,187.3,...,1.4,3.5,6.9
7월,2011,24.9,29.1,33.7,21.9,19,283.4,85.1,65.7,1006.3,21.9,...,93,...,1.1,2.9,5.9
8월,2011,24.7,29.3,33.2,21.6,16.8,198..8,86.7,64.8,1009,22,...,84.3,...,1,2.6,5.6
9월,2011,19.9,25.5,32.8,15.3,7.2,59,77.9,50.1,1012.7,15.2,...,145.5,...,1,2.6,5.2
3월,2012,5.5,10.5,19.9,0.8,-5.7,74,53,30,1019.4,-5.2,...,192.7,...,2.5,5.8,10.1
4월,2012,12.9,19.5,28.9,6.7,-1.1,81.4,49,23,1013.4,0.4,...,229.1,...,2.4,5.4,10
5월,2012,18.5,25,29.1,12.9,8.8,63.8,57,30,1011.3,8.1,...,244.8,...,1.4,3.5,6.7
6월,2012,21.9,27.4,31.4,17.4,13.6,55.7,69,42,1007.8,15.3,...,186.6,...,1.2,2.9,6
7월,2012,25.3,29.8,35,21.7,18.9,271.8,78,58,1006.1,20.8,...,199.8,...,1.2,3,6
8월,2012,25.5,30.3,35.5,22.1,17.7,324.3,79,61,1009.1,21.2,...,158.5,...,1.1,3,6.1
9월,2012,19,24.6,28.2,15,8,303.1,80,53,1013.8,15,...,166,...,1,2.9,5.8
3월,2013,6.7,14.1,25.9,-0.1,-4.4,43.1,49,9,1005.3,-4.8,…,257.9,…,2.3,9.5,16.3
4월,2013,10.1,16.7,28.8,4,-1.5,71.4,54,9,1001.5,-0.1,…,235.4,…,2.4,8.8,16.3
5월,2013,18.4,25.4,31.7,12,4.8,105.6,60,14,1000.4,9.3,…,269.5,…,1.6,6.3,12.8
6월,2013,22.9,28.7,31.9,18.4,13.8,125.7,72,30,997.1,17.2,…,215.9,…,1.1,4.3,8.1
7월,2013,26.2,31.2,34.6,22.7,21.1,157.2,77,45,995,21.5,…,168.6,…,1.2,8.7,17.4
8월,2013,26.7,32.7,35.6,22.4,18.4,114,75,20,996.2,21.5,…,247.5,…,1.1,6.3,12.6
9월,2013,20,26.4,31.1,15.4,7.9,133.7,77,25,1004.1,15.3,…,168.6,…,0.8,3.9,9.1
3월,2014,7.7,13.7,25.5,1.9,-5.1,88.2,53,10,1019.5,-2.7,...,211,...,2,8.4,14.5
4월,2014,13.6,20.6,27.2,7.5,-0.6,73.3,51,12,1016.8,2,...,217.2,...,1.6,7.9,14
5월,2014,19,26.3,35.8,12.2,3.7,25.6,50,13,1010.7,6.9,...,316.2,...,1.7,6,13.9
6월,2014,22.1,27.9,31.9,17.7,14.8,79.9,65,27,1006.4,14.7,...,174.6,...,1.2,4.6,9
7월,2014,25,30.2,34.5,21,17.5,107.1,71,29,1007.4,19,...,189.3,...,1.2,4.7,11.5
8월,2014,23.1,27.5,33,19.9,13.8,433.3,78,43,1008.4,18.7,...,127,...,1.1,5.8,13.1
9월,2014,19.9,26,29.9,15.3,9.1,116.7,74,22,1013.7,14.6,...,183.8,...,0.9,4.1,7.8
3월,2015,7.6,14.5,24.9,0.8,-6.4,43.5,41,5,1020.8,-6.9,...,269.2,...,2.3,10.2,17.7
4월,2015,13.1,19.2,28.9,7.6,2.6,90,61,9,1016.3,3.8,...,179.3,...,1.6,8.6,15.3
5월,2015,20.2,27.2,33.7,13.4,6.1,18,48,11,1009.3,7.1,...,308,...,1.7,7.7,14.1
6월,2015,22.9,29.3,34.3,17.6,9.9,125.2,62,13,1006.9,14.2,...,213.3,...,1.1,4.8,11.5
7월,2015,25,29.9,36.3,21.2,15.2,150.7,73,29,1007.2,19.4,...,203.6,...,1.1,5.7,13.6
8월,2015,25.6,31.3,36.6,21.3,17.6,45,73,32,1008.5,19.8,...,219.8,...,1,9.3,16.2
9월,2015,20.3,27.2,30.2,14.6,10.4,30.9,68,22,1014.3,13.5,...,207.7,...,0.9,4.9,8.4
3월,2016,8,14.2,22.4,2.1,-6.4,56.3,48,10,1021.3,-3.8,...,211.4,...,1.9,5.8,10.9
4월,2016,14.7,21.8,29.5,8.4,3.5,164.4,56,9,1013.6,4.3,...,209,...,1.7,9.4,18.2
5월,2016,19.8,27.3,32.1,12.7,8.4,52.8,53,10,1011.6,8.5,...,280.8,...,1.6,7.7,18.2
6월,2016,23.7,29.5,33.8,18.8,11.3,47,64,18,1007.6,15.7,...,204.2,...,1.2,5.1,9.7
7월,2016,25.9,31.2,35.9,22,19.3,313.6,76,37,1008.1,21,...,165.6,...,1,4.5,9.9
8월,2016,27.1,33.6,37.2,22.3,15.6,116.3,68,28,1005.8,20,...,249.6,...,1.1,6,12.7
9월,2016,21.3,26.4,31.9,17.8,10.4,162,81,34,1013.7,17.5,...,113.2,...,0.7,3.6,7.7
3월,2017,7.3,13.7,20.7,1.4,-3,20.2,46,10,1019.2,4.6,...,229.9,...,2,9.1,14.5
4월,2017,15,21.9,30.8,8.4,2.3,60.8,48,7,1012.7,4.8,...,245.3,...,2,7.1,14.6
5월,2017,20.2,27.4,34,13.6,7.8,20.2,49,11,1011.9,4.9,...,282.4,...,1.8,6.4,13.9
6월,2017,23.4,30.5,36.6,17.3,11.7,63.4,54,14,1008.3,5.4,...,261,...,1.5,5.4,11.1
7월,2017,26.5,31.2,35.3,23.1,17.9,404.8,81,30,1007.9,8.1,...,138.6,...,1,5.2,11.1
8월,2017,25.2,30.1,35.7,21.6,15.1,158.4,79,25,1007.9,7.9,...,187.3,...,1,5.7,15
9월,2017,20.1,26.5,29.7,14.7,7.1,102.7,73,25,1013.2,7.3,...,207,...,1,4.5,9.9
