"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",5.6,11.6,21.5,-0.6,-4.5,14.2,36.9,7.0,1020.9,-9.5,-,247.1,-,2.6,5.4,9.7
"2011","4월",12.4,19.2,28.3,5.7,-0.6,74.7,43.3,5.0,1014.1,-1.8,-,221.3,-,2.2,4.6,8.5
"2011","5월",17.9,23.8,28.0,12.1,7.9,114.4,56.2,10.0,1011.4,7.6,-,183.0,-,1.7,4.2,7.6
"2011","6월",23.4,29.1,34.1,17.9,14.8,133.4,63.6,21.0,1007.1,15.2,-,195.2,-,1.5,3.5,6.6
"2011","7월",25.9,30.3,33.8,22.4,19.2,317.5,74.4,37.0,1006.6,20.7,-,114.8,-,1.4,3.5,6.9
"2011","8월",25.1,29.5,34.2,21.8,16.6,262.0,80.3,39.0,1009.3,21.1,-,99.3,-,1.0,3.1,5.8
"2011","9월",21.0,26.6,33.8,16.5,9.1,44.2,72.8,24.0,1012.8,15.3,-,144.8,-,1.3,3.1,6.0
"2012","3월",7.7,12.7,20.8,3.5,-3.4,82.1,50.0,10.0,1019.8,-3.7,5.0,210.1,-,2.5,8.7,15.7
"2012","4월",15.1,21.3,30.2,9.5,2.4,74.4,47.0,8.0,1014.2,2.0,4.2,243.9,-,2.5,10.0,16.1
"2012","5월",20.1,26.2,31.8,15.1,11.0,50.6,53.0,8.0,1012.0,8.6,5.1,240.0,-,2.1,7.4,15.2
"2012","6월",23.2,28.3,31.9,19.2,15.6,85.1,64.0,21.0,1008.7,15.2,7.1,190.6,-,2.5,6.5,11.2
"2012","7월",27.5,32.1,37.2,23.7,20.1,202.5,70.0,28.0,1006.9,20.7,7.0,203.8,-,2.1,6.3,9.6
"2012","8월",27.9,32.4,36.3,24.5,20.1,327.1,71.0,31.0,1009.9,21.5,7.0,188.2,-,2.5,8.7,17.9
"2012","9월",21.7,26.8,31.0,17.6,11.9,241.5,69.0,23.0,1014.3,15.0,5.6,204.5,-,1.8,9.1,16.3
"2013","3월",9.8,16.6,26.9,3.3,-2.3,38.9,41.0,4.0,1017.5,-4.7,3.1,271.8,-,2.0,7.4,14.0
"2013","4월",12.3,18.8,28.4,6.6,1.0,61.5,47.0,7.0,1013.8,-0.4,4.5,242.0,0.3,2.5,8.6,15.7
"2013","5월",20.3,26.8,34.4,14.6,8.7,92.0,53.0,9.0,1012.5,8.7,4.6,264.3,-,2.2,7.4,12.1
"2013","6월",24.3,29.5,34.4,20.2,15.0,42.6,66.0,22.0,1008.9,16.8,6.2,205.5,-,2.3,6.7,10.5
"2013","7월",28.7,33.3,35.9,25.1,22.3,186.7,67.0,24.0,1006.8,21.3,6.7,208.2,-,1.9,6.6,13.3
"2013","8월",29.0,34.4,37.9,25.0,21.7,188.2,69.0,26.0,1007.7,21.9,5.1,247.8,-,1.7,6.0,11.4
