"월별(1)","시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"월별(1)","시점",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"3월","2011",4.6,10.9,20.8,-1.7,-5.9,18.4,47.0,12.0,1020.5,-7.2,2.7,266.3,-,2.4,8.8,15.7
"3월","2012",5.7,11.2,19.3,0.3,-6.2,58.4,58.0,13.0,1019.1,-3.0,5.3,184.1,-,2.2,8.9,15.6
"3월","2013",7.1,14.9,25.1,-0.5,-5.7,43.8,53.0,11.0,1016.8,-3.5,3.1,262.4,-,1.9,7.7,14.6
"3월","2014",7.5,14.1,25.5,1.2,-6.3,80.9,55.0,11.0,1019.3,-2.3,4.2,219.1,0.1,1.7,7.3,11.6
"3월","2015",6.6,14.1,22.9,-0.7,-7.9,39.3,46.0,6.0,1020.5,-6.2,2.8,289.4,3.3,2.1,8.9,16.7
"3월","2016",7.1,13.9,21.6,0.7,-8.2,45.8,53.0,11.0,1021.2,-3.4,4.5,235.1,-,1.6,6.4,10.6
"3월","2017",6.2,13.2,20.3,-0.2,-5.1,27.4,54.0,13.0,1019.0,-3.8,4.8,246.8,-,1.8,7.2,13.3
"3월","2018",7.9,14.7,23.7,1.4,-5.3,93.5,61.0,15.0,1020.2,-0.3,4.3,243.7,3.5,1.9,8.8,16.1
"3월","2019",6.8,13.7,22.3,0.0,-4.2,33.2,59.0,14.0,1017.2,-1.8,4.7,238.4,-,1.9,9.7,16.5
"3월","2020",7.6,14.6,22.9,0.6,-6.6,11.0,55.0,13.0,1017.7,-2.0,3.6,252.4,-,2.0,11.3,22.7
"4월","2011",11.5,18.3,26.6,4.9,-1.3,78.1,53.0,8.0,1014.1,0.4,4.4,209.4,-,2.2,7.5,14.9
"4월","2012",13.2,20.1,29.9,6.7,-0.8,80.8,55.0,13.0,1013.2,2.8,4.6,218.4,-,2.3,10.3,19.3
"4월","2013",10.5,17.0,28.9,4.0,-1.0,80.6,56.0,14.0,1012.8,0.8,4.6,236.9,1.7,2.2,9.1,15.4
"4월","2014",13.9,21.0,27.2,6.9,1.4,60.0,52.0,12.0,1016.7,2.5,4.6,227.1,-,1.7,7.1,12.0
"4월","2015",12.6,18.8,28.9,6.8,1.4,66.5,61.0,11.0,1016.2,3.5,5.8,190.0,-,1.8,8.6,17.0
"4월","2016",14.0,20.9,27.3,7.6,1.8,126.3,57.0,13.0,1013.6,4.1,5.4,240.0,-,2.0,9.5,17.9
"4월","2017",14.1,21.3,30.6,7.0,1.6,83.0,53.0,12.0,1012.6,2.8,4.4,276.2,-,1.9,7.1,14.6
"4월","2018",13.8,20.9,31.4,6.6,0.3,148.7,54.0,10.0,1015.4,2.9,4.4,251.7,-,2.1,7.7,14.1
"4월","2019",11.7,18.5,25.6,5.1,-2.8,86.2,58.0,11.0,1015.3,2.0,5.4,215.3,0.7,1.8,8.2,13.5
"4월","2020",10.8,18.0,26.6,3.6,-2.3,22.1,49.0,8.0,1017.0,-1.1,3.6,284.4,-,2.3,9.5,17.9
"5월","2011",17.5,23.7,28.7,11.6,6.4,151.5,62.0,15.0,1011.4,8.8,5.5,184.2,-,1.9,7.8,15.5
"5월","2012",18.6,25.4,29.5,12.3,8.0,37.1,59.0,12.0,1011.2,9.0,5.2,219.6,-,1.7,8.1,15.6
