"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (1/10),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","2월",1.4,8.1,16.6,-4.7,-12.0,53.5,63.0,12.0,1021.8,-5.7,4.0,170.6,2.9,1.4,6.0,9.7
"2011","3월",4.6,10.9,20.8,-1.7,-5.9,18.4,47.0,12.0,1020.5,-7.2,2.7,266.3,-,2.4,8.8,15.7
"2011","4월",11.5,18.3,26.6,4.9,-1.3,78.1,53.0,8.0,1014.1,0.4,4.4,209.4,-,2.2,7.5,14.9
"2011","5월",17.5,23.7,28.7,11.6,6.4,151.5,62.0,15.0,1011.4,8.8,5.5,184.2,-,1.9,7.8,15.5
"2011","6월",22.6,28.5,33.4,17.3,13.4,284.6,68.0,18.0,1007.0,15.4,6.0,187.7,-,1.7,5.9,10.3
"2011","7월",25.5,29.8,33.7,22.3,18.8,247.0,79.0,33.0,1006.4,21.2,7.7,125.5,-,1.4,6.2,12.1
"2011","8월",25.1,29.8,33.7,21.7,17.5,222.1,80.0,38.0,1009.1,21.0,7.7,110.6,-,1.4,7.0,12.9
"2011","9월",20.7,26.4,33.9,16.2,7.4,61.6,74.0,22.0,1012.6,15.2,5.5,150.8,-,1.3,6.3,9.4
"2012","2월",-1.2,4.9,13.6,-7.1,-18.6,0.9,52.0,14.0,1023.0,-10.8,3.7,194.3,0.5,2.0,7.9,14.3
"2012","3월",5.7,11.2,19.3,0.3,-6.2,58.4,58.0,13.0,1019.1,-3.0,5.3,184.1,-,2.2,8.9,15.6
"2012","4월",13.2,20.1,29.9,6.7,-0.8,80.8,55.0,13.0,1013.2,2.8,4.6,218.4,-,2.3,10.3,19.3
"2012","5월",18.6,25.4,29.5,12.3,8.0,37.1,59.0,12.0,1011.2,9.0,5.2,219.6,-,1.7,8.1,15.6
"2012","6월",22.4,28.0,32.7,17.5,13.7,58.6,67.0,27.0,1007.9,15.3,6.7,170.5,-,1.9,6.6,11.0
