"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",3.9,9.6,19.6,-1.7,2.5,26.5,46.2,22.7,1020.2,-7.7,-,254.6,-,4.2,8.1,12.5
"2011","4월",10.6,17.4,25.9,3.5,-3.4,97.7,52.3,26.0,1013.8,-0.6,-,204.7,-,3.1,7.3,11.1
"2011","5월",16.7,22.9,15.8,10.7,4.6,197.4,61.8,34.8,1011.1,8.1,-,183.3,-,2.5,5.9,9.3
"2011","6월",21.8,27.9,32.3,16.1,11.6,401.6,66.9,42.0,1006.8,14.4,-,193.0,-,2.1,5.3,8.4
"2011","7월",24.5,28.6,33.1,21.3,16.3,417.6,79.9,61.9,1006.4,20.5,-,93.0,-,1.5,4.0,6.3
"2011","8월",24.3,28.9,33.4,20.9,14.1,287.4,80.4,60.5,1009.1,20.4,-,94.3,-,1.4,4.1,6.4
"2011","9월",19.6,25.6,33.0,14.7,6.0,116.6,72.7,45.9,1012.8,14.0,-,158.5,-,1.9,4.4,7.0
"2012","3월",5.1,10.0,20.2,0.2,-5.5,78.3,56.0,32.0,1019.0,-4.1,-,168.2,-,3.4,7.0,10.9
"2012","4월",12.2,18.8,28.2,5.6,-1.1,153.1,54.0,28.0,1013.2,1.8,-,202.2,-,3.1,7.0,11.2
"2012","5월",17.6,24.4,28.7,11.3,6.2,48.0,59.0,31.0,1011.1,8.0,-,222.7,-,2.3,5.6,8.9
"2012","6월",21.6,27.7,32.0,16.3,12.5,51.1,66.0,42.0,1007.8,14.4,-,166.4,-,1.9,4.6,7.0
"2012","7월",24.9,29.7,35.2,20.8,17.4,321.3,75.0,54.0,1006.0,19.7,-,173.1,-,1.9,4.8,7.4
"2012","8월",25.3,30.4,37.5,21.6,18.0,402.2,77.0,56.0,1009.3,20.5,-,126.8,-,1.6,4.1,6.9
"2012","9월",18.9,24.7,29.4,14.2,6.0,183.3,75.0,48.0,1013.7,14.0,-,146.6,-,1.7,4.5,6.9
"2013","3월",6.0,13.1,23.0,-1.2,-5.5,41.9,51.0,10.0,1016.7,-4.8,-,248.3,-,3.5,12.1,17.5
"2013","4월",9.4,15.7,27.9,3.2,-1.9,80.6,55.0,13.0,1012.7,-0.5,-,195.7,-,3.3,11.2,18.3
"2013","5월",17.6,24.6,32.2,10.5,3.1,187.8,60.0,15.0,1011.5,8.5,-,257.9,-,2.6,9.4,14.2
"2013","6월",22.4,28.5,31.9,17.5,11.7,183.5,71.0,24.0,1008.0,16.4,-,183.6,-,1.6,7.0,11.8
"2013","7월",25.2,29.6,32.7,22.1,19.4,200.6,80.0,39.0,1005.6,21.3,-,75.1,-,1.5,7.2,11.8
"2013","8월",25.5,31.4,34.8,20.9,16.3,80.7,77.0,27.0,1006.9,20.8,-,188.2,-,1.6,11.4,16.9
"2013","9월",19.4,25.5,31.4,14.4,8.4,183.0,78.0,29.0,1015.4,14.9,-,148.4,-,1.5,7.6,11.4
"2014","3월",6.7,12.9,24.5,0.1,-6.1,49.5,56.0,28.0,1019.3,-2.9,-,201.0,-,2.8,6.1,9.5
"2014","4월",13.1,20.2,26.6,5.8,-0.6,63.7,52.0,27.0,1016.7,2.0,-,204.8,-,2.7,6.1,9.4
