"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2010","3월",4.7,9.7,19.4,0.3,-4.3,63.5,64.0,14.0,1021.6,-2.3,6.4,135.0,6.2,2.1,8.1,15.4
"2010","4월",9.8,16.1,26.6,3.6,-2.6,60.5,55.0,11.0,1018.0,-0.1,5.3,186.9,-,2.1,7.9,15.8
"2010","5월",17.6,24.4,32.0,10.9,3.8,120.5,61.0,17.0,1011.0,8.8,4.8,207.7,-,1.7,7.1,12.6
"2010","6월",23.2,29.9,33.3,17.0,6.1,18.8,62.0,18.0,1009.7,14.4,5.1,214.1,-,1.4,5.1,9.0
"2010","7월",26.0,30.8,34.8,22.1,18.6,77.3,75.0,30.0,1008.2,20.8,7.1,136.3,-,1.4,6.2,11.0
"2010","8월",27.3,32.2,35.6,23.6,21.3,268.6,79.0,41.0,1010.9,22.9,7.0,130.9,-,1.3,8.5,18.2
"2010","9월",21.4,27.1,33.9,17.5,7.6,29.4,79.0,25.0,1013.9,17.1,6.0,127.5,-,1.3,5.9,9.9
"2011","3월",4.6,10.9,20.8,-1.7,-5.9,18.4,47.0,12.0,1020.5,-7.2,2.7,266.3,-,2.4,8.8,15.7
"2011","4월",11.5,18.3,26.6,4.9,-1.3,78.1,53.0,8.0,1014.1,0.4,4.4,209.4,-,2.2,7.5,14.9
"2011","5월",17.5,23.7,28.7,11.6,6.4,151.5,62.0,15.0,1011.4,8.8,5.5,184.2,-,1.9,7.8,15.5
"2011","6월",22.6,28.5,33.4,17.3,13.4,284.6,68.0,18.0,1007.0,15.4,6.0,187.7,-,1.7,5.9,10.3
"2011","7월",25.5,29.8,33.7,22.3,18.8,247.0,79.0,33.0,1006.4,21.2,7.7,125.5,-,1.4,6.2,12.1
"2011","8월",25.1,29.8,33.7,21.7,17.5,222.1,80.0,38.0,1009.1,21.0,7.7,110.6,-,1.4,7.0,12.9
"2011","9월",20.7,26.4,33.9,16.2,7.4,61.6,74.0,22.0,1012.6,15.2,5.5,150.8,-,1.3,6.3,9.4
"2012","3월",5.7,11.2,19.3,0.3,-6.2,58.4,58.0,13.0,1019.1,-3.0,5.3,184.1,-,2.2,8.9,15.6
"2012","4월",13.2,20.1,29.9,6.7,-0.8,80.8,55.0,13.0,1013.2,2.8,4.6,218.4,-,2.3,10.3,19.3
"2012","5월",18.6,25.4,29.5,12.3,8.0,37.1,59.0,12.0,1011.2,9.0,5.2,219.6,-,1.7,8.1,15.6
"2012","6월",22.4,28.0,32.7,17.5,13.7,58.6,67.0,27.0,1007.9,15.3,6.7,170.5,-,1.9,6.6,11.0
"2012","7월",26.1,30.8,36.1,22.1,18.4,173.6,75.0,36.0,1006.0,20.9,6.6,176.3,-,1.5,6.1,10.1
"2012","8월",26.7,31.5,38.0,23.1,18.3,353.6,76.0,32.0,1009.2,21.6,7.1,142.8,-,1.8,8.4,20.4
"2012","9월",20.3,25.8,30.4,16.0,7.9,164.3,77.0,29.0,1013.7,15.7,6.0,151.8,-,1.3,5.9,12.9
"2013","3월",7.1,14.9,25.1,-0.5,-5.7,43.8,53.0,11.0,1016.8,-3.5,3.1,262.4,-,1.9,7.7,14.6
"2013","4월",10.5,17.0,28.9,4.0,-1.0,80.6,56.0,14.0,1012.8,0.8,4.6,236.9,2.0,2.2,9.1,15.4
"2013","5월",18.7,25.8,32.2,11.9,4.8,96.8,60.0,14.0,1011.6,9.6,4.2,266.4,-,1.8,6.6,11.6
"2013","6월",23.2,28.9,32.5,18.6,13.6,187.2,70.0,32.0,1008.1,17.0,6.0,207.9,-,1.5,6.5,9.7
"2013","7월",26.8,31.5,33.9,23.6,21.1,130.2,77.0,43.0,1005.7,22.1,7.1,164.0,-,1.4,5.8,11.9
"2013","8월",27.4,33.0,36.0,22.8,17.9,124.6,75.0,17.0,1006.9,21.9,4.9,255.3,-,1.4,10.0,16.2
"2013","9월",19.9,26.2,31.1,15.0,9.8,151.2,75.0,28.0,1015.3,14.8,6.3,156.8,-,1.1,5.3,8.5
"2014","3월",6.5,13.8,24.8,0.0,-7.4,9.3,55.0,11.0,1019.0,2.0,4.0,219.0,-,1.4,7.0,11.3
"2014","4월",12.7,20.5,26.1,5.6,-0.9,34.5,52.0,12.0,1017.0,3.0,5.0,227.0,-,1.4,7.0,10.8
"2014","5월",17.8,26.1,34.4,10.1,2.6,34.5,52.0,12.0,1011.0,7.0,3.0,311.0,-,1.6,8.0,14.0
"2014","6월",21.3,27.5,32.0,16.6,14.3,59.9,65.0,27.0,1007.0,14.0,7.0,186.0,-,1.2,6.0,8.4
"2014","7월",24.8,30.7,36.9,20.2,16.7,58.3,67.0,24.0,1007.0,18.0,7.0,207.0,-,1.4,7.0,11.7
"2014","8월",22.6,27.5,34.0,19.3,13.4,284.6,79.0,39.0,1009.0,19.0,8.0,136.0,-,1.1,7.0,9.4
"2014","9월",19.1,25.9,29.7,14.1,8.8,124.3,75.0,24.0,1014.0,15.0,6.0,190.0,-,1.0,6.0,6.8
"2015","3월",5.8,14.4,23.2,-1.7,-8.2,36.8,46.0,6.0,1020.5,-6.2,2.8,289.4,3.3,1.7,8.9,14.8
"2015","4월",11.8,18.6,28.8,5.5,0.6,43.2,60.0,11.0,1016.2,3.5,5.8,190.0,-,1.4,8.6,12.5
"2015","5월",18.5,26.4,33.0,10.4,3.7,23.8,50.0,9.0,1009.1,6.9,3.7,316.6,-,1.6,8.5,15.8
"2015","6월",21.7,28.5,33.7,15.9,8.5,63.8,63.0,12.0,1007.0,13.4,6.7,221.4,-,1.3,5.8,9.2
"2015","7월",23.8,29.0,35.0,19.7,14.0,104.0,71.0,28.0,1007.2,18.4,6.8,215.6,-,1.3,6.1,11.0
"2015","8월",24.4,30.8,36.9,19.8,15.3,73.5,74.0,32.0,1008.5,19.4,5.9,233.7,-,1.2,6.6,11.0
"2015","9월",19.2,26.6,30.4,13.2,8.6,7.8,70.0,16.0,1014.4,13.2,5.3,206.7,-,1.2,6.1,8.5
"2016","3월",6.5,14.5,21.8,-0.4,-9.3,39.0,53.0,11.0,1021.2,-3.4,4.5,235.1,-,1.4,6.4,13.4
"2016","4월",13.4,21.4,28.7,6.4,0.4,121.2,57.0,13.0,1013.6,4.1,5.4,240.0,-,1.6,9.5,15.5
"2016","5월",18.1,26.1,30.7,10.2,5.3,51.4,55.0,9.0,1011.5,8.0,4.4,313.5,-,1.6,10.6,18.8
"2016","6월",22.4,28.7,32.2,16.8,9.5,48.8,64.0,21.0,1007.6,15.1,6.0,253.9,-,1.4,6.8,9.7
"2016","7월",24.6,30.1,34.3,20.8,17.6,383.5,77.0,29.0,1008.2,20.7,7.2,229.7,-,1.2,5.3,9.8
"2016","8월",25.6,32.1,35.9,20.6,12.4,107.8,68.0,24.0,1005.8,19.5,4.5,289.3,-,1.2,7.1,10.5
"2016","9월",20.5,25.5,31.2,16.9,9.2,96.5,79.0,17.0,1013.8,16.8,7.5,107.7,-,0.9,5.5,7.3
"2017","3월",5.9,13.5,19.7,-1.1,-5.6,14.9,54.0,13.0,1019.0,-3.8,4.8,246.8,-,1.5,7.2,11.7
"2017","4월",13.6,21.2,30.5,6.0,1.0,79.9,53.0,12.0,1012.6,2.8,4.4,276.2,-,1.6,7.1,13.5
"2017","5월",18.7,26.6,33.7,11.4,5.4,17.7,53.0,13.0,1011.8,7.9,4.2,306.7,-,1.5,7.4,13.3
"2017","6월",21.6,29.2,34.9,15.2,9.9,38.6,58.0,16.0,1008.3,12.4,4.7,304.3,-,1.3,7.0,11.2
"2017","7월",25.3,29.9,34.1,21.9,16.9,469.1,81.0,30.0,1007.8,22.1,7.2,201.3,-,1.1,6.4,11.6
"2017","8월",24.0,29.0,34.7,20.2,11.8,180.5,79.0,28.0,1007.7,20.7,6.8,226.2,-,1.1,5.6,12.6
"2017","9월",18.7,25.6,29.2,13.1,5.9,99.5,76.0,25.0,1013.2,14.8,5.0,242.7,-,1.1,6.6,13.4
"2018","3월",6.9,14.0,23.0,0.3,-5.9,112.5,-,-,-,-,-,-,-,1.3,-,14.3
"2018","4월",12.7,20.1,30.3,5.5,-0.1,157.5,-,-,-,-,-,-,-,1.5,-,13.3
"2018","5월",17.2,23.7,30.2,10.8,3.0,88.5,-,-,-,-,-,-,-,1.2,-,15.9
"2018","6월",21.7,27.7,33.5,16.3,10.4,65.5,-,-,-,-,-,-,-,1.1,-,10.8
"2018","7월",26.3,31.8,37.1,21.6,13.3,163.0,-,-,-,-,-,-,-,1.0,-,8.2
"2018","8월",26.2,31.9,38.7,21.6,16.9,277.0,-,-,-,-,-,-,-,1.1,-,11.6
"2018","9월",18.7,24.3,28.6,14.1,6.5,114.5,-,-,-,-,-,-,-,1.0,-,11.3
"2019","3월",6.1,13.8,21.6,-0.9,-6.3,31.0,-,-,-,-,-,-,-,1.5,-,15.5
"2019","4월",11.1,18.4,27.0,3.9,-4.3,78.5,-,-,-,-,-,-,-,1.4,-,12.6
"2019","5월",17.9,26.0,32.1,9.8,3.2,58.0,-,-,-,-,-,-,-,1.3,-,12.1
"2019","6월",21.0,27.5,32.5,15.4,9.9,86.5,-,-,-,-,-,-,-,0.8,-,8.6
"2019","7월",24.0,29.0,33.4,20.1,14.5,175.0,-,-,-,-,-,-,-,0.9,-,8.8
"2019","8월",25.0,30.7,35.5,20.5,14.3,107.5,-,-,-,-,-,-,-,0.8,-,11.4
"2019","9월",20.5,25.5,31.2,16.1,9.2,130.5,-,-,-,-,-,-,-,0.6,-,12.1
"2020","3월",7.3,14.6,23.0,-0.1,-7.1,16.0,-,-,-,-,-,-,-,1.6,-,17.2
"2020","4월",10.2,18.1,26.9,2.5,-2.7,27.5,-,-,-,-,-,-,-,1.8,-,15.7
"2020","5월",17.3,24.0,30.8,11.3,5.7,132.5,-,-,-,-,-,-,-,1.3,-,13.6
"2020","6월",23.1,29.2,34.3,17.5,12.3,123.5,-,-,-,-,-,-,-,1.2,-,10.5
"2020","7월",22.4,26.6,31.7,19.3,15.2,438.5,-,-,-,-,-,-,-,0.9,-,9.5
"2020","8월",26.2,31.6,36.8,22.8,20.3,452.5,-,-,-,-,-,-,-,1.0,-,10.6
"2020","9월",19.4,25.4,28.9,15.1,9.0,117.5,-,-,-,-,-,-,-,1.1,-,15.4
