"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속
"2011","3월",5.1,10.6,18.6,-0.3,-4.3,17.8,51.7,26.2,1019.0,-5.0,3.2,254.8,-,3.1,7.0,12.5
"2011","4월",10.9,16.1,27.1,5.8,-1.0,62.0,61.7,38.7,1013.3,2.2,4.7,204.3,-,3.3,7.5,13.9
"2011","5월",14.8,19.5,28.4,10.9,6.6,153.1,76.0,55.5,1011.4,9.7,6.3,151.7,-,2.7,5.9,11.3
"2011","6월",19.8,23.9,35.3,16.1,11.9,325.1,78.4,60.4,1007.3,15.4,6.1,205.9,-,2.4,5.4,10.2
"2011","7월",22.1,25.5,31.9,19.5,15.9,143.0,89.3,75.1,1006.9,20.1,7.6,140.7,-,2.4,5.1,9.1
"2011","8월",23.9,27.2,33.7,21.2,17.0,119.3,87.5,72.9,1009.6,21.5,7.3,151.6,-,2.0,4.2,7.8
"2011","9월",19.9,23.6,27.7,16.4,10.2,187.7,81.7,63.8,1013.1,16.3,5.9,163.2,-,3.1,5.5,10.2
"2012","3월",5.9,10.1,19.3,1.9,-4.6,80.5,63.4,13.0,1018.7,-1.7,5.7,175.3,0.3,3.3,6.9,12.7
"2012","4월",12.3,17.6,26.5,7.2,-1.2,129.5,63.1,16.0,1012.9,4.5,4.3,233.0,-,3.0,6.6,12.7
"2012","5월",15.8,20.0,25.6,11.5,7.2,40.6,77.0,21.0,1011.7,11.3,5.3,233.0,-,2.4,5.4,9.9
"2012","6월",18.9,22.3,28.0,16.0,12.4,34.8,86.3,43.0,1009.0,16.4,7.6,169.0,-,2.2,4.3,0.1
"2012","7월",23.5,27.4,34.9,20.4,16.5,235.1,85.0,43.0,1006.3,20.5,6.9,199.2,-,2.1,4.5,8.8
"2012","8월",24.1,27.0,31.7,21.5,17.9,201.5,88.1,54.0,1010.0,21.8,7.8,149.0,-,2.4,5.0,9.5
