"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간,최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",4.6,10.9,20.8,-1.7,-5.9,18.4,47,12,1020.5,-7.2,2.7,266.3,-,2.4,8.8,15.7
"2011","4월",11.5,18.3,26.6,4.9,-1.3,78.1,53,8,1014.1,0.4,4.4,209.4,-,2.2,7.5,14.9
"2011","5월",17.5,23.7,28.7,11.6,6.4,151.5,62,15,1011.4,8.8,5.5,184.2,-,1.9,7.8,15.5
"2011","6월",22.6,28.5,33.4,17.3,13.4,284.6,68,18,1007,15.4,6,187.7,-,1.7,5.9,10.3
"2011","7월",25.5,29.8,33.7,22.3,18.8,247,79,33,1006.4,21.2,7.7,125.5,-,1.4,6.2,12.1
"2011","8월",25.1,29.8,33.7,21.7,17.5,222.1,80,38,1009.1,21,7.7,110.6,-,1.4,7,12.9
"2011","9월",20.7,26.4,33.9,16.2,7.4,61.6,74,22,1012.6,15.2,5.5,150.8,-,1.3,6.3,9.4
"2012","3월",5.7,11.2,19.3,0.3,-6.2,58.4,58,13,1019.1,-3,5.3,184.1,-,2.2,8.9,15.6
"2012","4월",13.2,20.1,29.9,6.7,-0.8,80.8,55,13,1013.2,2.8,4.6,218.4,-,2.3,10.3,19.3
"2012","5월",18.6,25.4,29.5,12.3,8,37.1,59,12,1011.2,9,5.2,219.6,-,1.7,8.1,15.6
"2012","6월",22.4,28,32.7,17.5,13.7,58.6,67,27,1007.9,15.3,6.7,170.5,-,1.9,6.6,11
"2012","7월",26.1,30.8,36.1,22.1,18.4,173.6,75,36,1006,20.9,6.6,176.3,-,1.5,6.1,10.1
"2012","8월",26.7,31.5,38,23.1,18.3,353.6,76,32,1009.2,21.6,7.1,142.8,-,1.8,8.4,20.4
"2012","9월",20.3,25.8,30.4,16,7.9,164.3,77,29,1013.7,15.7,6,151.8,-,1.3,5.9,12.9
"2013","3월",7.1,14.9,25.1,-0.5,-5.7,43.8,53,11,1016.8,-3.5,3.1,262.4,-,1.9,7.7,14.6
"2013","4월",10.5,17,28.9,4,-1,80.6,56,14,1012.8,0.8,4.6,236.9,1.7,2.2,9.1,15.4
"2013","5월",18.7,25.8,32.2,11.9,4.8,96.8,60,14,1011.6,9.6,4.2,266.4,-,1.8,6.6,11.6
"2013","6월",23.2,28.9,32.5,18.6,13.6,187.2,70,32,1008.1,17,6,207.9,-,1.5,6.5,9.7
"2013","7월",26.8,31.5,33.9,23.6,21.1,130.2,77,43,1005.7,22.1,7.1,164,-,1.4,5.8,11.9
"2013","8월",27.4,33,36,22.8,17.9,124.6,75,17,1006.9,21.9,4.9,255.3,-,1.4,10,16.2
"2013","9월",19.9,26.2,31.1,15,9.8,151.2,75,28,1015.3,14.8,6.3,156.8,-,1.1,5.3,8.5
