"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",7.4,12.8,20.9,-,-2.6,15.0,43.0,10.0,1019.8,-5.4,28.0,266.3,-,2.4,7.4,16.6
"2011","4월",13.4,18.8,27.8,-,2.6,105.0,56.0,10.0,1014.1,3.1,45.0,223.3,-,2.4,9.1,17.9
"2011","5월",17.6,21.9,29.3,-,10.2,145.2,69.0,16.0,1011.9,10.6,61.0,175.0,-,2.2,8.6,16.7
"2011","6월",22.8,27.0,34.6,-,14.6,171.4,72.0,29.0,1007.7,17.0,65.0,187.1,-,2.2,9.4,20.0
"2011","7월",25.6,29.0,35.1,-,19.4,188.3,79.0,39.0,1007.0,21.5,72.0,155.4,-,2.1,7.8,17.1
"2011","8월",25.8,28.6,33.9,-,19.3,97.2,83.0,48.0,1009.7,22.5,74.0,128.3,-,1.8,8.5,15.2
"2011","9월",22.5,26.0,31.5,-,13.6,34.8,74.0,28.0,1012.7,17.3,59.0,156.6,-,2.0,6.1,17.9
"2012","3월",8.0,11.8,21.4,-,-2.7,116.9,65.0,9.0,1018.9,0.3,5.3,1760.0,-,2.4,7.7,18.3
"2012","4월",15.1,20.3,30.4,-,2.9,127.8,59.0,6.0,1013.4,5.4,4.2,2292.0,-,2.6,8.5,22.4
"2012","5월",19.0,23.1,31.4,-,12.0,34.6,69.0,5.0,1011.7,12.0,5.2,2177.0,-,1.9,8.3,18.0
"2012","6월",21.6,24.9,31.0,-,15.5,70.7,85.0,42.0,1008.8,18.8,7.4,1526.0,-,1.8,7.3,11.6
"2012","7월",26.5,30.1,36.8,-,19.6,209.8,84.0,47.0,1006.5,23.1,6.7,1723.0,-,1.8,7.3,12.2
"2012","8월",26.6,29.7,34.2,-,19.5,226.8,86.0,43.0,1009.9,23.9,7.7,1182.0,-,2.0,12.7,20.8
"2012","9월",21.5,25.2,30.4,-,13.4,353.4,75.0,35.0,1013.7,16.5,5.7,1754.0,-,2.0,12.7,19.9
"2013","3월",9.7,15.7,26.9,-,-1.9,69.1,50.0,8.0,1016.2,-1.6,37.0,2192.0,-,2.5,7.7,13.1
"2013","4월",12.3,17.6,28.7,-,3.3,71.0,53.0,8.0,1012.7,1.6,45.0,2216.0,-,2.6,7.6,14.1
"2013","5월",19.0,24.6,32.5,-,8.1,87.5,63.0,18.0,1012.0,11.0,49.0,2364.0,-,2.4,7.0,12.0
"2013","6월",22.1,25.5,34.0,-,15.7,60.3,79.0,28.0,1009.0,18.0,69.0,1641.0,-,1.6,6.0,10.5
"2013","7월",28.4,32.6,36.6,-,21.5,165.5,70.0,39.0,1005.9,22.0,65.0,1853.0,-,2.6,7.8,12.9
"2013","8월",28.8,33.1,37.6,-,21.5,85.0,71.0,34.0,1006.9,22.6,46.0,2451.0,-,2.5,7.7,13.5
"2013","9월",22.6,25.9,32.4,-,14.6,66.9,74.0,35.0,1015.2,17.4,57.0,1818.0,-,2.4,8.9,12.0
"2014","3월",9.2,14.0,25.9,-,-1.5,129.9,58.0,12.0,1019.1,0.3,5.0,200.0,-,2.7,8.7,15.2
"2014","4월",14.4,19.0,27.6,-,3.9,121.6,59.0,19.0,1016.8,5.4,5.0,214.0,-,2.9,7.6,11.4
"2014","5월",20.0,25.4,34.2,-,9.1,20.4,56.0,16.0,1010.5,9.7,3.0,298.0,-,2.9,9.2,14.5
"2014","6월",21.5,24.7,32.5,-,14.9,88.4,78.0,35.0,1007.0,17.0,7.0,144.0,-,2.6,6.3,10.5
"2014","7월",25.9,29.6,36.0,-,19.2,90.0,76.0,31.0,1007.5,20.8,7.0,202.0,-,2.5,7.6,12.6
"2014","8월",23.9,26.5,33.8,-,18.0,453.0,84.0,48.0,1008.8,20.7,8.0,109.0,-,2.4,7.5,11.9
"2014","9월",21.9,25.3,31.5,-,14.8,116.8,75.0,40.0,1013.7,17.1,5.0,197.0,-,2.2,8.0,11.0
"2015","3월",8.8,13.9,23.9,-,-5.4,50.0,49.0,8.0,1020.1,-2.8,3.0,272.0,-,2.9,8.2,13.0
"2015","4월",13.6,18.3,30.0,-,4.1,116.3,66.0,12.0,1016.4,6.0,6.0,179.0,-,3.0,8.2,15.5
"2015","5월",20.2,25.4,32.2,-,10.6,30.6,56.0,15.0,1009.4,9.7,4.0,291.0,-,2.8,9.0,14.9
"2015","6월",21.1,25.1,31.8,-,12.7,102.5,77.0,21.0,1007.8,16.2,7.0,173.0,-,2.5,5.9,10.6
"2015","7월",24.4,27.4,37.0,-,17.5,132.3,77.0,37.0,1007.9,19.6,6.0,193.0,-,2.7,8.2,13.3
"2015","8월",26.0,29.6,37.5,-,19.5,143.6,79.0,32.0,1008.6,21.7,5.0,211.0,-,2.5,11.7,16.0
"2015","9월",21.3,24.3,29.3,-,15.1,105.7,76.0,34.0,1014.5,16.7,6.0,201.0,-,2.8,9.7,13.0
"2016","3월",9.1,13.6,22.7,4.9,-4.7,69.8,56.0,11.0,1021.0,-0.3,4.8,199.8,-,2.5,7.0,9.8
"2016","4월",14.9,19.2,27.3,10.8,5.0,155.2,62.0,17.0,1013.9,6.6,5.5,201.5,-,2.9,11.9,17.3
"2016","5월",19.8,24.6,31.0,15.2,10.9,39.4,61.0,14.0,1011.7,11.0,4.3,284.2,-,2.8,11.0,16.8
"2016","6월",22.8,26.3,32.7,19.8,14.2,52.5,74.0,24.0,1008.2,17.4,6.3,178.1,-,2.4,6.4,9.0
"2016","7월",25.9,29.4,36.5,23.1,18.6,113.2,81.0,40.0,1008.7,22.0,7.0,183.7,-,2.3,5.9,9.7
"2016","8월",27.5,31.0,39.3,24.5,17.5,181.5,75.0,32.0,1006.1,22.2,4.0,278.4,-,2.7,9.3,14.3
"2016","9월",22.4,24.8,32.0,20.1,17.0,522.3,83.0,38.0,1013.9,19.2,7.8,108.7,-,2.4,9.1,12.2
"2017","3월",8.6,13.2,19.4,4.3,-1.9,13.4,54.0,16.0,1018.7,-1.0,4.6,242.8,-,2.8,7.6,11.4
"2017","4월",16.1,21.2,31.3,11.7,3.6,79.6,55.0,10.0,1012.5,5.7,4.4,250.0,-,2.8,7.4,11.3
"2017","5월",20.6,25.9,32.5,15.8,10.0,19.8,58.0,15.0,1011.8,10.7,4.4,286.6,-,2.6,7.8,12.9
"2017","6월",21.9,26.1,34.5,18.4,13.9,12.8,71.0,18.0,1009.0,15.9,4.8,283.9,-,2.6,7.9,14.2
"2017","7월",27.4,31.5,38.6,24.4,20.9,74.2,77.0,24.0,1008.0,22.5,6.6,169.9,-,2.4,6.5,11.5
"2017","8월",26.1,28.8,35.5,23.6,18.2,209.0,80.0,35.0,1008.1,22.0,6.4,204.2,-,2.4,6.6,10.4
"2017","9월",22.1,25.7,31.1,18.5,12.7,138.2,71.0,23.0,1013.0,16.2,5.0,220.5,-,2.6,8.4,12.1
"2018","3월",10.2,14.9,25.9,5.5,-2.2,153.7,62.0,15.0,1020.1,2.1,4.6,222.1,-,3.3,10.1,19.7
"2018","4월",15.5,20.7,33.0,10.6,2.8,106.5,57.0,12.0,1015.6,5.6,4.1,259.6,-,3.2,7.6,13.9
"2018","5월",18.7,22.6,32.6,15.1,9.9,71.6,73.0,20.0,1012.1,12.9,6.0,222.9,-,3.1,8.6,16.6
"2018","6월",23.3,27.2,34.6,19.7,14.4,89.1,69.0,26.0,1008.4,16.7,6.3,218.7,-,2.7,6.9,11.1
"2018","7월",27.3,30.9,37.2,24.2,17.6,164.1,78.0,38.0,1009.2,22.7,5.1,257.1,-,2.7,8.3,12.2
"2018","8월",27.7,30.8,39.4,24.8,19.5,175.4,74.0,35.0,1008.3,22.3,6.1,223.9,-,2.7,8.9,12.8
"2018","9월",21.9,24.8,30.6,19.3,13.5,160.0,74.0,34.0,1013.7,16.7,7.4,127.9,-,2.6,8.5,10.9
"2019","3월",10.3,15.2,24.1,5.5,0.3,27.6,55.0,16.0,1016.4,0.7,4.7,246.7,-,2.8,7.7,11.8
"2019","4월",13.5,18.4,27.0,9.2,2.2,95.4,60.0,13.0,1015.3,4.6,5.5,215.2,-,2.7,8.9,12.3
"2019","5월",20.8,26.0,35.1,15.9,8.4,14.7,53.0,14.0,1011.8,9.2,4.4,298.9,-,2.7,7.1,11.2
"2019","6월",21.6,25.1,32.4,18.4,14.6,190.1,75.0,25.0,1007.8,16.4,6.1,229.5,-,2.3,6.6,9.4
"2019","7월",26.0,29.1,36.5,23.6,19.9,94.9,78.0,36.0,1007.0,21.6,7.1,178.7,-,2.7,8.5,13.4
"2019","8월",27.0,30.3,36.1,24.3,21.0,231.7,80.0,32.0,1007.3,23.0,5.7,230.2,-,2.2,8.6,11.7
"2019","9월",23.0,25.9,31.4,20.4,13.9,273.6,81.0,32.0,1015.5,19.4,7.3,135.4,-,2.4,14.1,17.3
