시점,항목,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
시점,항목,평균,평균 최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
2011,3월,7.4,12.8,20.9,2.7,-2.6,15,43,10,1019.8,-5.4,28,266.3,-,2.4,7.4,16.6
2011,4월,13.4,18.8,27.8,8.7,2.6,105,56,10,1014.1,3.1,45,223.3,-,2.4,9.1,17.9
2011,5월,17.6,21.9,29.3,14,10.2,145.2,69,16,1011.9,10.6,61,175,-,2.2,8.6,16.7
2011,6월,22.8,27,34.6,19.3,14.6,171.4,72,29,1007.7,17,65,187.1,-,2.2,9.4,20
2011,7월,25.6,29,35.1,23,19.4,188.3,79,39,1007,21.5,72,155.4,-,2.1,7.8,17.1
2011,8월,25.8,28.6,33.9,23.5,19.3,97.2,83,48,1009.7,22.5,74,128.3,-,1.8,8.5,15.2
2011,9월,22.5,26,31.5,19.4,13.6,34.8,74,28,1012.7,17.3,59,156.6,-,2,6.1,17.9
2012,3월,8,11.8,21.4,4.3,-2.7,116.9,65,9,1018.9,0.3,5.3,1760,-,2.4,7.7,18.3
2012,4월,15.1,20.3,30.4,10.3,2.9,127.8,59,6,1013.4,5.4,4.2,2292,-,2.6,8.5,22.4
2012,5월,19,23.1,31.4,15.4,12,34.6,69,5,1011.7,12,5.2,2177,-,1.9,8.3,18
2012,6월,21.6,24.9,31,19.1,15.5,70.7,85,42,1008.8,18.8,7.4,1526,-,1.8,7.3,11.6
2012,7월,26.5,30.1,36.8,23.5,19.6,209.8,84,47,1006.5,23.1,6.7,1723,-,1.8,7.3,12.2
2012,8월,26.6,29.7,34.2,24.2,19.5,226.8,86,43,1009.9,23.9,7.7,1182,-,2,12.7,20.8
2012,9월,21.5,25.2,30.4,18.3,13.4,353.4,75,35,1013.7,16.5,5.7,1754,-,2,12.7,19.9
