다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 대전
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,204.4,
 1980-04,208.1,
 1980-05,262.1,
 1980-06,176.8,
 1980-07,95.2,
 1980-08,102.8,
 1980-09,197.9,
 1981-03,215.2,
 1981-04,211.2,
 1981-05,232.1,
 1981-06,183.2,
 1981-07,164.0,
 1981-08,147.9,
 1981-09,212.9,
 1982-03,221.7,
 1982-04,224.4,
 1982-05,233.0,
 1982-06,278.4,
 1982-07,195.1,
 1982-08,156.6,
 1982-09,225.2,
 1983-03,194.5,
 1983-04,205.1,
 1983-05,257.8,
 1983-06,267.5,
 1983-07,149.6,
 1983-08,198.2,
 1983-09,141.1,
 1984-03,189.9,445.26
 1984-04,199.3,482.10
 1984-05,259.9,631.79
 1984-06,189.5,503.72
 1984-07,179.6,468.68
 1984-08,210.9,498.71
 1984-09,172.7,383.00
 1985-03,208.1,424.23
 1985-04,231.7,501.73
 1985-05,231.0,527.87
 1985-06,202.9,505.34
 1985-07,200.7,504.80
 1985-08,213.8,566.76
 1985-09,138.0,339.16
 1986-03,220.0,443.64
 1986-04,239.4,546.19
 1986-05,251.1,469.04
 1986-06,183.2,198.99
 1986-07,169.2,196.39
 1986-08,200.7,206.89
 1986-09,178.2,268.92
 1987-03,188.7,403.24
 1987-04,202.2,477.76
 1987-05,247.1,587.59
 1987-06,225.2,574.20
 1987-07,95.2,358.28
 1987-08,143.5,398.18
 1987-09,222.4,465.76
 1988-03,179.7,393.04
 1988-04,238.9,517.20
 1988-05,236.5,566.45
 1988-06,207.5,458.23
 1988-07,126.7,410.16
 1988-08,221.8,525.94
 1988-09,203.3,402.29
 1989-03,188.1,402.23
 1989-04,244.5,535.49
 1989-05,239.9,570.92
 1989-06,199.6,496.67
 1989-07,161.4,449.23
 1989-08,222.6,511.75
 1989-09,160.9,365.34
 1990-03,180.0,397.57
 1990-04,200.5,454.54
 1990-05,170.9,476.32
 1990-06,135.9,453.45
 1990-07,166.4,497.46
 1990-08,236.8,534.26
 1990-09,149.6,388.86
 1991-03,157.8,384.24
 1991-04,232.5,519.48
 1991-05,247.6,325.11
 1991-06,194.9,289.52
 1991-07,96.2,241.84
 1991-08,200.3,544.69
 1991-09,157.5,407.38
 1992-03,166.2,353.26
 1992-04,223.2,485.06
 1992-05,247.0,553.12
 1992-06,212.0,529.26
 1992-07,209.3,537.49
 1992-08,169.8,445.46
 1992-09,152.7,362.88
 1993-03,190.8,407.15
 1993-04,226.3,524.00
 1993-05,233.4,596.24
 1993-06,156.2,481.39
 1993-07,144.5,469.65
 1993-08,123.0,377.88
 1993-09,225.5,461.17
 1994-03,199.4,441.19
 1994-04,216.9,503.38
 1994-05,224.3,560.54
 1994-06,225.7,561.18
 1994-07,269.4,626.52
 1994-08,253.9,563.38
 1994-09,239.7,483.64
 1995-03,180.8,407.98
 1995-04,247.5,602.01
 1995-05,235.6,612.07
 1995-06,235.2,602.86
 1995-07,146.5,466.82
 1995-08,209.9,479.82
 1995-09,173.5,407.85
 1996-03,184.3,410.77
 1996-04,259.3,594.42
 1996-05,275.5,614.46
 1996-06,118.6,398.49
 1996-07,231.4,557.54
 1996-08,205.7,504.55
 1996-09,230.6,497.78
 1997-03,245.5,506.65
 1997-04,233.1,558.26
 1997-05,218.5,529.69
 1997-06,253.9,597.31
 1997-07,168.8,527.49
 1997-08,228.7,647.88
 1997-09,245.8,478.22
 1998-03,219.4,434.23
 1998-04,168.5,406.83
 1998-05,202.4,494.29
 1998-06,144.3,416.92
 1998-07,143.6,425.80
 1998-08,104.8,360.80
 1998-09,182.3,397.37
 1999-03,179.1,387.48
 1999-04,231.3,492.94
 1999-05,239.7,583.86
 1999-06,226.6,545.69
 1999-07,177.9,476.61
 1999-08,163.5,380.80
 1999-09,145.6,332.79
 2000-03,218.7,504.50
 2000-04,211.0,554.68
 2000-05,204.2,576.75
 2000-06,181.9,552.25
 2000-07,173.1,535.43
 2000-08,164.9,472.50
 2000-09,127.3,378.34
 2001-03,209.7,483.96
 2001-04,250.4,605.36
 2001-05,228.5,620.44
 2001-06,139.4,455.38
 2001-07,167.0,511.81
 2001-08,210.0,543.74
 2001-09,214.2,497.87
 2002-03,214.3,473.80
 2002-04,214.5,548.09
 2002-05,198.2,568.80
 2002-06,208.2,588.92
 2002-07,156.5,483.07
 2002-08,70.9,328.09
 2002-09,174.6,447.56
 2003-03,172.9,446.91
 2003-04,175.7,482.95
 2003-05,226.2,604.86
 2003-06,150.3,485.39
 2003-07,102.7,411.99
 2003-08,98.5,383.39
 2003-09,121.8,389.10
 2004-03,221.7,433.73
 2004-04,236.2,572.46
 2004-05,188.8,568.85
 2004-06,189.8,551.84
 2004-07,134.2,443.95
 2004-08,158.4,484.59
 2004-09,151.4,404.85
 2005-03,236.6,476.91
 2005-04,225.4,535.62
 2005-05,232.7,599.75
 2005-06,171.9,507.91
 2005-07,123.4,442.17
 2005-08,136.0,420.07
 2005-09,131.9,375.32
 2006-03,216.4,504.40
 2006-04,155.7,463.56
 2006-05,201.7,602.13
 2006-06,179.7,579.50
 2006-07,55.9,352.40
 2006-08,193.8,577.60
 2006-09,181.4,480.65
 2007-03,149.9,396.37
 2007-04,216.9,565.11
 2007-05,239.9,651.07
 2007-06,164.0,552.34
 2007-07,102.9,463.27
 2007-08,122.4,449.35
 2007-09,95.1,335.19
 2008-03,203.2,477.99
 2008-04,203.6,549.56
 2008-05,233.7,657.46
 2008-06,146.4,535.95
 2008-07,106.3,486.49
 2008-08,208.5,575.28
 2008-09,170.6,472.34
 2009-03,205.8,486.57
 2009-04,221.1,552.57
 2009-05,249.2,650.62
 2009-06,221.2,636.28
 2009-07,123.8,473.91
 2009-08,181.0,555.70
 2009-09,197.7,494.92
 2010-03,127.2,342.75
 2010-04,182.5,502.98
 2010-05,219.5,620.14
 2010-06,213.4,635.70
 2010-07,130.1,501.04
 2010-08,119.2,449.46
 2010-09,152.7,423.23
 2011-03,245.9,545.27
 2011-04,214.8,546.21
 2011-05,182.0,558.12
 2011-06,189.8,565.26
 2011-07,99.9,421.84
 2011-08,99.5,417.51
 2011-09,187.3,458.83
 2012-03,179.4,433.45
 2012-04,210.5,545.91
 2012-05,239.2,666.34
 2012-06,228.6,582.25
 2012-07,196.3,498.88
 2012-08,194.0,488.63
 2012-09,192.2,443.80
 2013-03,259.2,539.62
 2013-04,227.7,529.82
 2013-05,264.5,673.26
 2013-06,213.9,624.08
 2013-07,153.1,478.41
 2013-08,260.9,618.27
 2013-09,193.6,468.12
 2014-03,220.2,491.93
 2014-04,225.0,576.59
 2014-05,307.8,784.28
 2014-06,201.0,605.21
 2014-07,183.1,562.78
 2014-08,126.3,423.95
 2014-09,206.2,504.35
 2015-03,264.2,568.51
 2015-04,179.3,492.20
 2015-05,297.3,769.22
 2015-06,220.0,643.91
 2015-07,188.9,555.59
 2015-08,228.5,598.80
 2015-09,241.6,547.91
 2016-03,238.3,537.44
 2016-04,219.7,587.62
 2016-05,289.4,759.29
 2016-06,221.9,643.42
 2016-07,202.9,578.85
 2016-08,256.0,633.30
 2016-09,146.8,415.88
