다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 울산
,기간 : 1980 ~ 2021  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,154.0,
 1980-04,194.8,
 1980-05,253.5,
 1980-06,187.5,
 1980-07,91.8,
 1980-08,65.7,
 1980-09,162.1,
 1981-03,231.7,
 1981-04,215.4,
 1981-05,233.4,
 1981-06,144.3,
 1981-07,169.4,
 1981-08,170.1,
 1981-09,195.1,
 1982-03,181.4,
 1982-04,204.6,
 1982-05,233.0,
 1982-06,244.3,
 1982-07,149.2,
 1982-08,160.2,
 1982-09,186.3,
 1983-03,193.0,
 1983-04,173.5,
 1983-05,223.4,
 1983-06,192.4,
 1983-07,181.0,
 1983-08,191.4,
 1983-09,139.1,
 1984-03,221.4,
 1984-04,171.6,
 1984-05,266.5,
 1984-06,173.2,
 1984-07,182.6,
 1984-08,207.2,
 1984-09,132.1,
 1985-03,170.6,
 1985-04,219.4,
 1985-05,200.7,
 1985-06,161.3,
 1985-07,224.7,
 1985-08,180.4,
 1985-09,142.8,
 1986-03,215.0,
 1986-04,215.0,
 1986-05,229.6,
 1986-06,155.5,
 1986-07,140.1,
 1986-08,216.2,
 1986-09,165.5,
 1987-03,173.6,
 1987-04,213.3,
 1987-05,234.1,
 1987-06,234.7,
 1987-07,130.6,
 1987-08,98.3,
 1987-09,165.5,
 1988-03,190.4,
 1988-04,244.0,
 1988-05,226.2,
 1988-06,176.8,
 1988-07,105.0,
 1988-08,183.7,
 1988-09,132.3,
 1989-03,167.2,
 1989-04,234.2,
 1989-05,210.4,
 1989-06,159.8,
 1989-07,124.8,
 1989-08,158.7,
 1989-09,90.6,
 1990-03,168.6,
 1990-04,173.2,
 1990-05,185.7,
 1990-06,162.1,
 1990-07,177.0,
 1990-08,209.4,
 1990-09,104.1,
 1991-03,158.2,
 1991-04,216.5,
 1991-05,219.1,
 1991-06,177.9,
 1991-07,110.7,
 1991-08,148.8,
 1991-09,153.2,
 1992-03,112.1,
 1992-04,189.2,
 1992-05,218.5,
 1992-06,187.1,
 1992-07,226.5,
 1992-08,110.6,
 1992-09,132.4,
 1993-03,176.6,
 1993-04,236.6,
 1993-05,204.8,
 1993-06,108.1,
 1993-07,77.4,
 1993-08,78.5,
 1993-09,174.2,
 1994-03,197.7,
 1994-04,203.4,
 1994-05,217.6,
 1994-06,201.0,
 1994-07,269.6,
 1994-08,238.4,
 1994-09,215.1,
 1995-03,155.4,
 1995-04,203.0,
 1995-05,220.4,
 1995-06,140.3,
 1995-07,152.9,
 1995-08,226.8,
 1995-09,140.1,
 1996-03,177.8,
 1996-04,243.7,
 1996-05,226.3,
 1996-06,122.2,
 1996-07,181.3,
 1996-08,178.6,
 1996-09,202.1,
 1997-03,181.0,
 1997-04,218.3,
 1997-05,186.5,
 1997-06,209.0,
 1997-07,160.5,
 1997-08,150.1,
 1997-09,164.5,
 1998-03,208.9,
 1998-04,143.7,
 1998-05,162.3,
 1998-06,75.3,
 1998-07,81.2,
 1998-08,105.0,
 1998-09,156.8,
 1999-03,140.2,
 1999-04,216.9,
 1999-05,285.8,
 1999-06,164.8,
 1999-07,101.9,
 1999-08,116.8,
 1999-09,144.5,
 2000-03,208.9,
 2000-04,179.9,
 2000-05,200.9,
 2000-06,154.7,
 2000-07,176.5,
 2000-08,174.9,
 2000-09,140.4,
 2001-03,215.7,
 2001-04,247.8,
 2001-05,207.8,
 2001-06,163.1,
 2001-07,225.5,
 2001-08,183.6,
 2001-09,157.4,
 2002-03,210.3,
 2002-04,196.3,
 2002-05,186.7,
 2002-06,229.5,
 2002-07,141.4,
 2002-08,130.4,
 2002-09,167.9,
 2003-03,171.8,
 2003-04,169.2,
 2003-05,183.7,
 2003-06,148.1,
 2003-07,55.9,
 2003-08,139.7,
 2003-09,145.5,
 2004-03,234.6,
 2004-04,240.3,
 2004-05,161.1,
 2004-06,205.8,
 2004-07,210.2,
 2004-08,149.3,
 2004-09,116.0,
 2005-03,231.1,
 2005-04,213.3,
 2005-05,240.3,
 2005-06,210.8,
 2005-07,151.5,
 2005-08,178.1,
 2005-09,107.7,
 2006-03,225.7,
 2006-04,173.1,
 2006-05,174.4,
 2006-06,194.3,
 2006-07,87.9,
 2006-08,226.0,
 2006-09,156.5,
 2007-03,187.3,
 2007-04,212.5,
 2007-05,235.9,
 2007-06,154.0,
 2007-07,115.7,
 2007-08,172.4,
 2007-09,96.5,
 2008-03,199.8,
 2008-04,223.9,
 2008-05,221.2,
 2008-06,125.9,
 2008-07,183.0,
 2008-08,189.8,
 2008-09,151.4,
 2009-03,195.2,
 2009-04,250.4,
 2009-05,255.2,
 2009-06,190.2,
 2009-07,91.5,
 2009-08,147.2,
 2009-09,151.4,
 2010-03,123.4,
 2010-04,172.3,
 2010-05,211.2,
 2010-06,214.0,
 2010-07,159.3,
 2010-08,197.7,
 2010-09,172.3,
 2011-03,272.6,
 2011-04,223.4,
 2011-05,180.3,
 2011-06,163.4,
 2011-07,160.5,
 2011-08,127.2,
 2011-09,172.0,
 2012-03,179.0,
 2012-04,233.1,
 2012-05,225.4,
 2012-06,135.9,
 2012-07,175.5,
 2012-08,173.4,
 2012-09,186.6,
 2013-03,236.1,
 2013-04,215.5,
 2013-05,192.8,
 2013-06,116.2,
 2013-07,153.7,
 2013-08,232.7,
 2013-09,200.5,
 2014-03,204.6,
 2014-04,208.2,
 2014-05,257.6,
 2014-06,110.3,
 2014-07,151.3,
 2014-08,96.5,
 2014-09,194.2,
 2015-03,266.6,
 2015-04,173.5,
 2015-05,241.7,
 2015-06,118.9,
 2015-07,128.7,
 2015-08,187.7,
 2015-09,196.1,
 2016-03,203.7,
 2016-04,207.3,
 2016-05,270.1,
 2016-06,181.3,
 2016-07,208.9,
 2016-08,277.2,
 2016-09,112.1,
 2017-03,233.3,
 2017-04,249.7,
 2017-05,284.6,
 2017-06,272.9,
 2017-07,169.5,
 2017-08,221.0,
 2017-09,216.2,
 2018-03,223.3,
 2018-04,247.6,
 2018-05,217.4,
 2018-06,196.1,
 2018-07,265.0,
 2018-08,243.7,
 2018-09,122.9,
 2019-03,257.7,
 2019-04,207.0,
 2019-05,306.4,
 2019-06,229.2,
 2019-07,187.5,
 2019-08,241.2,
 2019-09,155.8,
 2020-03,238.0,
 2020-04,277.4,
 2020-05,245.5,
 2020-06,257.2,
 2020-07,111.4,
 2020-08,230.2,
 2020-09,166.2,
 2021-03,204.5,
 2021-04,241.5,
 2021-05,219.0,
 2021-06,212.7,
 2021-07,235.8,
 2021-08,166.3,
 2021-09,136.9,
 평균,184.7,

