다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 금산,보령,부여,서산,천안,홍성,세종
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,269.0,880.48
 1980-04,252.3,851.18
 1980-05,314.8,1203.99
 1980-06,247.5,964.83
 1980-07,196.2,684.63
 1980-08,236.4,705.05
 1980-09,266.4,887.39
 1981-03,275.6,855.38
 1981-04,284.4,956.89
 1981-05,312.2,1128.25
 1981-06,291.4,1000.33
 1981-07,262.3,947.77
 1981-08,260.1,972.47
 1981-09,264.1,946.66
 1982-03,281.8,496.88
 1982-04,292.3,517.03
 1982-05,299.6,430.54
 1982-06,336.7,510.37
 1982-07,293.7,453.16
 1982-08,256.4,433.23
 1982-09,295.5,446.39
 1983-03,248.9,451.62
 1983-04,261.3,529.72
 1983-05,298.0,714.59
 1983-06,309.5,724.29
 1983-07,218.4,404.79
 1983-08,270.3,508.25
 1983-09,226.8,420.73
 1984-03,272.7,455.99
 1984-04,250.8,519.13
 1984-05,317.4,672.34
 1984-06,272.6,589.31
 1984-07,237.2,486.96
 1984-08,292.6,533.38
 1984-09,236.8,441.37
 1985-03,257.9,462.70
 1985-04,285.0,553.19
 1985-05,273.5,555.89
 1985-06,271.2,567.06
 1985-07,258.9,523.24
 1985-08,295.1,512.15
 1985-09,241.0,355.39
 1986-03,269.8,451.53
 1986-04,293.1,582.39
 1986-05,324.5,663.90
 1986-06,271.1,549.54
 1986-07,273.8,471.67
 1986-08,303.1,528.14
 1986-09,281.6,450.56
 1987-03,275.0,458.24
 1987-04,284.9,517.73
 1987-05,329.5,668.06
 1987-06,320.6,626.87
 1987-07,264.8,398.20
 1987-08,261.2,427.65
 1987-09,304.4,507.66
 1988-03,280.7,191.11
 1988-04,318.6,237.25
 1988-05,333.9,
 1988-06,290.7,610.26
 1988-07,238.8,371.57
 1988-08,305.4,587.42
 1988-09,280.9,509.20
 1989-03,273.5,468.04
 1989-04,312.0,568.13
 1989-05,315.0,624.45
 1989-06,261.9,542.49
 1989-07,260.2,512.64
 1989-08,287.5,538.60
 1989-09,224.9,416.28
 1990-03,234.6,390.74
 1990-04,257.0,479.36
 1990-05,238.0,458.32
 1990-06,215.0,361.95
 1990-07,243.2,406.18
 1990-08,272.0,510.30
 1990-09,210.8,416.80
 1991-03,214.4,390.05
 1991-04,279.2,602.41
 1991-05,281.4,655.60
 1991-06,261.9,577.24
 1991-07,170.5,391.31
 1991-08,257.5,531.30
 1991-09,210.5,398.07
 1992-03,186.4,362.89
 1992-04,260.3,529.42
 1992-05,286.6,600.11
 1992-06,279.3,584.22
 1992-07,238.0,422.84
 1992-08,226.7,464.32
 1992-09,194.6,381.71
 1993-03,225.8,416.57
 1993-04,250.2,486.76
 1993-05,256.8,571.86
 1993-06,182.8,468.33
 1993-07,150.0,430.38
 1993-08,149.7,396.27
 1993-09,257.0,486.77
 1994-03,225.7,424.69
 1994-04,226.8,481.51
 1994-05,227.0,589.27
 1994-06,227.4,616.97
 1994-07,261.2,567.07
 1994-08,244.0,491.48
 1994-09,265.7,481.20
 1995-03,197.8,385.46
 1995-04,255.3,541.78
 1995-05,247.4,571.81
 1995-06,240.5,544.23
 1995-07,170.5,454.96
 1995-08,212.1,444.28
 1995-09,203.8,428.97
 1996-03,192.7,370.87
 1996-04,265.1,505.99
 1996-05,269.3,588.96
 1996-06,117.9,346.14
 1996-07,223.9,446.17
 1996-08,229.9,476.48
 1996-09,252.7,446.50
 1997-03,255.7,458.23
 1997-04,247.5,508.11
 1997-05,210.2,476.49
 1997-06,262.8,539.84
 1997-07,213.5,495.63
 1997-08,276.8,580.28
 1997-09,255.8,472.38
 1998-03,232.2,418.15
 1998-04,167.2,386.31
 1998-05,218.0,529.67
 1998-06,159.1,435.95
 1998-07,159.3,439.75
 1998-08,157.0,384.41
 1998-09,209.9,410.07
 1999-03,192.0,387.52
 1999-04,249.3,490.16
 1999-05,271.0,566.57
 1999-06,254.2,577.11
 1999-07,195.0,499.04
 1999-08,203.2,467.91
 1999-09,168.3,364.32
 2000-03,236.7,481.82
 2000-04,253.9,546.08
 2000-05,225.5,552.85
 2000-06,214.8,526.19
 2000-07,195.7,536.40
 2000-08,185.4,467.45
 2000-09,154.4,395.75
 2001-03,319.0,471.98
 2001-04,347.6,575.33
 2001-05,390.0,592.54
 2001-06,356.0,432.93
 2001-07,407.6,437.78
 2001-08,385.5,552.34
 2001-09,332.5,550.28
 2002-03,278.5,482.35
 2002-04,296.9,561.28
 2002-05,299.7,552.56
 2002-06,334.3,595.66
 2002-07,277.2,481.83
 2002-08,210.2,337.23
 2002-09,272.5,444.90
 2003-03,240.1,438.69
 2003-04,236.2,474.88
 2003-05,277.0,614.03
 2003-06,239.7,472.73
 2003-07,197.1,423.60
 2003-08,211.2,407.60
 2003-09,220.0,408.12
 2004-03,270.6,514.91
 2004-04,282.4,578.56
 2004-05,262.7,568.93
 2004-06,256.9,512.87
 2004-07,193.3,416.69
 2004-08,260.2,545.56
 2004-09,209.0,441.89
 2005-03,265.5,524.59
 2005-04,275.3,578.42
 2005-05,289.7,662.72
 2005-06,245.6,490.67
 2005-07,204.1,469.14
 2005-08,208.2,438.71
 2005-09,204.6,383.45
 2006-03,258.0,498.84
 2006-04,201.4,469.22
 2006-05,251.9,569.21
 2006-06,246.1,536.00
 2006-07,145.3,342.02
 2006-08,291.9,581.30
 2006-09,272.9,460.09
 2007-03,161.5,378.74
 2007-04,227.3,533.36
 2007-05,228.7,599.76
 2007-06,173.4,530.43
 2007-07,107.2,445.74
 2007-08,135.1,439.20
 2007-09,97.1,319.48
 2008-03,212.1,458.01
 2008-04,208.4,529.56
 2008-05,228.3,603.69
 2008-06,154.3,519.90
 2008-07,125.5,424.90
 2008-08,218.5,550.98
 2008-09,169.5,442.89
 2009-03,207.9,466.28
 2009-04,237.6,546.52
 2009-05,254.6,627.40
 2009-06,226.3,573.08
 2009-07,155.9,506.20
 2009-08,188.8,529.83
 2009-09,215.3,491.78
 2010-03,130.8,363.83
 2010-04,185.5,504.06
 2010-05,219.5,565.88
 2010-06,205.8,584.06
 2010-07,151.0,507.94
 2010-08,151.7,446.46
 2010-09,171.0,430.20
 2011-03,250.0,521.56
 2011-04,213.1,519.92
 2011-05,196.5,557.29
 2011-06,191.7,512.41
 2011-07,105.3,374.98
 2011-08,101.4,379.33
 2011-09,204.1,473.66
 2012-03,184.4,415.13
 2012-04,211.9,515.57
 2012-05,252.2,656.35
 2012-06,253.2,584.67
 2012-07,189.2,473.11
 2012-08,172.6,406.18
 2012-09,185.3,369.25
 2013-03,253.2,453.14
 2013-04,233.3,478.89
 2013-05,253.1,552.22
 2013-06,226.6,545.65
 2013-07,136.9,340.11
 2013-08,257.2,517.93
 2013-09,199.6,400.57
 2014-03,224.4,419.05
 2014-04,224.8,483.31
 2014-05,300.6,630.67
 2014-06,229.0,524.19
 2014-07,182.9,462.19
 2014-08,153.1,392.12
 2014-09,220.3,430.67
 2015-03,262.1,438.73
 2015-04,195.3,392.78
 2015-05,280.8,577.75
 2015-06,228.8,504.14
 2015-07,169.3,417.59
 2015-08,204.6,397.70
 2015-09,241.6,387.20
 2016-03,247.8,520.01
 2016-04,218.9,541.42
 2016-05,299.1,687.25
 2016-06,305.8,596.49
 2016-07,342.8,502.82
 2016-08,245.7,442.18
 2016-09,169.9,412.97
 2017-03,260.1,519.50
 2017-04,268.8,612.50
 2017-05,304.4,710.74
 2017-06,264.7,671.97
 2017-07,122.5,425.01
 2017-08,184.6,456.34
 2017-09,245.7,503.02
 2018-03,206.6,466.24
 2018-04,235.3,559.79
 2018-05,233.8,601.27
 2018-06,237.5,616.93
 2018-07,279.3,653.91
 2018-08,255.4,584.81
 2018-09,214.2,503.01
 2019-03,227.2,495.70
 2019-04,207.8,546.94
 2019-05,312.1,764.29
 2019-06,227.9,614.43
 2019-07,180.2,513.66
 2019-08,245.0,580.27
 2019-09,148.6,383.57
 2020-03,254.5,537.70
 2020-04,308.8,668.30
 2020-05,215.4,592.68
 2020-06,216.8,586.87
 2020-07,129.7,451.99
 2020-08,152.8,419.97
 2020-09,202.3,446.43
 2021-03,217.7,471.69
 2021-04,226.3,556.50
 2021-05,215.5,569.78
 2021-06,219.8,592.97
 2021-07,251.7,630.42
 2021-08,170.5,457.90
 2021-09,197.0,447.01
 2022-03,186.2,423.03
 2022-04,265.3,620.57
 2022-05,337.9,778.65
 2022-06,182.5,514.40
 2022-07,202.6,583.08
 2022-08,153.6,438.53
