다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 고창,고창군,군산,남원,부안,순창군,임실,장수,전주,정읍
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,229.6,871.90
 1980-04,239.4,1000.01
 1980-05,283.1,1214.47
 1980-06,222.8,1032.95
 1980-07,183.0,740.69
 1980-08,192.0,765.26
 1980-09,250.1,1046.06
 1981-03,222.5,934.59
 1981-04,248.7,1076.07
 1981-05,284.1,1251.54
 1981-06,232.6,1047.13
 1981-07,235.7,998.14
 1981-08,236.6,980.60
 1981-09,237.5,973.41
 1982-03,239.5,434.56
 1982-04,269.2,536.70
 1982-05,271.7,552.09
 1982-06,292.4,601.87
 1982-07,257.8,533.96
 1982-08,263.1,456.65
 1982-09,267.8,484.72
 1983-03,227.4,406.24
 1983-04,242.9,472.50
 1983-05,276.4,602.05
 1983-06,278.5,606.82
 1983-07,244.0,456.49
 1983-08,266.5,498.33
 1983-09,233.1,397.46
 1984-03,270.7,405.70
 1984-04,261.6,464.82
 1984-05,318.5,588.65
 1984-06,258.4,515.48
 1984-07,250.6,446.96
 1984-08,292.6,531.26
 1984-09,243.9,400.42
 1985-03,242.3,407.99
 1985-04,265.5,503.29
 1985-05,276.0,512.03
 1985-06,254.2,503.24
 1985-07,262.0,500.73
 1985-08,283.5,491.65
 1985-09,209.3,338.69
 1986-03,240.0,421.61
 1986-04,268.3,540.46
 1986-05,295.5,579.88
 1986-06,234.7,458.23
 1986-07,237.8,428.40
 1986-08,284.7,459.76
 1986-09,232.9,346.89
 1987-03,223.1,340.20
 1987-04,241.0,438.09
 1987-05,290.9,550.42
 1987-06,273.8,505.87
 1987-07,213.7,314.23
 1987-08,230.2,347.75
 1987-09,261.5,409.40
 1988-03,237.4,406.51
 1988-04,291.8,521.06
 1988-05,299.5,588.14
 1988-06,277.6,515.27
 1988-07,276.8,456.60
 1988-08,304.9,548.20
 1988-09,270.0,448.66
 1989-03,266.5,417.68
 1989-04,298.8,549.35
 1989-05,293.7,582.41
 1989-06,259.3,491.75
 1989-07,260.8,463.38
 1989-08,277.9,491.13
 1989-09,220.9,376.58
 1990-03,221.9,369.63
 1990-04,243.0,454.61
 1990-05,237.4,477.64
 1990-06,223.5,404.27
 1990-07,269.0,480.02
 1990-08,285.4,520.22
 1990-09,235.7,385.93
 1991-03,214.4,329.63
 1991-04,275.2,480.97
 1991-05,292.3,535.92
 1991-06,259.7,463.88
 1991-07,218.2,345.84
 1991-08,265.3,433.59
 1991-09,225.4,359.40
 1992-03,207.9,329.59
 1992-04,260.0,464.71
 1992-05,285.1,535.49
 1992-06,295.5,490.36
 1992-07,269.4,491.40
 1992-08,252.2,403.64
 1992-09,212.9,339.39
 1993-03,213.7,389.80
