년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤)
1980,강원도,1408,609,8574
1980,경기도,3723,406,15116
1980,경상남도,1786,600,10718
1980,경상북도,22667,1132,256590
1980,광주광역시,0,0,0
1980,대구광역시,0,0,0
1980,부산광역시,0,0,0
1980,서울특별시,0,0,0
1980,인천광역시,0,0,0
1980,전라남도,539,237,1278
1980,전라북도,1990,573,11401
1980,제주도,0,0,0
1980,충청남도,6403,611,39122
1980,충청북도,7616,883,67247
1981,강원도,1536,671,10307
1981,경기도,3643,373,13588
1981,경상남도,1821,987,17973
1981,경상북도,23697,1440,341237
1981,부산광역시,0,0,0
1981,서울특별시,0,0,0
1981,전라남도,825,226,1865
1981,전라북도,2059,525,10810
1981,제주도,0,0,0
1981,충청남도,5908,844,49864
1981,충청북도,7196,1077,77501
1982,강원도,1213,653,7921
1982,경기도,2736,751,20547
1982,경상남도,1754,1020,17891
1982,경상북도,23635,1392,328999
1982,대구광역시,539,1611,8683
1982,부산광역시,4,1020,41
1982,서울특별시,2,541,11
1982,인천광역시,1,0,0
1982,전라남도,814,979,7969
1982,전라북도,1573,689,10838
1982,제주도,0,0,0
1982,충청남도,4621,927,42837
1982,충청북도,5848,1392,81404
1983,강원도,1217,870,10588
1983,경기도,2667,824,21976
1983,경상남도,1673,1120,18738
1983,경상북도,23560,1622,382143
1983,대구광역시,509,1475,7508
1983,대전광역시,0,0,0
1983,부산광역시,0,0,0
1983,서울특별시,15,416,62
1983,인천광역시,1,411,4
1983,전라남도,575,1212,6969
1983,전라북도,1473,920,13552
1983,제주도,0,0,0
1983,충청남도,4012,1195,47943
1983,충청북도,5595,1368,76540
1984,강원도,1097,831,9116
1984,경기도,2300,830,19090
1984,경상남도,1657,984,16305
1984,경상북도,22710,1516,344284
1984,대구광역시,519,1310,6799
1984,대전광역시,0,0,0
1984,부산광역시,0,0,0
1984,서울특별시,6,1517,91
1984,인천광역시,1,830,8
1984,전라남도,550,1196,6578
1984,전라북도,1315,908,11940
1984,제주도,0,0,0
1984,충청남도,4025,1180,47495
1984,충청북도,5009,1327,66469
1985,강원도,868,1165,10112
1985,경기도,2248,1188,26706
1985,경상남도,1340,1187,15906
1985,경상북도,22541,1532,345328
1985,대구광역시,483,1490,7197
1985,대전광역시,0,0,0
1985,부산광역시,0,0,0
1985,서울특별시,30,327,98
1985,인천광역시,5,580,29
1985,전라남도,544,1425,7752
1985,전라북도,1407,869,12227
1985,제주도,0,0,0
1985,충청남도,3665,1293,47388
1985,충청북도,4567,1310,59828
1986,강원도,670,1072,7182
1986,경기도,2107,1186,24989
1986,경상남도,1194,1105,13194
1986,경상북도,22212,1595,354281
1986,대구광역시,505,1498,7565
1986,부산광역시,0,0,0
1986,서울특별시,4,1862,74
1986,인천광역시,0,0,0
1986,전라남도,427,1437,6136
1986,전라북도,1166,1068,12453
1986,제주도,0,0,0
1986,충청남도,3866,1367,52848
1986,충청북도,4292,1375,59015
1987,강원도,564,826,4657
1987,경기도,2238,1203,26912
1987,경상남도,898,2001,17969
1987,경상북도,25430,1464,372210
1987,광주광역시,0,0,0
1987,대구광역시,425,1212,5151
1987,대전광역시,0,0,0
1987,부산광역시,0,0,0
1987,서울특별시,2,1787,36
1987,인천광역시,1,0,0
1987,전라남도,217,796,1728
1987,전라북도,800,1568,12544
1987,제주도,0,0,0
1987,충청남도,4242,1840,78038
1987,충청북도,4159,888,36915
1988,강원도,559,1294,7234
1988,경기도,2250,1316,29613
1988,경상남도,1190,2020,24033
1988,경상북도,28670,1481,424497
1988,광주광역시,0,0,0
1988,대구광역시,346,1342,4643
1988,대전광역시,0,0,0
1988,부산광역시,0,0,0
1988,서울특별시,2,2149,43
1988,인천광역시,19,2149,408
1988,전라남도,214,1041,2227
1988,전라북도,719,1551,11151
1988,제주도,0,0,0
1988,충청남도,4727,1689,79849
1988,충청북도,4494,1260,56635
1989,강원도,602,1990,11980
1989,경기도,2439,1500,36586
1989,경상남도,1285,1896,24361
1989,경상북도,31320,1399,438246
1989,광주광역시,0,0,0
1989,대구광역시,366,1604,5872
1989,대전광역시,127,4102,5210
1989,부산광역시,0,0,0
1989,서울특별시,3,2467,74
1989,인천광역시,20,2467,493
1989,전라남도,246,1153,2835
1989,전라북도,809,1578,12770
1989,제주도,0,0,0
1989,충청남도,4828,1670,80611
1989,충청북도,4839,1177,56978
1990,강원도,593,1223,7254
1990,경기도,2445,1135,27739
1990,경상남도,1369,1510,20676
1990,경상북도,32721,1303,426320
1990,광주광역시,0,0,0
1990,대구광역시,418,1119,4679
1990,대전광역시,130,2231,2900
1990,부산광역시,0,0,0
1990,서울특별시,3,0,0
1990,인천광역시,16,120,19
1990,전라남도,270,680,1835
1990,전라북도,959,1000,9594
1990,제주도,0,0,0
1990,충청남도,4932,1515,74701
1990,충청북도,4977,1070,53230
1991,강원도,617,838,5168
1991,경기도,2282,762,17382
1991,경상남도,1457,1182,17223
1991,경상북도,34099,1106,376966
1991,대구광역시,426,898,3827
1991,대전광역시,115,1692,1946
