년,월,평균풍속(m/s),최대풍속(m/s),지역
 1980,03,2.2,8.9,강원도
 1980,04,2.6,13.7,강원도
 1980,05,2.6,13.0,강원도
 1980,06,2.0,10.2,강원도
 1980,07,1.6,7.4,강원도
 1980,08,1.5,7.2,강원도
 1980,09,1.6,8.3,강원도
 1981,03,2.5,11.8,강원도
 1981,04,2.5,11.7,강원도
 1981,05,2.7,12.1,강원도
 1981,06,1.6,8.0,강원도
 1981,07,1.7,8.4,강원도
 1981,08,1.4,7.3,강원도
 1981,09,1.5,8.9,강원도
 1982,03,2.2,10.3,강원도
 1982,04,2.2,9.8,강원도
 1982,05,2.6,12.6,강원도
 1982,06,1.7,7.5,강원도
 1982,07,1.6,7.6,강원도
 1982,08,1.6,8.4,강원도
 1982,09,1.6,8.4,강원도
 1983,03,2.0,8.2,강원도
 1983,04,3.0,16.7,강원도
 1983,05,2.3,11.0,강원도
 1983,06,1.8,9.6,강원도
 1983,07,1.8,9.0,강원도
 1983,08,1.6,7.7,강원도
 1983,09,1.5,7.4,강원도
 1984,03,2.6,11.4,강원도
 1984,04,1.9,8.6,강원도
 1984,05,1.8,9.0,강원도
 1984,06,1.8,9.0,강원도
 1984,07,1.5,7.3,강원도
 1984,08,1.6,7.5,강원도
 1984,09,1.4,6.9,강원도
 1985,03,2.2,9.2,강원도
 1985,04,2.4,10.2,강원도
 1985,05,1.9,8.3,강원도
 1985,06,1.5,7.1,강원도
 1985,07,1.5,7.1,강원도
 1985,08,1.5,8.5,강원도
 1985,09,1.4,7.3,강원도
 1986,03,1.9,8.9,강원도
 1986,04,2.4,10.5,강원도
 1986,05,2.0,11.9,강원도
 1986,06,1.6,7.1,강원도
 1986,07,1.5,7.5,강원도
 1986,08,1.7,11.3,강원도
 1986,09,1.6,7.4,강원도
 1987,03,2.8,12.7,강원도
 1987,04,2.6,14.7,강원도
 1987,05,2.5,11.5,강원도
 1987,06,1.8,9.9,강원도
 1987,07,2.2,12.0,강원도
 1987,08,1.6,8.8,강원도
 1987,09,1.9,10.7,강원도
 1988,03,2.4,10.3,강원도
 1988,04,2.9,12.5,강원도
 1988,05,2.2,10.1,강원도
 1988,06,1.8,8.3,강원도
 1988,07,1.8,8.6,강원도
 1988,08,1.5,8.0,강원도
 1988,09,1.4,7.4,강원도
 1989,03,2.3,11.0,강원도
 1989,04,2.2,10.8,강원도
 1989,05,2.4,10.5,강원도
 1989,06,2.0,8.5,강원도
 1989,07,1.6,7.9,강원도
 1989,08,1.7,8.5,강원도
 1989,09,1.5,8.4,강원도
 1990,03,2.3,11.2,강원도
 1990,04,2.9,13.3,강원도
 1990,05,2.5,11.3,강원도
 1990,06,2.2,10.0,강원도
 1990,07,1.8,9.0,강원도
 1990,08,1.6,9.4,강원도
 1990,09,1.7,8.3,강원도
 1991,03,2.4,9.4,강원도
 1991,04,2.4,11.9,강원도
 1991,05,2.5,11.5,강원도
 1991,06,2.0,10.6,강원도
 1991,07,2.0,9.8,강원도
 1991,08,1.7,8.5,강원도
 1991,09,1.5,8.1,강원도
 1992,03,1.9,8.5,강원도
 1992,04,2.7,12.3,강원도
 1992,05,2.2,10.7,강원도
 1992,06,1.9,9.9,강원도
 1992,07,2.1,9.4,강원도
 1992,08,1.6,7.6,강원도
 1992,09,1.7,10.4,강원도
 1993,03,2.2,11.0,강원도
 1993,04,2.9,12.2,강원도
 1993,05,2.1,10.9,강원도
 1993,06,1.6,9.8,강원도
 1993,07,1.6,7.8,강원도
 1993,08,1.6,9.4,강원도
 1993,09,1.8,8.6,강원도
 1994,03,2.6,10.8,강원도
 1994,04,2.4,11.9,강원도
 1994,05,2.5,10.4,강원도
 1994,06,1.8,9.4,강원도
 1994,07,1.8,8.6,강원도
 1994,08,1.7,8.1,강원도
 1994,09,1.7,7.7,강원도
 1995,03,2.2,11.7,강원도
 1995,04,2.7,13.4,강원도
 1995,05,2.4,12.3,강원도
 1995,06,1.7,8.5,강원도
 1995,07,2.0,9.5,강원도
 1995,08,1.8,11.0,강원도
 1995,09,1.7,8.3,강원도
 1996,03,2.2,10.4,강원도
 1996,04,2.5,10.8,강원도
 1996,05,1.7,10.0,강원도
 1996,06,1.6,11.1,강원도
 1996,07,1.8,9.7,강원도
 1996,08,1.3,7.6,강원도
 1996,09,1.3,7.6,강원도
 1997,03,2.4,10.5,강원도
 1997,04,2.3,11.4,강원도
 1997,05,2.4,11.4,강원도
 1997,06,1.6,10.0,강원도
 1997,07,1.6,8.8,강원도
 1997,08,1.7,8.9,강원도
 1997,09,1.7,7.8,강원도
 1998,03,2.6,11.5,강원도
 1998,04,2.0,9.6,강원도
 1998,05,1.8,9.2,강원도
 1998,06,1.8,9.4,강원도
 1998,07,2.1,9.1,강원도
 1998,08,1.6,8.3,강원도
 1998,09,1.6,9.2,강원도
 1999,03,2.2,10.8,강원도
 1999,04,2.3,11.5,강원도
 1999,05,2.3,10.8,강원도
 1999,06,1.6,7.9,강원도
 1999,07,1.7,9.0,강원도
 1999,08,1.5,10.8,강원도
 1999,09,1.6,8.7,강원도
 2000,03,2.4,10.9,강원도
 2000,04,2.5,12.9,강원도
 2000,05,1.8,8.7,강원도
 2000,06,1.6,7.7,강원도
 2000,07,1.9,10.7,강원도
 2000,08,1.6,9.4,강원도
 2000,09,2.0,11.2,강원도
 2001,03,2.7,9.9,강원도
 2001,04,2.6,8.9,강원도
 2001,05,2.5,9.3,강원도
 2001,06,1.8,8.2,강원도
 2001,07,1.8,6.5,강원도
 2001,08,1.5,6.6,강원도
 2001,09,1.8,7.4,강원도
 2002,03,2.6,11.3,강원도
 2002,04,2.7,10.7,강원도
 2002,05,2.0,8.2,강원도
 2002,06,1.9,8.1,강원도
 2002,07,1.8,8.1,강원도
 2002,08,1.7,10.3,강원도
 2002,09,1.6,8.2,강원도
 2003,03,1.9,8.5,강원도
 2003,04,2.2,9.6,강원도
 2003,05,1.9,8.5,강원도
 2003,06,1.8,7.5,강원도
 2003,07,1.7,7.4,강원도
 2003,08,1.6,8.6,강원도
 2003,09,1.6,10.0,강원도
 2004,03,2.6,10.6,강원도
 2004,04,2.7,10.1,강원도
 2004,05,2.2,10.0,강원도
 2004,06,1.7,8.0,강원도
