년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm),합계일조시간(hr),합계전천일사량(MJ/㎡),평균상대습도(%),최소상대습도(%),평균풍속(m/s),최대풍속(m/s),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm)
1980,강원도,1408,609,8574,15.6,21.0,10.8,1080.5,264.1,1092.7,79.4,37.4,2.0,9.8,1012.0,1017.6,1028.0,1002.7,6.3,12.3,0.5,800.0,19.7,25.1,14.9,1167.3,18.6,23.8,14.8,1230.9
1980,경기도,3723,406,15116,16.3,22.0,11.2,474.1,238.4,1051.0,77.9,30.1,1.2,6.5,1008.7,1013.1,1022.0,998.9,7.0,13.2,0.8,397.5,19.9,25.3,15.1,550.6,20.2,25.8,15.7,436.0
1980,경상남도,1786,600,10718,17.5,22.5,12.9,1726.3,228.8,807.6,81.0,38.0,1.5,9.7,1016.0,1013.0,1022.5,997.9,9.4,14.8,4.0,1093.0,20.7,25.7,16.1,1810.9,20.8,25.4,17.0,2232.6
1980,경상북도,22667,1132,256590,16.7,21.9,12.1,1368.3,239.6,855.8,77.4,38.4,2.1,10.7,1015.6,1013.9,1023.1,998.6,8.0,13.6,2.6,880.4,20.4,25.5,15.7,1469.3,20.0,24.6,16.2,1704.6
1980,광주광역시,0,0,0,17.6,22.9,13.1,208.3,177.2,,74.9,29.4,2.0,8.8,1003.9,1012.5,1021.6,997.7,9.0,15.0,3.8,133.4,20.9,25.9,16.5,217.7,21.3,26.4,17.4,269.1
1980,대구광역시,0,0,0,18.2,23.5,13.7,146.4,183.8,,70.0,24.7,3.2,12.7,1005.5,1012.7,1022.0,996.9,9.7,15.4,4.6,87.9,21.9,27.4,17.3,157.1,21.0,25.6,17.5,188.8
1980,부산광역시,0,0,0,17.8,21.5,14.7,231.1,160.6,,73.7,36.6,3.9,17.4,1004.1,1012.5,1021.5,997.1,10.1,14.4,6.4,140.8,20.4,23.9,17.4,235.5,21.4,24.8,19.0,314.8
1980,서울특별시,0,0,0,16.9,21.9,13.0,158.2,159.2,435.5,70.1,30.4,2.6,11.8,1002.1,1012.4,1021.5,998.8,7.6,13.0,3.4,124.8,20.3,25.1,16.3,156.1,21.2,25.8,17.5,194.9
1980,인천광역시,0,0,0,16.1,21.0,12.0,308.5,227.3,650.1,76.6,33.6,3.7,13.5,1011.0,1012.4,1021.2,998.3,7.0,12.0,2.3,192.6,19.2,23.9,15.4,283.6,20.8,25.6,16.7,462.0
1980,전라남도,539,237,1278,17.3,22.0,13.4,1241.2,221.0,942.2,81.3,37.7,2.4,10.5,1013.8,1013.5,1022.7,999.6,9.1,14.3,4.4,747.4,20.1,24.5,16.4,1324.6,21.4,25.8,17.8,1610.0
