년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),sp평균상대습도(%),sp최소상대습도(%),su평균상대습도(%),su최소상대습도(%),fa평균상대습도(%),fa최소상대습도(%),sp평균현지기압(hPa),sp평균해면기압(hPa),sp최고해면기압(hPa),sp최저해면기압(hPa),su평균현지기압(hPa),su평균해면기압(hPa),su최고해면기압(hPa),su최저해면기압(hPa),fa평균현지기압(hPa),fa평균해면기압(hPa),fa최고해면기압(hPa),fa최저해면기압(hPa),sp합계일조시간(hr),sp합계전천일사량(MJ/㎡),su합계일조시간(hr),su합계전천일사량(MJ/㎡),fa합계일조시간(hr),fa합계전천일사량(MJ/㎡),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm),sp평균풍속(m/s),sp최대풍속(m/s),su평균풍속(m/s),su최대풍속(m/s),fa평균풍속(m/s),fa최대풍속(m/s)
1980,강원도,1408,609,8574,70.5,29.5,78.7,35.7,89.5,48.0,1017.8,1023.3,1033.4,1008.6,1008.0,1013.7,1025.4,998.9,1012.2,1017.6,1026.2,1002.6,271.0,916.4,274.3,1264.4,242.0,1011.5,6.3,12.3,0.5,800.0,19.7,25.1,14.9,1167.3,18.6,23.8,14.8,1230.9,2.4,11.3,2.1,10.2,1.6,7.8
1980,경기도,3723,406,15116,71.5,20.0,79.7,31.3,81.5,38.5,1014.6,1019.1,1028.2,1003.6,1005.3,1009.8,1019.3,996.3,1008.0,1012.2,1019.7,998.2,242.0,996.6,239.6,1146.6,233.0,962.1,7.0,13.2,0.8,397.5,19.9,25.3,15.1,550.6,20.2,25.8,15.7,436.0,1.6,8.6,1.1,6.2,0.8,4.7
1980,경상남도,1786,600,10718,73.5,26.0,83.7,40.0,84.5,47.0,1021.2,1018.4,1028.4,1002.6,1013.4,1010.2,1020.3,997.2,1014.8,1011.8,1019.8,994.2,235.2,816.3,240.7,889.0,204.5,676.8,9.4,14.8,4.0,1093.0,20.7,25.7,16.1,1810.9,20.8,25.4,17.0,2232.6,1.9,10.9,1.5,10.0,1.2,8.1
1980,경상북도,22667,1132,256590,70.5,31.5,77.3,35.0,84.5,50.5,1021.0,1019.5,1029.6,1004.4,1012.2,1010.4,1020.0,995.9,1015.2,1013.6,1021.2,996.7,250.0,820.6,254.7,964.7,206.6,727.5,8.0,13.6,2.6,880.4,20.4,25.5,15.7,1469.3,20.0,24.6,16.2,1704.6,2.6,12.6,2.1,10.5,1.8,9.0
1980,광주광역시,0,0,0,67.0,20.5,77.3,31.0,79.0,36.0,1009.8,1018.6,1028.6,1001.8,1001.0,1009.4,1019.0,996.9,1002.6,1011.0,1018.4,994.8,208.8,,164.9,,164.2,,9.0,15.0,3.8,133.4,20.9,25.9,16.5,217.7,21.3,26.4,17.4,269.1,2.6,9.0,2.0,9.3,1.6,7.8
1980,대구광역시,0,0,0,60.0,14.0,70.3,23.0,79.5,38.0,1010.9,1018.3,1028.4,1001.2,1002.4,1009.4,1019.3,994.8,1004.8,1011.9,1019.8,995.5,213.1,,192.0,,142.3,,9.7,15.4,4.6,87.9,21.9,27.4,17.3,157.1,21.0,25.6,17.5,188.8,3.6,14.2,3.2,13.0,2.8,10.8
1980,부산광역시,0,0,0,62.5,21.5,77.0,39.0,80.0,48.0,1009.4,1018.0,1028.0,1001.0,1001.4,1009.7,1019.2,996.6,1002.8,1011.0,1018.4,994.2,183.6,,165.9,,129.4,,10.1,14.4,6.4,140.8,20.4,23.9,17.4,235.5,21.4,24.8,19.0,314.8,4.2,18.8,3.9,16.3,3.6,17.7
1980,서울특별시,0,0,0,64.0,24.5,73.7,32.0,71.0,34.0,1007.8,1018.4,1027.6,1003.8,998.9,1009.0,1018.6,996.2,1001.4,1011.5,1019.8,997.6,182.0,443.8,159.2,454.7,136.5,398.5,7.6,13.0,3.4,124.8,20.3,25.1,16.3,156.1,21.2,25.8,17.5,194.9,3.0,14.4,2.7,12.5,2.2,8.2
1980,인천광역시,0,0,0,67.0,21.5,80.3,36.7,80.5,41.0,1017.0,1018.6,1027.6,1003.7,1007.6,1009.0,1018.4,995.3,1010.0,1011.4,1019.0,997.2,230.0,550.9,226.7,766.2,225.6,575.1,7.0,12.0,2.3,192.6,19.2,23.9,15.4,283.6,20.8,25.6,16.7,462.0,4.6,17.5,3.4,12.4,3.1,11.2
1980,전라남도,539,237,1278,73.0,25.5,85.0,40.3,84.0,46.0,1019.4,1019.3,1029.7,1003.1,1011.0,1010.6,1020.3,999.7,1012.4,1012.0,1019.4,996.0,218.4,946.5,223.0,1011.2,220.6,834.4,9.1,14.3,4.4,747.4,20.1,24.5,16.4,1324.6,21.4,25.8,17.8,1610.0,3.0,11.9,2.2,9.5,2.0,10.6
1980,전라북도,1990,573,11401,76.0,31.5,84.0,39.3,81.0,42.5,1018.4,1021.0,1028.3,1002.8,1008.9,1012.0,1019.5,997.3,1010.8,1013.8,1019.1,997.0,234.5,936.0,229.6,996.0,221.0,905.7,7.7,13.8,2.2,636.0,20.2,25.4,15.4,1442.6,20.8,26.0,16.2,855.0,2.2,9.6,1.8,9.0,1.6,7.6
1980,제주도,0,0,0,74.0,29.0,86.7,37.0,83.0,50.0,1018.5,1018.1,1028.8,1001.8,1010.1,1009.8,1019.6,999.8,1011.2,1011.0,1018.0,997.4,204.8,825.8,210.2,985.1,182.8,820.0,11.1,14.6,7.1,424.2,20.9,24.3,17.7,674.3,22.5,25.5,19.6,658.6,3.8,14.3,2.8,11.6,3.0,14.2
1980,충청남도,6403,611,39122,75.0,24.5,84.7,37.7,84.5,47.5,1018.0,1019.0,1028.4,1003.5,1008.5,1009.4,1019.1,995.9,1010.6,1011.5,1019.0,997.4,260.6,865.8,252.8,951.2,251.4,796.2,7.3,13.4,1.4,561.1,19.8,25.1,15.3,1212.7,20.4,25.8,15.9,623.4,2.0,9.6,1.8,8.8,1.4,7.1
