"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2012","3월",6.4,11.7,21.5,1.5,-5.0,76.6,56.0,33.0,1019.5,-2.9,-,204.1,-,2.2,4.7,8.6
"2012","4월",13.7,20.6,29.9,6.9,0.1,84.5,53.0,27.0,1013.6,2.7,-,244.3,-,2.2,5.1,9.3
"2012","5월",19.0,25.5,30.0,13.0,8.2,55.6,59.0,34.0,1011.5,9.4,-,242.7,-,1.6,3.8,6.7
"2012","6월",22.5,27.8,31.6,17.8,14.2,82.9,67.0,45.0,1008.1,15.4,-,183.9,-,1.6,3.5,6.3
"2012","7월",26.2,30.9,35.9,22.1,19.0,245.5,75.0,54.0,1006.3,20.9,-,206.6,-,1.5,3.3,6.3
"2012","8월",26.6,31.4,36.4,22.8,18.7,285.9,76.0,56.0,1009.3,21.5,-,172.2,-,1.5,3.6,6.8
"2012","9월",20.0,25.6,29.5,15.8,9.2,336.0,77.0,51.0,1013.9,15.5,-,194.8,-,1.3,3.3,5.7
"2013","3월",7.7,15.5,27.0,0.5,-4.4,35.5,48.0,10.0,1017.1,-3.8,-,257.2,-,2.1,8.2,12.9
"2013","4월",11.1,17.8,29.0,4.7,-0.2,87.1,54.0,16.0,1013.2,0.8,-,249.1,-,2.3,7.6,15.3
"2013","5월",19.2,26.0,33.1,12.5,6.3,91.2,60.0,19.0,1011.9,10.0,-,273.5,-,1.7,5.8,11.1
"2013","6월",23.7,29.2,32.7,19.1,13.6,69.7,69.0,29.0,1008.2,17.0,-,210.9,-,1.5,5.4,11.9
"2013","7월",27.0,31.9,34.8,23.0,20.7,174.8,77.0,36.0,1006.1,22.1,-,191.6,-,1.3,5.9,12.2
"2013","8월",27.5,33.3,36.7,23.2,18.9,170.8,75.0,38.0,1007.2,22.2,-,257.5,-,1.2,7.3,13.3
"2013","9월",21.1,26.8,31.0,16.7,9.1,119.4,76.0,25.0,1015.4,16.2,-,182.8,-,1.1,6.3,10.1
"2014","3월",8.4,14.8,25.3,2.2,-3.8,85.5,58.0,15.0,1019.7,-0.8,-,206.0,-,1.8,6.4,11.1
"2014","4월",14.5,21.4,27.7,8.0,0.9,107.9,53.0,14.0,1017.0,3.5,-,225.8,-,1.7,6.6,11.6
"2014","5월",19.8,27.2,36.7,12.2,4.8,19.0,52.0,15.0,1010.9,8.1,-,305.4,-,2.0,7.0,14.0
"2014","6월",22.9,28.1,32.6,18.3,15.3,108.8,66.0,28.0,1006.7,15.4,-,178.0,-,1.6,4.9,9.9
"2014","7월",26.0,31.2,36.2,21.6,18.5,174.0,72.0,33.0,1007.5,19.9,-,192.0,-,1.5,5.8,10.9
"2014","8월",23.9,28.1,33.5,20.8,14.9,427.5,80.0,42.0,1008.6,19.9,-,121.4,-,1.3,4.9,10.2
"2014","9월",21.0,27.0,30.7,16.4,11.2,111.1,75.0,26.0,1013.8,15.8,-,191.8,-,1.2,4.3,7.9
"2015","3월",7.8,14.9,23.5,1.1,-5.3,50.0,48.0,10.0,1020.9,-4.2,-,250.0,-,2.1,8.3,14.9
"2015","4월",13.6,19.9,29.7,7.8,3.6,81.8,65.0,14.0,1016.4,5.6,-,177.8,-,1.6,8.6,14.4
"2015","5월",20.7,27.5,34.0,13.3,7.1,25.0,51.0,16.0,1009.6,8.5,-,303.7,-,1.8,7.3,12.5
"2015","6월",23.3,29.0,33.6,17.8,11.5,66.5,63.0,16.0,1007.2,14.8,-,191.3,-,1.4,7.3,11.9
"2015","7월",25.1,29.8,35.5,21.3,16.1,154.4,79.0,32.0,1007.4,20.8,-,183.4,-,1.3,4.7,11.6
"2015","8월",25.5,31.0,36.8,21.4,17.6,102.9,83.0,36.0,1008.6,22.0,-,185.0,-,1.1,5.6,11.7
"2015","9월",20.4,26.4,29.5,15.3,11.5,75.3,79.0,24.0,1014.4,16.0,-,192.3,-,1.1,4.7,10.7
"2016","3월",8.3,14.5,22.6,2.4,-6.2,50.5,56.0,5.0,1021.3,-1.7,-,195.8,-,1.3,4.4,7.6
"2016","4월",14.9,21.4,27.4,9.0,3.9,163.7,64.0,8.0,1013.7,6.4,-,174.3,-,1.3,9.2,16.6
"2016","5월",19.7,26.5,31.1,13.0,7.6,59.4,63.0,12.0,1011.7,10.8,-,203.8,-,1.5,8.2,15.9
"2016","6월",23.5,28.6,32.7,18.6,11.7,29.0,74.0,21.0,1007.8,17.8,-,187.1,-,1.2,5.0,9.7
"2016","7월",26.1,31.0,35.9,22.1,20.0,325.4,87.0,38.0,1008.2,23.3,-,171.0,-,1.0,4.2,9.0
"2016","8월",27.3,33.1,36.6,22.5,16.4,114.7,77.0,29.0,1005.9,22.3,-,253.2,-,1.2,5.7,12.3
"2016","9월",21.4,25.6,30.8,18.2,11.7,238.5,91.0,43.0,1013.8,19.5,-,100.5,-,0.7,3.5,7.1
"2017","3월",7.6,14.0,19.7,1.5,-2.4,25.1,55.0,7.0,1019.2,-2.9,-,217.9,-,1.4,5.6,11.7
"2017","4월",15.1,22.1,31.4,8.2,2.5,56.2,57.0,6.0,1012.8,4.5,-,238.9,-,1.4,5.9,10.7
"2017","5월",20.3,27.2,34.8,13.3,8.5,14.8,56.0,9.0,1012.0,9.5,-,281.5,-,1.4,5.1,11.6
"2017","6월",23.5,30.0,34.9,17.7,12.9,55.4,62.0,12.0,1008.4,14.5,-,217.4,-,1.3,4.2,9.6
"2017","7월",26.9,31.6,35.5,23.4,17.2,123.4,88.0,39.0,1008.0,24.4,-,137.6,-,0.9,6.1,12.0
"2017","8월",25.6,30.4,36.2,21.6,15.3,228.2,87.0,30.0,1007.9,22.8,-,186.2,-,0.9,4.2,8.7
"2017","9월",20.4,26.6,29.0,15.2,7.8,81.0,81.0,27.0,1013.3,16.5,-,203.5,-,0.9,3.5,7.2
"2018","3월",8.9,15.6,25.7,2.8,-3.3,35.4,68.0,7.0,1020.3,2.1,-,180.5,-,1.3,6.4,15.0
"2018","4월",14.5,21.2,30.5,8.1,0.2,26.1,62.0,4.0,1015.7,5.2,-,232.9,-,1.3,6.2,13.8
"2018","5월",19.1,24.9,30.9,13.3,6.7,40.4,73.0,12.0,1011.6,12.9,-,219.4,-,1.3,7.6,16.5
"2018","6월",23.4,28.7,34.5,18.4,13.9,114.6,70.0,18.0,1008.0,16.8,-,197.3,-,1.1,3.6,9.1
"2018","7월",27.5,32.5,37.9,23.3,16.1,90.0,82.0,35.0,1008.8,23.6,-,242.0,-,1.0,3.8,7.4
"2018","8월",27.7,32.9,38.1,23.0,17.5,88.7,79.0,37.0,1007.8,23.1,-,209.8,-,1.1,5.6,11.5
"2018","9월",20.3,25.3,29.4,16.2,9.2,55.3,86.0,28.0,1013.7,17.3,-,145.4,-,0.8,3.9,7.9
"2019","3월",8.9,15.4,23.9,2.6,-2.2,21.4,56.0,5.0,1017.0,-0.9,5.1,215.8,-,1.4,5.8,12.6
"2019","4월",13.2,19.4,27.3,7.2,-0.8,109.6,61.0,7.0,1015.1,3.6,5.4,194.3,-,1.1,4.9,10.1
"2019","5월",20.0,27.1,33.4,12.6,6.3,53.3,55.0,8.0,1011.8,8.8,4.0,292.0,-,1.2,5.0,11.1
"2019","6월",22.7,28.5,34.3,17.6,13.1,113.2,74.0,19.0,1007.1,16.9,5.4,233.8,-,1.0,3.8,7.4
"2019","7월",25.2,29.7,34.6,21.4,17.2,174.1,87.0,32.0,1006.7,22.4,6.9,163.4,-,0.9,3.6,7.0
"2019","8월",26.4,31.4,35.9,22.5,17.6,146.9,85.0,35.0,1007.2,23.4,6.1,206.3,-,1.0,4.0,7.8
"2019","9월",21.9,26.6,31.5,18.2,12.7,219.4,90.0,31.0,1015.2,19.9,6.9,132.4,-,0.8,4.5,12.3
"2020","3월",9.1,15.9,23.7,2.8,-3.5,19.9,59.0,7.0,1017.4,-0.2,3.8,231.9,-,1.4,7.6,15.3
"2020","4월",12.4,19.3,27.6,5.7,9.0,36.4,48.0,2.0,1016.8,-0.7,3.4,269.4,-,1.5,5.6,11.7
"2020","5월",19.1,25.3,30.9,13.4,6.8,67.4,71.0,16.0,1010.4,12.6,5.8,241.5,-,1.2,4.4,9.3
"2020","6월",24.1,29.8,35.1,19.0,14.3,198.1,76.0,25.0,1006.3,18.7,5.8,225.6,-,1.0,4.7,9.5
"2020","7월",23.0,27.0,32.1,20.0,17.4,434.0,91.0,50.0,1007.3,21.3,7.7,96.2,-,0.8,3.4,9.2
"2020","8월",27.3,31.8,34.9,23.7,21.6,401.0,87.0,45.0,1009.2,24.6,6.5,178.8,-,0.9,4.0,11.0
"2020","9월",20.3,25.6,29.7,16.1,10.7,152.5,77.0,32.0,1012.1,15.7,6.0,151.9,-,0.9,6.6,13.5
