"월별(1)","시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"월별(1)","시점",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"3월","2011",4.9,10.7,21.2,-0.3,-5.3,15.0,39.5,17.9,1021.1,-9.2,2.7,256.1,...,2.9,6.4,10.9
"3월","2012",5.5,10.5,19.9,0.8,-5.7,74.0,53.0,30.0,1019.4,-5.2,...,192.7,...,2.5,5.8,10.1
"3월","2013",6.7,14.1,25.9,-0.1,-4.4,43.1,49.0,9.0,1005.3,-4.8,…,257.9,…,2.3,9.5,16.3
"3월","2014",7.7,13.7,25.5,1.9,-5.1,88.2,53.0,10.0,1019.5,-2.7,...,211.0,...,2.0,8.4,14.5
"3월","2015",7.6,14.5,24.9,0.8,-6.4,43.5,41.0,5.0,1020.8,-6.9,...,269.2,...,2.3,10.2,17.7
"3월","2016",8.0,14.2,22.4,2.1,-6.4,56.3,48.0,10.0,1021.3,-3.8,...,211.4,...,1.9,5.8,10.9
"3월","2017",7.3,13.7,20.7,1.4,-3.0,20.2,46.0,10.0,1019.2,4.6,...,229.9,...,2.0,9.1,14.5
"3월","2018",8.5,15.2,25.0,2.5,-4.9,123.1,59.0,13.0,1020.3,-0.3,...,198.1,...,2.0,10.7,21.3
"3월","2019",7.7,14.6,23.6,1.5,-2.7,26.8,55.0,9.0,1017.2,-1.8,4.8,216.9,...,2.0,9.2,16.1
"4월","2011",11.5,17.9,26.4,5.4,-1.4,75.1,48.7,23.3,1014.4,-1.3,...,206.5,...,2.3,5.3,9.6
"4월","2012",12.9,19.5,28.9,6.7,-1.1,81.4,49.0,23.0,1013.4,0.4,...,229.1,...,2.4,5.4,10.0
"4월","2013",10.1,16.7,28.8,4.0,-1.5,71.4,54.0,9.0,1001.5,-0.1,…,235.4,…,2.4,8.8,16.3
"4월","2014",13.6,20.6,27.2,7.5,-0.6,73.3,51.0,12.0,1016.8,2.0,...,217.2,...,1.6,7.9,14.0
"4월","2015",13.1,19.2,28.9,7.6,2.6,90.0,61.0,9.0,1016.3,3.8,...,179.3,...,1.6,8.6,15.3
"4월","2016",14.7,21.8,29.5,8.4,3.5,164.4,56.0,9.0,1013.6,4.3,...,209.0,...,1.7,9.4,18.2
"4월","2017",15.0,21.9,30.8,8.4,2.3,60.8,48.0,7.0,1012.7,4.8,...,245.3,...,2.0,7.1,14.6
"4월","2018",14.3,21.1,32.0,7.4,0.7,141.4,52.0,9.0,1015.6,2.5,...,236.6,...,1.9,8.1,14.6
"4월","2019",12.5,18.9,27.7,6.3,-2.9,112.2,58.0,13.0,1015.2,2.9,5.4,201.4,...,1.6,6.4,16.1
"5월","2011",17.3,23.4,28.8,11.7,7.5,144.4,62.5,35.2,1011.6,8.5,...,175.8,...,1.7,4.1,7.9
"5월","2012",18.5,25.0,29.1,12.9,8.8,63.8,57.0,30.0,1011.3,8.1,...,244.8,...,1.4,3.5,6.7
"5월","2013",18.4,25.4,31.7,12.0,4.8,105.6,60.0,14.0,1000.4,9.3,…,269.5,…,1.6,6.3,12.8
"5월","2014",19.0,26.3,35.8,12.2,3.7,25.6,50.0,13.0,1010.7,6.9,...,316.2,...,1.7,6.0,13.9
"5월","2015",20.2,27.2,33.7,13.4,6.1,18.0,48.0,11.0,1009.3,7.1,...,308.0,...,1.7,7.7,14.1
"5월","2016",19.8,27.3,32.1,12.7,8.4,52.8,53.0,10.0,1011.6,8.5,...,280.8,...,1.6,7.7,18.2
"5월","2017",20.2,27.4,34.0,13.6,7.8,20.2,49.0,11.0,1011.9,4.9,...,282.4,...,1.8,6.4,13.9
"5월","2018",18.7,24.8,32.2,12.9,6.3,105.1,65.0,14.0,1011.5,10.7,...,211.9,...,1.4,8.9,15.9
"5월","2019",19.6,26.6,33.2,12.2,4.4,46.3,54.0,13.0,1011.8,8.6,3.8,294.9,...,1.5,5.9,14.0
"6월","2011",22.6,28.4,32.9,17.5,14.2,271.0,66.9,41.4,1006.9,15.1,...,187.3,...,1.4,3.5,6.9
"6월","2012",21.9,27.4,31.4,17.4,13.6,55.7,69.0,42.0,1007.8,15.3,...,186.6,...,1.2,2.9,6.0
"6월","2013",22.9,28.7,31.9,18.4,13.8,125.7,72.0,30.0,997.1,17.2,…,215.9,…,1.1,4.3,8.1
"6월","2014",22.1,27.9,31.9,17.7,14.8,79.9,65.0,27.0,1006.4,14.7,...,174.6,...,1.2,4.6,9.0
"6월","2015",22.9,29.3,34.3,17.6,9.9,125.2,62.0,13.0,1006.9,14.2,...,213.3,...,1.1,4.8,11.5
"6월","2016",23.7,29.5,33.8,18.8,11.3,47.0,64.0,18.0,1007.6,15.7,...,204.2,...,1.2,5.1,9.7
"6월","2017",23.4,30.5,36.6,17.3,11.7,63.4,54.0,14.0,1008.3,5.4,...,261.0,...,1.5,5.4,11.1
"6월","2018",23.3,29.2,35.2,18.2,12.8,76.9,61.0,17.0,1007.9,14.4,...,205.2,...,1.3,4.5,9.5
"6월","2019",22.0,27.8,33.4,16.8,12.5,109.5,73.0,27.0,1007.1,16.3,5.4,224.9,...,1.0,4.1,10.1
"7월","2011",24.9,29.1,33.7,21.9,19.0,283.4,85.1,65.7,1006.3,21.9,...,93.0,...,1.1,2.9,5.9
"7월","2012",25.3,29.8,35.0,21.7,18.9,271.8,78.0,58.0,1006.1,20.8,...,199.8,...,1.2,3.0,6.0
"7월","2013",26.2,31.2,34.6,22.7,21.1,157.2,77.0,45.0,995.0,21.5,…,168.6,…,1.2,8.7,17.4
"7월","2014",25.0,30.2,34.5,21.0,17.5,107.1,71.0,29.0,1007.4,19.0,...,189.3,...,1.2,4.7,11.5
"7월","2015",25.0,29.9,36.3,21.2,15.2,150.7,73.0,29.0,1007.2,19.4,...,203.6,...,1.1,5.7,13.6
"7월","2016",25.9,31.2,35.9,22.0,19.3,313.6,76.0,37.0,1008.1,21.0,...,165.6,...,1.0,4.5,9.9
