"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",3.6,11.7,21.4,-4.4,-9.5,13.2,50.0,9.0,1020.9,-7.8,-,253.5,-,1.9,8.8,14.8
"2011","4월",10.9,19.2,28.1,2.1,-4.5,81.2,55.0,6.0,1014.3,0.1,-,194.9,-,1.7,6.6,12.3
"2011","5월",17.0,24.4,29.0,9.7,3.4,124.8,64.0,13.0,1011.6,8.7,-,177.7,-,1.4,7.9,14.3
"2011","6월",22.4,29.4,34.0,15.9,10.9,138.0,68.0,19.0,1007.1,15.2,-,180.4,-,1.2,5.6,10.8
"2011","7월",25.6,30.6,34.5,21.6,17.2,270.3,78.0,27.0,1006.5,21.0,-,125.9,-,1.1,7.3,13.4
"2011","8월",25.1,30.2,35.0,21.3,15.8,243.6,81.0,39.0,1009.2,21.2,-,107.8,-,1.0,6.5,12.2
"2011","9월",20.5,27.2,34.7,15.0,5.2,50.1,74.0,17.0,1012.7,15.0,-,152.4,-,1.2,6.2,10.7
"2012","3월",5.1,12.0,20.0,-1.7,-10.0,56.8,61.0,12.0,1019.3,-3.4,-,175.7,-,1.8,8.9,16.5
"2012","4월",12.4,20.9,31.1,3.8,-4.3,69.3,57.0,9.0,1013.5,2.1,-,209.4,-,1.8,9.0,15.3
"2012","5월",17.7,25.9,30.2,10.1,5.3,48.4,62.0,9.0,1011.4,8.7,-,216.9,-,1.3,7.2,12.7
"2012","6월",22.0,28.5,32.6,16.1,11.9,87.7,67.0,24.0,1008.0,14.8,-,151.5,-,1.4,6.2,9.6
"2012","7월",25.9,31.4,36.5,21.3,17.3,247.9,76.0,30.0,1006.2,20.7,-,169.2,-,1.1,5.7,9.9
"2012","8월",26.5,32.1,37.6,22.1,18.3,207.7,76.0,28.0,1009.3,21.3,-,135.8,-,1.2,7.7,17.1
"2012","9월",19.6,26.4,30.2,14.6,5.8,188.8,79.0,24.0,1013.8,15.3,-,143.8,-,1.1,7.4,13.9
"2013","3월",5.8,15.5,26.5,-3.0,-8.7,45.5,55.0,8.0,1017.1,-4.5,-,237.9,-,1.5,7.7,17.2
"2013","4월",9.7,17.6,29.0,1.5,-4.0,82.0,59.0,9.0,1013.1,0.3,-,195.0,-,1.8,8.2,15.5
"2013","5월",17.9,26.4,33.2,9.8,3.2,100.9,64.0,13.0,1011.8,9.4,-,242.4,-,1.3,5.6,9.8
"2013","6월",23.0,29.4,33.0,17.6,10.9,139.1,73.0,25.0,1008.2,17.1,-,174.9,-,1.1,6.4,9.9
"2013","7월",26.5,32.1,35.0,22.2,19.2,142.1,79.0,36.0,1006.0,22.1,-,131.8,-,1.1,8.1,13.9
"2013","8월",27.1,33.7,36.9,22.3,17.3,90.7,77.0,26.0,1007.1,21.9,-,208.2,-,1.1,8.4,15.2
"2013","9월",20.6,27.5,32.0,15.3,8.0,114.1,79.0,23.0,1015.3,16.0,-,143.5,-,0.9,5.8,10.3
"2014","3월",6.5,14.7,26.5,-1.1,-10.1,74.6,61.0,8.0,1019.6,-2.3,-,180.7,-,1.4,7.6,15.1
"2014","4월",13.0,21.8,27.7,4.6,-2.2,53.6,58.0,11.0,1016.9,2.6,-,198.9,-,1.4,7.0,11.3
"2014","5월",17.8,27.2,36.3,8.4,0.0,23.2,58.0,9.0,1010.8,7.0,-,287.0,-,1.6,7.5,13.1
"2014","6월",21.5,28.1,33.1,15.9,11.6,46.6,69.0,23.0,1006.6,14.6,-,137.6,-,1.3,5.2,9.2
"2014","7월",25.6,32.0,37.0,20.1,15.5,38.9,71.0,22.0,1007.4,19.0,-,147.6,-,1.3,5.8,10.5
"2014","8월",23.2,28.2,35.2,19.6,11.8,372.6,83.0,33.0,1008.6,19.6,-,86.2,-,1.1,6.4,11.4
"2014","9월",19.5,26.6,30.7,14.0,7.6,103.1,81.0,22.0,1013.8,15.2,-,158.5,-,0.9,4.1,8.0
"2015","3월",5.3,14.1,23.8,-3.1,-10.5,40.7,51.0,5.0,1020.8,-6.6,-,255.5,-,1.7,8.1,15.0
"2015","4월",11.8,19.4,29.1,4.9,-1.0,61.2,68.0,9.0,1016.4,4.2,-,160.2,-,1.4,8.9,17.7
"2015","5월",18.1,27.1,33.2,8.6,0.8,22.5,58.0,8.0,1009.5,6.9,-,288.5,-,1.4,8.3,14.3
"2015","6월",21.4,28.4,34.1,15.0,7.8,87.7,67.0,9.0,1007.2,13.5,-,169.4,-,1.2,6.9,12.7
"2015","7월",24.4,30.1,37.0,19.6,13.5,75.0,75.0,25.0,1007.4,18.9,-,169.2,-,1.3,6.2,11.6
