"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",5.3,12.5,22.1,-2.0,-6.5,15.0,47.0,31.0,-,-,-,8.8,-,0.7,4.5,-
"2011","4월",12.1,19.5,27.7,45.0,-2.2,123.4,59.0,39.0,-,-,-,7.8,-,0.9,4.6,-
"2011","5월",17.6,23.8,29.3,11.7,6.6,151.4,67.0,41.0,-,-,-,6.2,-,0.5,3.1,-
"2011","6월",23.1,29.1,34.8,19.0,13.7,175.1,71.0,59.0,-,-,-,5.8,-,0.5,3.6,-
"2011","7월",25.8,30.6,34.8,22.2,18.1,414.3,80.0,68.0,-,-,-,4.3,-,0.4,2.9,-
"2011","8월",25.2,29.6,34.5,21.9,17.3,194.7,82.0,68.0,-,-,-,3.6,-,0.3,2.6,-
"2011","9월",21.3,27.2,34.1,16.6,7.9,32.4,75.0,60.0,-,-,-,5.0,-,0.4,3.0,-
"2012","3월",6.5,12.4,20.4,0.7,-3.3,80.0,60.0,32.0,-,-,-,6.5,-,0.6,4.0,12.1
"2012","4월",13.3,21.0,30.5,6.5,-0.3,88.0,61.0,32.0,-,-,-,6.7,-,0.7,4.1,11.8
"2012","5월",18.6,25.8,30.7,12.3,7.4,44.5,65.0,36.0,-,-,-,7.3,-,0.4,3.4,12.3
"2012","6월",21.8,27.1,31.6,17.4,13.7,62.5,73.0,60.0,-,-,-,5.0,-,0.5,3.1,9.0
"2012","7월",26.3,31.2,36.3,22.3,19.3,171.5,78.0,68.0,-,-,-,5.4,-,0.4,3.1,11.7
"2012","8월",26.6,31.7,33.9,22.6,19.2,251.5,77.0,66.0,-,-,-,5.0,-,0.5,3.5,11.3
"2012","9월",20.2,26.2,30.2,15.5,7.2,261.5,79.0,67.0,-,-,-,5.7,-,0.4,3.1,12.7
"2013","3월",8.3,13.7,24.8,1.1,-6.2,71.0,56.0,28.0,-,-,-,8.9,-,-,-,8.8
"2013","4월",11.1,15.4,23.6,5.8,-1.5,75.0,58.0,34.0,-,-,-,7.6,-,-,-,11.2
"2013","5월",18.6,23.4,34.0,16.0,6.2,111.5,65.0,52.0,-,-,-,7.7,-,-,-,7.8
"2013","6월",23.1,25.9,33.2,19.7,12.1,50.0,79.0,61.0,-,-,-,5.6,-,-,-,7.0
"2013","7월",27.2,29.0,35.6,23.3,20.1,221.8,76.0,62.0,-,-,-,5.5,-,-,-,8.0
"2013","8월",27.4,30.8,37.3,23.4,19.1,127.0,78.0,69.0,-,-,-,7.6,-,-,-,10.8
"2013","9월",21.3,25.3,32.4,16.7,10.2,73.0,79.0,69.0,-,-,-,5.8,-,-,-,19.4
"2014","3월",8.2,14.8,24.1,1.8,-6.5,106.5,63.2,31.6,-,-,-,6.6,-,0.9,3.3,11.5
"2014","4월",13.5,20.8,26.8,6.6,0.2,90.0,61.1,30.0,-,-,-,6.9,-,0.8,3.2,8.9
"2014","5월",18.7,26.3,34.6,11.1,2.4,48.5,59.5,25.7,-,-,-,9.2,-,0.9,3.2,12.1
"2014","6월",21.9,26.8,31.4,17.6,12.5,35.5,70.9,46.4,-,-,-,4.5,-,0.7,2.6,6.4
"2014","7월",25.4,30.5,37.0,21.2,17.6,93.0,76.4,51.3,-,-,-,5.1,-,0.6,2.3,12.0
"2014","8월",23.9,27.8,33.4,20.8,14.8,622.5,84.1,64.6,-,-,-,2.9,-,0.6,2.4,7.9
"2014","9월",20.6,26.6,31.0,16.0,11.1,117.0,80.3,50.3,-,-,-,5.7,-,0.6,2.2,7.2
"2015","3월",7.2,14.9,24.8,-0.2,-5.1,49.5,53.2,23.3,-,-,-,8.3,2.5,1.1,3.8,12.1
"2015","4월",13.2,20.0,29.8,6.8,1.2,107.0,68.7,40.9,-,-,-,5.6,-,0.9,2.9,11.5
"2015","5월",19.4,26.9,34.2,12.0,4.8,69.5,60.7,27.7,-,-,-,8.7,-,0.9,2.9,10.6
"2015","6월",21.9,27.7,33.3,16.9,14.0,48.5,70.6,44.6,-,-,-,4.8,-,0.8,2.5,7.9
"2015","7월",24.7,29.7,36.4,20.7,14.8,248.0,77.4,55.4,-,-,-,4.5,-,0.8,2.7,10.1
"2015","8월",25.3,31.2,37.5,20.9,17.0,130.5,78.4,50.2,-,-,-,5.8,-,0.7,2.6,11.7
"2015","9월",19.8,25.6,29.7,15.2,9.8,114.5,78.6,50.0,-,-,-,5.9,-,0.7,2.5,7.4
"2016","3월",8,14.7,-,1.8,-,95.5,60.6,28.3,-,-,-,5.3,-,0.5,2.7,8.6
"2016","4월",14.2,21.2,-,8.0,-,201.5,64.1,32.6,-,-,-,5.7,-,0.7,2.8,13.1
"2016","5월",19,26.7,-,11.7,-,111.5,61.2,29.2,-,-,-,5.7,-,0.7,2.9,11.8
"2016","6월",22.7,28.2,-,18.0,-,32.0,70.9,45.7,-,-,-,5.1,-,0.6,2.6,9.5
"2016","7월",26.2,31.4,-,22.2,-,187.0,77.5,53.7,-,-,-,5.8,-,0.5,2.4,10.8
"2016","8월",26.5,32.9,37.8,21.8,-,66.0,71.6,42.1,-,-,-,5.8,-,0.6,2.8,11.3
"2016","9월",21.3,25.6,-,17.9,-,475.0,83.1,62.2,-,-,-,5.0,-,0.4,2.2,9.7
"2017","3월",6.8,11.2,20.0,0.9,-5.4,38.0,56.0,27.0,-,-,-,7.5,-,-,6.6,10.7
"2017","4월",14.4,20.1,29.5,7.7,-0.4,96.0,58.0,28.0,-,-,-,7.7,-,-,6.5,8.7
