"시점","월별(1)",기 온 (℃),기 온 (℃),기 온 (℃),기 온 (℃),기 온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간,최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2014","3월",7.5,14.1,25.5,1.2,-6.3,80.9,55.0,11.0,1019.3,-2.3,4.2,219.1,0.1,1.7,7.3,11.6
"2014","4월",13.9,21.0,27.2,6.9,1.4,60.0,52.0,12.0,1016.7,2.5,4.6,227.1,-,1.7,7.1,12.0
"2014","5월",18.6,26.2,34.9,11.2,3.8,22.9,52.0,12.0,1010.5,6.9,3.2,310.5,-,2.0,8.1,13.9
"2014","6월",21.7,27.5,32.2,17.1,14.4,49.5,65.0,27.0,1006.5,14.1,7.0,185.7,-,1.8,5.5,12.2
"2014","7월",25.4,31.1,35.6,20.9,17.8,69.4,67.0,24.0,1007.2,18.1,6.8,206.5,-,1.8,7.4,13.5
"2014","8월",23.2,27.8,34.1,20.0,14.4,348.8,79.0,39.0,1008.5,18.9,8.0,135.8,-,1.5,6.5,10.6
"2014","9월",20.0,26.2,29.9,15.6,11.2,121.5,75.0,24.0,1013.7,14.9,5.7,190.3,-,1.3,5.8,9.4
"2015","3월",6.6,14.1,22.9,-0.7,-7.9,39.3,46.0,6.0,1020.5,-6.2,2.8,289.4,3.3,2.1,8.9,16.7
"2015","4월",12.6,18.8,28.9,6.8,1.4,66.5,60.0,11.0,1016.2,3.5,5.8,190.0,-,1.8,8.6,17.0
"2015","5월",19.3,26.8,33.1,11.6,4.9,26.1,50.0,9.0,1009.1,6.9,3.7,316.6,-,1.8,8.5,15.5
"2015","6월",22.0,28.4,33.9,16.4,11.0,135.4,63.0,12.0,1007.0,13.4,6.7,221.4,-,1.6,5.8,10.9
"2015","7월",24.6,29.3,35.1,20.6,15.7,123.5,71.0,28.0,1007.2,18.4,6.8,215.6,-,1.8,6.1,9.8
"2015","8월",24.9,30.8,37.2,20.6,17.3,161.2,74.0,32.0,1008.5,19.4,5.9,233.7,-,1.3,6.6,11.2
"2015","9월",19.8,26.2,30.1,14.4,9.8,11.6,70.0,16.0,1014.4,13.2,5.3,206.7,-,1.5,6.1,9.9
