"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",7.0,12.6,22.5,1.8,-3.4,16.5,35,7,1020.5,-8.9,2.7,260.8,0.0,2.6,7.2,15.7
"2011","4월",13.7,19.8,28.6,8.0,1.8,104.5,46,7,1014.1,0.0,4.0,224.3,0.0,2.5,6.7,12.5
"2011","5월",18.8,24.2,29.1,13.8,9.3,156.8,56,10,1011.5,8.3,5.6,180.6,0.0,2.4,8.0,15.5
"2011","6월",24.3,29.6,34.5,19.6,15.3,173.0,60,15,1007.7,15.2,6.0,177.7,0.0,2.2,7.0,12.7
"2011","7월",26.8,31.3,35.0,23.4,20.1,427.7,71,28,1007.3,20.7,7.0,125.6,0.0,2.0,6.7,13.1
"2011","8월",26.2,30.3,35.1,23.1,18.7,253.6,75,32,1009.8,21.0,7.4,102.4,0.0,2.1,7.0,10.9
"2011","9월",23.0,27.9,35.5,18.9,11.6,38.5,62,18,1013.0,14.6,5.3,154.7,0.0,2.0,6.2,11.5
"2012","3월",7.7,12.7,20.8,3.5,-3.4,82.1,50,10,1019.8,-3.7,5.0,210.1,0.0,2.5,8.7,15.7
"2012","4월",15.1,21.3,30.2,9.5,2.4,74.4,47,8,1014.2,2.0,4.2,243.9,0.0,2.5,10.0,16.1
"2012","5월",20.1,26.2,31.8,15.1,11.0,50.6,53,8,1012.0,8.6,5.1,240.0,0.0,2.1,7.4,15.2
"2012","6월",23.2,28.3,31.9,19.2,15.6,85.1,64,21,1008.7,15.2,7.1,190.6,0.0,2.5,6.5,11.2
"2012","7월",27.5,32.1,37.2,23.7,20.1,202.5,70,28,1006.9,20.7,7.0,203.8,0.0,2.1,6.3,9.6
"2012","8월",27.9,32.4,36.3,24.5,20.1,327.1,71,31,1009.9,21.5,7.0,188.2,0.0,2.5,8.7,17.9
"2012","9월",21.7,26.8,31.0,17.6,11.9,241.5,69,23,1014.3,15.0,5.6,204.5,0.0,1.8,9.1,16.3
"2013","3월",9.8,16.6,26.9,3.3,-2.3,55.1,41,18,1017.5,-4.7,3.1,271.8,-,2.0,4.5,8.1
"2013","4월",12.3,18.8,28.4,6.6,1.0,60.5,47,23,1013.8,-0.4,4.5,242.0,0.3,2.5,5.3,9.7
"2013","5월",20.3,26.8,34.4,14.6,8.7,70.5,53,29,1012.5,8.7,4.6,264.3,-,2.2,4.6,7.8
"2013","6월",24.3,29.5,34.4,20.2,15.0,63.1,66,41,1008.9,16.8,6.2,205.5,-,2.3,4.2,7.2
"2013","7월",28.7,33.3,35.9,25.1,22.3,249.3,67,45,1006.8,21.3,6.7,208.2,-,1.9,4.3,8.3
"2013","8월",29.0,34.4,37.9,25.0,21.7,203.0,69,42,1007.7,21.9,5.1,247.8,-,1.7,4.0,7.3
"2013","9월",23.0,28.0,33.0,19.0,13.6,96.7,67,43,1015.7,15.8,5.5,194.0,-,1.6,3.8,6.6
"2014","3월",8.8,14.5,25.4,3.5,-2.5,106.5,58,13,1018.8,-0.3,4.5,197.0,0.0,2.3,9.6,15.0
"2014","4월",14.5,20.6,26.7,8.9,3.4,88.5,57,13,1016.1,4.3,4.9,194.5,0.0,2.2,8.7,14.1
"2014","5월",20.2,27.1,36.8,13.6,6.3,25.5,53,12,1010.2,8.8,3.4,285.4,0.0,2.3,8.3,14.0
"2014","6월",22.4,27.2,33.3,18.3,14.0,23.6,70,28,1006.0,15.9,7.1,126.7,0.0,2.5,8.1,12.1
"2014","7월",26.1,31.1,37.4,22.3,18.8,124.5,74,32,1006.8,20.5,7.0,143.9,0.0,2.0,11.2,19.9
"2014","8월",23.8,27.6,33.3,20.9,16.2,409.9,84,42,1007.8,20.5,7.8,81.7,0.0,2.2,7.1,11.6
"2014","9월",21.4,26.6,31.8,17.0,12.5,105.5,77,29,1012.9,16.5,5.2,168.6,0.0,1.8,6.6,11.0
"2015","3월",8.2,14.7,23.4,1.9,-5.3,44.4,49,7,1020.0,-3.9,3.1,251.4,0.5,2.5,10.4,16.9
"2015","4월",13.6,19.4,29.6,8.3,2.5,76.4,65,11,1015.6,5.7,5.9,165.1,0.0,2.5,9.8,15.4
"2015","5월",20.7,27.3,34.3,14.1,8.0,30.5,53,10,1008.8,9.2,4.0,282.7,0.0,2.1,8.2,14.5
"2015","6월",22.5,28.2,33.4,17.8,12.4,62.6,68,15,1006.7,15.4,6.9,151.2,0.0,2.3,6.7,10.2
"2015","7월",25.0,29.5,37.0,21.3,16.8,157.5,72,28,1006.8,19.1,6.8,150.2,0.0,2.4,7.7,15.6
"2015","8월",26.0,31.2,38.3,22.0,18.3,269.5,75,28,1007.9,20.5,5.8,178.0,0.0,1.7,8.5,21.7
"2015","9월",20.6,25.9,30.0,16.2,12.8,70.3,77,30,1013.6,15.9,4.9,197.9,0.0,1.8,6.6,10.7
"2016","3월",8.8,14.5,22.4,3.5,-4.6,67.5,55,14,1020.5,-1.1,4.5,205.4,0.0,2.2,7.5,10.8
"2016","4월",14.9,21.0,27.2,9.5,4.0,151.0,61,15,1013.1,5.9,5.2,198.4,0.0,2.5,12.1,21.4
"2016","5월",20.0,26.7,32.3,13.6,8.2,65.0,59,16,1011.1,10.5,4.3,275.1,0.0,2.3,11.6,19.3
"2016","6월",23.4,28.3,33.5,19.1,12.3,45.7,67,19,1007.3,16.1,6.2,182.3,0.0,2.2,7.6,12.4
"2016","7월",26.4,31.5,36.1,22.6,19.4,307.3,73,27,1007.7,20.6,7.0,173.4,0.0,2.0,7.7,19.4
"2016","8월",27.6,33.2,38.1,23.2,16.9,81.2,65,23,1005.2,19.7,4.2,263.1,0.0,2.3,10.3,16.9
"2016","9월",21.9,25.9,32.2,18.7,13.1,306.5,79,32,1013.0,17.7,7.8,98.1,0.0,1.6,6.4,13.6
"2017","3월",7.9,13.9,20.2,2.4,-2.5,38.4,50,10,1018.4,-3.8,4.2,235.4,0.0,2.3,9.3,14.9
"2017","4월",15.7,22.0,31.1,9.6,2.1,53.0,52,12,1012.6,4.0,4.2,241.3,0.0,2.3,7.8,14.4
"2017","5월",20.8,27.5,35.9,14.5,8.5,33.1,52,14,1011.8,9.0,4.0,283.6,0.0,2.3,9.4,15.8
"2017","6월",23.3,30.0,36.3,17.9,12.2,71.5,60,15,1008.4,13.9,5.0,257.2,0.0,2.4,7.7,12.3
"2017","7월",28.0,32.8,38.4,24.0,19.1,105.3,75,27,1007.8,22.3,6.9,139.3,0.0,1.9,8.2,14.6
"2017","8월",26.4,31.4,37.0,22.5,15.5,171.3,75,15,1007.6,20.9,6.1,205.7,0.0,2.2,7.4,12.2
"2017","9월",21.5,27.0,30.4,16.4,9.2,97.5,68,16,1012.9,14.6,4.8,216.0,0.0,1.8,7.5,12.9
"2018","3월",9.2,15.6,25.9,3.3,-2.8,98.7,60,11,1020.0,0.5,4.3,219.3,7.5,2.3,10.5,18.2
"2018","4월",15.0,21.4,32.0,8.9,0.5,113.0,52,9,1015.5,3.4,4.6,247.6,-,2.6,8.8,15.3
"2018","5월",19.2,24.8,32.0,14.2,7.2,99.7,62,12,1011.6,10.5,6.1,203.8,-,2.4,9.5,18.7
"2018","6월",23.6,28.7,35.3,18.7,13.7,121.1,60,17,1008.0,14.1,6.1,201.5,-,2.2,7.7,12.3
"2018","7월",28.2,33.1,39.2,24.0,17.6,169.6,66,24,1008.6,20.3,5.1,225.4,-,2.2,7.0,11.7
"2018","8월",27.7,32.9,38.7,23.7,18.4,334.2,68,28,1007.8,20.5,5.8,219.8,-,2.4,8.0,14.3
"2018","9월",21.0,25.4,30.4,17.2,10.4,109.0,71,17,1013.3,14.9,6.7,142.6,-,1.9,7.1,11.9
"2019","3월",9.4,15.5,24.2,3.6,-1.5,20.7,50,15,1016.6,-1.7,4.8,235.8,-,2.4,8.5,14.7
"2019","4월",13.5,19.4,27.1,8.0,2.0,88.0,52,8,1014.9,2.1,5.4,188.1,-,2.2,7.9,14.8
"2019","5월",20.7,27.5,34.5,13.6,7.2,25.7,47,10,1011.6,6.8,4.4,295.6,-,2.1,7.9,11.9
"2019","6월",22.8,28.5,35.7,17.8,14.5,160.8,65,16,1007.1,14.9,5.8,238.9,-,2.1,7.4,10.8
"2019","7월",25.8,30.0,36.0,22.3,18.8,139.4,76,33,1006.7,20.7,7.4,156.3,-,1.9,7.3,10.3
"2019","8월",27.4,32.2,36.9,23.7,17.9,141.9,74,31,1007.0,21.8,6.0,198.7,-,1.9,7.2,10.5
"2019","9월",22.6,27.0,32.5,19.1,12.5,185.5,78,22,1014.9,18.2,6.9,137.0,-,1.7,7.8,12.2
"2020","3월",9.5,15.8,25.4,3.6,-2.9,24.5,61,22,1017.3,1.3,3.8,246.1,0.0,2.5,10.6,17.4
"2020","4월",12.6,19.0,28.0,6.5,1.3,32.4,53,17,1016.7,2.0,3.5,273.7,0.0,2.9,9.9,13.6
"2020","5월",19.4,25.7,31.3,14.0,9.1,38.1,64,22,1010.4,11.4,5.8,241.7,0.0,2.5,8.6,13.3
"2020","6월",24.5,30.5,37.0,19.3,15.0,185.3,63,22,1006.2,16.1,5.7,226.4,0.0,2.2,7.5,10.6
"2020","7월",23.2,26.8,32.8,20.2,16.8,330.5,79,36,1007.3,18.9,8.2,96.7,0.0,2.2,8.5,12.8
"2020","8월",28.6,33.3,26.3,24.8,22.5,322.7,71,34,1009.2,22.3,6.4,193.5,0.0,1.9,6.9,10.0
"2020","9월",21.2,26.0,30.8,17.1,11.7,161.0,73,32,1011.8,15.7,6.3,150.1,0.0,2.0,11.3,17.8
