다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 경주시
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2010-08,8.8,21.58
 2010-09,158.9,393.14
 2011-03,269.0,527.77
 2011-04,219.8,522.06
 2011-05,180.3,493.31
 2011-06,175.3,515.09
 2011-07,142.4,476.21
 2011-08,115.4,359.24
 2011-09,142.5,361.27
 2012-03,178.1,390.83
 2012-04,225.6,526.61
 2012-05,225.7,572.18
 2012-06,130.3,444.50
 2012-07,182.1,513.33
 2012-08,132.8,432.21
 2012-09,169.8,413.36
 2013-03,243.7,495.59
 2013-04,225.0,518.97
 2013-05,241.9,602.52
 2013-06,148.6,480.93
 2013-07,190.9,543.26
 2013-08,235.0,553.13
 2013-09,160.7,394.69
 2014-03,203.7,416.20
 2014-04,205.5,490.26
 2014-05,290.3,688.20
 2014-06,126.1,448.81
 2014-07,137.8,486.09
 2014-08,72.4,304.93
 2014-09,148.4,391.36
 2015-03,265.7,510.77
 2015-04,151.0,418.22
 2015-05,174.4,665.57
 2015-06,154.4,460.68
 2015-07,153.2,454.91
 2015-08,172.3,476.03
 2015-09,164.2,403.99
 2016-03,186.7,401.25
 2016-04,197.5,464.14
 2016-05,278.0,644.57
 2016-06,179.3,489.07
 2016-07,197.1,508.64
 2016-08,262.4,575.67
 2016-09,94.7,283.83
 2017-03,237.7,471.77
 2017-04,248.0,551.16
 2017-05,280.2,646.25
 2017-06,276.3,638.15
 2017-07,160.9,467.85
 2017-08,187.3,315.75
 2017-09,207.9,
 2018-03,210.6,273.81
 2018-04,247.6,529.12
 2018-05,198.1,520.32
 2018-06,179.5,510.33
 2018-07,228.8,572.11
 2018-08,208.9,505.17
 2018-09,112.8,331.02
 2019-03,238.4,484.72
 2019-04,196.9,485.91
 2019-05,290.2,629.39
 2019-06,212.3,499.40
 2019-07,146.0,419.58
 2019-08,212.0,453.13
 2019-09,123.4,314.99
 2020-03,233.1,443.15
 2020-04,271.0,551.41
 2020-05,241.0,555.77
 2020-06,239.1,550.19
 2020-07,90.2,323.02
 2020-08,210.7,469.03
 2020-09,150.1,331.31
 2021-03,186.6,472.04
 2021-04,223.5,593.36
 2021-05,196.8,598.59
 2021-06,160.3,543.72
 2021-07,185.8,568.01
 2021-08,123.0,435.54
 2021-09,98.5,355.94
 2022-03,198.5,457.33
 2022-04,247.6,604.94
 2022-05,304.7,788.89
 2022-06,197.8,593.91
 2022-07,137.7,521.09
 2022-08,140.2,472.61
 2022-09,114.9,384.06
 평균,189.2,479.63

