다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 관악산,서울
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,207.1,443.75
 1980-04,156.8,443.81
 1980-05,241.2,565.53
 1980-06,163.6,451.19
 1980-07,72.8,347.39
 1980-08,76.4,355.11
 1980-09,196.6,441.83
 1981-03,224.7,394.60
 1981-04,216.1,420.26
 1981-05,211.5,384.52
 1981-06,217.7,397.34
 1981-07,149.8,346.93
 1981-08,175.6,357.61
 1981-09,212.3,369.12
 1982-03,226.4,421.41
 1982-04,252.4,517.82
 1982-05,194.7,444.35
 1982-06,242.0,568.40
 1982-07,203.8,466.83
 1982-08,129.1,149.83
 1982-09,252.7,199.45
 1983-03,209.7,378.42
 1983-04,203.9,422.04
 1983-05,245.3,525.60
 1983-06,255.6,558.47
 1983-07,83.5,283.05
 1983-08,169.5,419.43
 1983-09,173.8,364.84
 1984-03,213.7,388.83
 1984-04,204.1,421.35
 1984-05,271.1,542.33
 1984-06,199.3,435.05
 1984-07,163.6,390.80
 1984-08,151.4,342.20
 1984-09,187.9,420.98
 1985-03,221.9,436.16
 1985-04,213.4,480.46
 1985-05,215.6,525.46
 1985-06,200.4,529.72
 1985-07,158.4,445.81
 1985-08,149.3,425.71
 1985-09,119.1,333.86
 1986-03,218.7,431.08
 1986-04,249.2,570.03
 1986-05,246.1,608.52
 1986-06,186.9,474.71
 1986-07,120.5,375.08
 1986-08,151.9,431.50
 1986-09,188.6,452.89
 1987-03,188.4,415.17
 1987-04,202.3,474.53
 1987-05,251.3,607.16
 1987-06,222.2,570.19
 1987-07,102.1,361.52
 1987-08,128.7,380.18
 1987-09,225.6,458.60
 1988-03,222.0,460.79
 1988-04,252.0,541.87
 1988-05,240.8,632.75
 1988-06,214.3,564.27
 1988-07,100.8,363.65
 1988-08,202.8,471.50
 1988-09,212.7,199.91
 1989-03,190.2,365.84
 1989-04,247.3,521.67
 1989-05,241.3,557.45
 1989-06,204.4,502.39
 1989-07,150.7,394.54
 1989-08,201.8,444.03
 1989-09,177.2,331.11
 1990-03,165.2,294.98
 1990-04,187.2,375.82
 1990-05,151.7,360.33
 1990-06,108.4,286.51
 1990-07,116.8,285.76
 1990-08,210.3,395.00
 1990-09,170.0,311.72
 1991-03,179.5,347.09
 1991-04,253.5,491.56
 1991-05,244.0,510.01
 1991-06,192.1,464.10
 1991-07,117.7,315.68
 1991-08,203.7,438.23
 1991-09,183.7,344.45
 1992-03,176.7,320.47
 1992-04,206.6,419.52
 1992-05,237.2,506.86
 1992-06,241.5,524.61
 1992-07,115.0,330.02
 1992-08,170.4,401.02
 1992-09,174.6,356.12
 1993-03,176.3,343.40
 1993-04,185.3,429.58
 1993-05,233.8,503.35
 1993-06,140.0,385.19
 1993-07,161.8,397.12
 1993-08,170.6,381.15
 1993-09,237.5,408.90
 1994-03,215.7,400.03
 1994-04,222.0,472.04
 1994-05,215.3,504.51
 1994-06,217.9,487.65
 1994-07,191.5,416.29
 1994-08,205.6,410.63
 1994-09,231.6,437.80
 1995-03,153.1,303.61
 1995-04,239.8,462.88
 1995-05,225.5,484.53
 1995-06,202.7,454.87
 1995-07,146.7,327.43
 1995-08,137.3,293.85
 1995-09,195.0,349.02
 1996-03,189.8,340.85
 1996-04,247.4,514.35
 1996-05,264.0,559.70
 1996-06,129.5,340.72
 1996-07,146.2,379.15
 1996-08,140.7,364.94
 1996-09,211.0,412.08
 1997-03,226.3,404.60
 1997-04,227.1,467.49
 1997-05,173.4,420.49
 1997-06,227.8,504.42
 1997-07,168.4,383.83
 1997-08,206.0,446.41
 1997-09,203.2,376.13
 1998-03,220.9,383.36
 1998-04,164.6,367.92
 1998-05,214.8,478.23
 1998-06,163.7,408.43
 1998-07,137.2,354.89
 1998-08,114.1,298.17
 1998-09,197.3,348.55
 1999-03,197.7,371.46
 1999-04,228.1,463.18
 1999-05,235.1,510.45
 1999-06,217.5,518.74
 1999-07,130.4,401.04
 1999-08,161.4,396.61
 1999-09,119.9,302.32
 2000-03,152.8,389.50
 2000-04,156.6,440.90
 2000-05,138.3,443.69
 2000-06,133.0,443.37
 2000-07,108.2,398.51
 2000-08,112.8,350.50
 2000-09,116.4,317.17
 2001-03,151.0,396.53
 2001-04,177.8,492.04
 2001-05,163.1,504.43
 2001-06,100.9,359.31
 2001-07,82.4,322.67
 2001-08,168.7,431.66
 2001-09,179.6,405.66
 2002-03,128.6,455.61
 2002-04,172.4,539.06
 2002-05,175.0,569.16
 2002-06,162.9,568.18
 2002-07,84.1,398.92
 2002-08,52.4,314.80
 2002-09,119.4,391.80
 2003-03,104.3,391.06
 2003-04,125.8,440.66
 2003-05,170.7,586.05
 2003-06,101.8,422.35
 2003-07,86.6,420.74
 2003-08,83.0,391.98
 2003-09,100.4,373.37
 2004-03,221.6,465.92
 2004-04,210.3,516.08
 2004-05,166.9,507.25
 2004-06,151.5,475.28
 2004-07,85.4,316.98
 2004-08,147.8,469.31
 2004-09,168.2,415.76
 2005-03,221.9,466.52
 2005-04,199.5,518.09
 2005-05,235.3,603.92
 2005-06,138.3,465.11
 2005-07,79.4,371.21
 2005-08,103.1,368.84
 2005-09,113.7,334.10
 2006-03,201.9,439.42
 2006-04,136.0,407.21
 2006-05,199.1,541.55
 2006-06,155.8,469.24
 2006-07,34.3,253.15
 2006-08,177.1,483.73
 2006-09,195.7,444.25
 2007-03,147.1,321.94
 2007-04,191.8,474.64
 2007-05,197.3,523.35
 2007-06,175.2,501.44
 2007-07,91.5,390.34
 2007-08,105.7,360.81
 2007-09,85.1,286.98
 2008-03,187.3,390.28
 2008-04,208.1,496.97
 2008-05,213.8,560.50
 2008-06,173.8,521.13
 2008-07,78.7,336.23
 2008-08,196.6,493.57
 2008-09,184.6,415.31
 2009-03,202.7,425.54
 2009-04,204.5,517.66
 2009-05,240.2,612.91
 2009-06,181.0,549.15
 2009-07,115.8,437.75
 2009-08,150.9,465.59
 2009-09,201.6,473.84
 2010-03,133.0,351.10
 2010-04,166.3,458.41
 2010-05,178.5,535.71
 2010-06,203.0,581.11
 2010-07,89.8,410.55
 2010-08,96.5,365.07
 2010-09,146.4,373.65
 2011-03,240.2,506.61
 2011-04,202.1,504.97
 2011-05,180.4,529.85
 2011-06,170.8,492.72
 2011-07,80.4,342.33
 2011-08,94.0,378.91
 2011-09,180.4,449.39
 2012-03,191.8,367.51
 2012-04,212.5,448.48
 2012-05,251.3,553.40
 2012-06,232.0,534.46
 2012-07,144.0,375.14
 2012-08,158.7,362.84
 2012-09,190.8,356.28
 2013-03,256.3,443.31
 2013-04,213.2,449.86
 2013-05,238.1,513.20
 2013-06,224.0,507.43
 2013-07,101.0,268.48
 2013-08,217.9,420.57
 2013-09,191.0,368.82
 2014-03,214.7,392.05
 2014-04,213.2,455.00
 2014-05,304.0,627.82
 2014-06,184.9,465.41
 2014-07,172.7,296.02
 2014-08,150.7,352.98
 2014-09,214.3,388.56
 2015-03,270.8,458.62
 2015-04,216.0,449.84
 2015-05,290.4,602.95
 2015-06,258.1,530.22
 2015-07,176.1,428.46
 2015-08,207.0,436.33
 2015-09,262.1,458.73
 2016-03,253.7,432.76
 2016-04,219.5,460.40
 2016-05,280.1,594.54
 2016-06,229.7,508.07
 2016-07,160.4,403.01
 2016-08,236.1,468.05
 2016-09,191.6,370.92
 2017-03,255.2,444.90
 2017-04,259.7,488.91
 2017-05,301.5,645.35
 2017-06,285.2,625.27
 2017-07,123.1,375.27
 2017-08,166.2,411.09
 2017-09,233.7,445.23
 2018-03,209.1,446.41
 2018-04,223.4,513.19
 2018-05,231.6,561.24
 2018-06,236.6,602.59
 2018-07,228.5,561.10
 2018-08,232.5,517.16
 2018-09,218.7,470.96
 2019-03,203.8,417.72
 2019-04,221.6,502.12
 2019-05,314.0,701.39
 2019-06,235.1,589.02
 2019-07,150.1,426.99
 2019-08,239.3,486.24
 2019-09,168.9,386.78
 2020-03,262.9,515.18
 2020-04,283.3,637.52
 2020-05,177.9,564.83
 2020-06,206.1,603.98
 2020-07,119.4,464.55
 2020-08,74.7,325.97
 2020-09,174.3,452.05
 2021-03,213.0,476.94
 2021-04,208.6,558.28
 2021-05,203.7,570.50
 2021-06,185.5,563.35
 2021-07,195.2,578.30
 2021-08,127.3,428.88
 2021-09,182.0,474.13
 2022-03,173.0,425.40
 2022-04,246.4,615.24
 2022-05,302.3,764.61
 2022-06,131.9,440.59
 2022-07,140.1,508.79
 2022-08,116.3,402.81
 2022-09,203.9,496.22
 평균,184.7,441.66

