다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 부산
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,178.1,
 1980-04,189.2,
 1980-05,233.0,
 1980-06,160.6,
 1980-07,104.2,
 1980-08,65.1,
 1980-09,193.7,
 1981-03,228.3,504.16
 1981-04,222.9,538.24
 1981-05,234.6,588.59
 1981-06,126.2,457.10
 1981-07,180.4,504.75
 1981-08,198.4,536.75
 1981-09,193.1,456.65
 1982-03,210.0,451.97
 1982-04,206.5,479.95
 1982-05,221.7,543.92
 1982-06,244.7,598.76
 1982-07,160.6,525.76
 1982-08,197.3,546.98
 1982-09,212.1,497.49
 1983-03,193.4,493.96
 1983-04,193.3,538.38
 1983-05,237.0,668.05
 1983-06,237.3,673.84
 1983-07,170.0,520.26
 1983-08,231.4,595.51
 1983-09,156.5,422.25
 1984-03,242.3,490.85
 1984-04,196.8,443.25
 1984-05,282.8,665.28
 1984-06,183.4,486.62
 1984-07,230.9,553.20
 1984-08,257.2,570.89
 1984-09,168.5,399.95
 1985-03,186.5,406.70
 1985-04,218.6,513.35
 1985-05,203.4,517.37
 1985-06,184.0,472.13
 1985-07,241.9,561.32
 1985-08,245.3,546.49
 1985-09,174.8,402.93
 1986-03,221.3,443.44
 1986-04,226.8,519.58
 1986-05,246.8,620.76
 1986-06,170.5,488.85
 1986-07,138.7,452.28
 1986-08,266.0,574.65
 1986-09,169.3,360.41
 1987-03,173.0,369.49
 1987-04,211.6,456.99
 1987-05,234.1,515.81
 1987-06,220.8,536.14
 1987-07,123.0,358.10
 1987-08,111.5,333.84
 1987-09,176.6,389.47
 1988-03,186.3,346.44
 1988-04,250.4,474.19
 1988-05,237.2,479.25
 1988-06,181.7,412.40
 1988-07,151.9,401.26
 1988-08,242.3,488.49
 1988-09,166.2,332.63
 1989-03,192.8,378.43
 1989-04,249.2,477.60
 1989-05,219.7,489.23
 1989-06,182.3,427.73
 1989-07,176.8,419.66
 1989-08,212.1,457.21
 1989-09,108.3,262.52
 1990-03,202.1,255.72
 1990-04,200.6,276.15
 1990-05,225.5,306.73
 1990-06,168.0,259.34
 1990-07,217.2,308.25
 1990-08,284.5,370.25
 1990-09,136.7,211.55
 1991-03,174.6,206.00
 1991-04,217.4,477.37
 1991-05,224.1,543.75
 1991-06,156.4,434.67
 1991-07,136.0,416.43
 1991-08,188.0,463.33
 1991-09,174.1,395.27
 1992-03,120.4,311.28
 1992-04,215.3,483.31
 1992-05,224.5,539.30
 1992-06,209.7,558.93
 1992-07,201.6,561.52
 1992-08,154.9,423.78
 1992-09,156.0,372.84
 1993-03,181.0,442.83
 1993-04,230.1,544.51
 1993-05,216.3,514.03
 1993-06,142.7,419.21
 1993-07,124.7,399.18
 1993-08,116.7,338.45
 1993-09,164.9,388.21
 1994-03,204.0,450.35
 1994-04,194.0,472.26
 1994-05,230.1,543.64
 1994-06,185.5,506.45
 1994-07,318.0,638.23
 1994-08,300.5,577.65
 1994-09,235.6,484.15
 1995-03,179.4,404.73
 1995-04,217.5,510.30
 1995-05,237.1,541.75
 1995-06,189.6,495.77
 1995-07,155.1,443.16
 1995-08,262.3,566.84
 1995-09,167.2,373.92
 1996-03,187.7,372.70
 1996-04,239.8,493.20
 1996-05,262.6,535.92
 1996-06,116.0,328.91
 1996-07,219.9,487.26
 1996-08,239.7,483.63
 1996-09,216.1,406.10
 1997-03,208.0,384.41
 1997-04,222.3,468.68
 1997-05,227.2,504.14
 1997-06,261.1,545.79
 1997-07,155.7,410.67
 1997-08,221.4,471.68
 1997-09,196.8,389.98
 1998-03,220.7,418.09
 1998-04,164.0,408.91
 1998-05,206.4,509.11
 1998-06,141.2,390.19
 1998-07,144.3,393.63
 1998-08,176.9,420.40
 1998-09,186.2,391.46
 1999-03,160.2,334.68
 1999-04,235.8,490.27
 1999-05,303.4,620.79
 1999-06,188.4,458.98
 1999-07,134.5,402.51
 1999-08,159.0,414.76
 1999-09,162.6,368.32
 2000-03,201.2,495.90
 2000-04,182.2,539.21
 2000-05,193.2,607.84
 2000-06,147.5,535.18
 2000-07,179.8,497.81
 2000-08,176.8,457.13
 2000-09,133.7,348.73
 2001-03,183.3,439.57
 2001-04,213.5,539.17
 2001-05,186.3,534.76
 2001-06,155.4,467.27
 2001-07,189.6,529.31
 2001-08,191.1,470.35
 2001-09,180.1,401.95
 2002-03,182.5,468.69
 2002-04,156.3,476.25
 2002-05,161.8,526.78
 2002-06,209.4,606.62
 2002-07,150.0,511.49
 2002-08,127.4,412.02
 2002-09,190.2,485.43
 2003-03,152.7,381.61
 2003-04,150.2,416.69
 2003-05,134.4,486.33
 2003-06,148.2,459.60
 2003-07,69.4,310.92
 2003-08,127.9,399.14
 2003-09,155.0,388.80
 2004-03,226.7,467.63
 2004-04,228.5,532.49
 2004-05,167.4,466.64
 2004-06,194.5,529.41
 2004-07,197.1,535.65
 2004-08,177.0,470.49
 2004-09,114.1,321.14
 2005-03,228.9,496.36
 2005-04,240.6,571.74
 2005-05,261.6,688.40
 2005-06,192.1,543.74
 2005-07,157.4,469.92
 2005-08,174.5,512.40
 2005-09,138.8,383.56
 2006-03,229.7,499.11
 2006-04,173.1,476.60
 2006-05,170.2,531.24
 2006-06,188.4,571.09
 2006-07,93.9,341.26
 2006-08,249.5,648.96
 2006-09,151.9,429.21
 2007-03,185.6,452.52
 2007-04,218.7,587.97
 2007-05,247.5,698.64
 2007-06,147.3,532.76
 2007-07,127.2,471.89
 2007-08,180.3,552.07
 2007-09,120.1,370.05
 2008-03,210.2,516.05
 2008-04,221.6,604.44
 2008-05,226.1,638.56
 2008-06,131.4,460.38
 2008-07,178.6,589.10
 2008-08,209.4,580.07
 2008-09,160.1,419.11
 2009-03,199.2,487.61
 2009-04,234.8,605.99
 2009-05,223.5,660.86
 2009-06,186.6,626.87
 2009-07,84.2,429.28
 2009-08,135.7,505.21
 2009-09,156.8,464.67
 2010-03,117.4,351.95
 2010-04,167.2,481.21
 2010-05,204.0,589.84
 2010-06,201.3,594.17
 2010-07,165.1,545.63
 2010-08,212.6,573.72
 2010-09,192.4,474.72
 2011-03,268.4,560.87
 2011-04,234.2,583.48
 2011-05,172.0,531.54
 2011-06,127.0,502.96
 2011-07,175.0,569.69
 2011-08,121.5,446.12
 2011-09,187.0,463.60
 2012-03,197.0,411.27
 2012-04,240.3,535.26
 2012-05,238.2,590.19
 2012-06,179.6,490.71
 2012-07,221.4,545.72
 2012-08,218.5,499.96
 2012-09,216.5,434.16
 2013-03,248.1,491.73
 2013-04,244.3,533.17
 2013-05,271.4,626.00
 2013-06,180.0,510.37
 2013-07,217.2,539.38
 2013-08,286.5,615.29
 2013-09,226.3,464.04
 2014-03,215.5,429.81
 2014-04,224.3,519.02
 2014-05,291.2,680.82
 2014-06,162.8,484.40
 2014-07,189.1,513.76
 2014-08,120.9,351.27
 2014-09,213.0,446.87
 2015-03,274.3,518.86
 2015-04,186.1,444.07
 2015-05,277.5,644.85
 2015-06,162.4,462.18
 2015-07,187.6,487.40
 2015-08,218.6,508.25
 2015-09,212.8,442.84
 2016-03,219.6,447.31
 2016-04,214.3,495.68
 2016-05,265.9,611.92
 2016-06,169.5,470.74
 2016-07,236.0,548.38
 2016-08,294.4,609.31
 2016-09,132.1,329.17
 2017-03,172.2,476.77
 2017-04,192.6,553.35
 2017-05,296.2,672.18
 2017-06,269.4,636.71
 2017-07,196.7,553.72
 2017-08,227.2,511.56
 2017-09,213.6,421.36
 2018-03,213.1,325.17
 2018-04,245.8,421.12
 2018-05,216.5,265.31
 2018-06,198.9,563.45
 2018-07,283.4,446.43
 2018-08,260.0,
 2018-09,142.1,202.97
 2019-03,256.0,547.76
 2019-04,210.7,535.46
 2019-05,302.2,749.14
 2019-06,234.9,620.06
 2019-07,192.4,544.77
 2019-08,239.5,594.42
 2019-09,157.7,415.50
 2020-03,243.0,534.87
 2020-04,262.4,649.75
 2020-05,215.1,645.68
 2020-06,231.2,660.40
 2020-07,86.9,393.46
 2020-08,206.0,582.67
 2020-09,159.6,437.36
 2021-03,215.3,515.26
 2021-04,242.8,646.07
 2021-05,190.8,585.96
 2021-06,208.0,630.93
 2021-07,193.8,603.76
 2021-08,154.4,500.44
 2021-09,95.2,367.94
 2022-03,190.1,479.00
 2022-04,233.6,611.32
 2022-05,293.6,796.12
 2022-06,174.2,554.45
 2022-07,193.8,622.11
 2022-08,163.6,524.39
 2022-09,135.1,435.03
 평균,196.1,487.20

