다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 강화,백령도,인천
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,249.5,591.09
 1980-04,210.6,510.65
 1980-05,292.0,802.47
 1980-06,221.8,818.36
 1980-07,166.2,677.74
 1980-08,191.0,567.94
 1980-09,260.3,582.27
 1981-03,251.4,888.43
 1981-04,244.1,1000.62
 1981-05,230.9,996.15
 1981-06,259.7,1450.33
 1981-07,216.4,1228.52
 1981-08,228.3,1117.39
 1981-09,257.7,1170.76
 1982-03,252.9,481.61
 1982-04,288.6,552.49
 1982-05,231.8,492.15
 1982-06,285.4,644.16
 1982-07,271.6,574.17
 1982-08,218.8,480.31
 1982-09,291.6,485.34
 1983-03,231.8,377.65
 1983-04,240.1,432.47
 1983-05,268.0,546.63
 1983-06,277.4,602.65
 1983-07,166.8,354.26
 1983-08,226.3,474.33
 1983-09,214.3,376.71
 1984-03,232.8,387.86
 1984-04,219.3,414.65
 1984-05,288.5,530.40
 1984-06,233.2,462.33
 1984-07,218.4,433.97
 1984-08,234.1,439.99
 1984-09,219.4,378.73
 1985-03,241.3,358.21
 1985-04,244.3,405.16
 1985-05,244.0,434.26
 1985-06,280.6,483.60
 1985-07,228.7,460.14
 1985-08,195.1,413.70
 1985-09,165.2,300.96
 1986-03,241.4,159.64
 1986-04,285.7,205.89
 1986-05,298.0,318.20
 1986-06,245.1,466.77
 1986-07,201.3,419.88
 1986-08,232.8,449.75
 1986-09,244.9,426.07
 1987-03,212.0,376.57
 1987-04,229.9,441.38
 1987-05,289.2,598.64
 1987-06,282.5,569.87
 1987-07,163.5,384.79
 1987-08,182.5,409.71
 1987-09,264.5,447.33
 1988-03,239.4,417.32
 1988-04,271.5,551.21
 1988-05,268.1,618.35
 1988-06,236.4,562.48
 1988-07,111.3,347.15
 1988-08,244.1,500.93
 1988-09,231.6,425.77
 1989-03,214.0,409.58
 1989-04,260.0,510.88
 1989-05,274.4,581.12
 1989-06,260.2,541.11
 1989-07,225.5,457.28
 1989-08,223.8,489.27
 1989-09,193.2,392.05
 1990-03,186.3,349.26
 1990-04,200.9,452.90
 1990-05,186.4,460.80
 1990-06,123.2,354.22
 1990-07,155.4,440.92
 1990-08,233.2,548.38
