다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 광주
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,196.0,
 1980-04,221.6,
 1980-05,247.4,
 1980-06,157.8,
 1980-07,89.4,
 1980-08,108.3,
 1980-09,220.2,
 1981-03,214.8,189.21
 1981-04,215.7,288.92
 1981-05,260.0,652.07
 1981-06,173.7,501.70
 1981-07,182.2,523.62
 1981-08,182.2,517.65
 1981-09,206.4,466.52
 1982-03,218.8,469.24
 1982-04,224.7,512.52
 1982-05,242.2,565.64
 1982-06,216.1,633.98
 1982-07,142.6,481.27
 1982-08,163.5,496.99
 1982-09,193.8,518.11
 1983-03,181.5,412.03
 1983-04,170.1,465.71
 1983-05,229.2,586.21
 1983-06,225.6,582.20
 1983-07,149.2,433.67
 1983-08,188.4,476.74
 1983-09,150.5,382.83
 1984-03,229.3,448.20
 1984-04,207.1,485.47
 1984-05,254.1,606.60
 1984-06,186.4,479.46
 1984-07,172.5,459.50
 1984-08,216.5,533.91
 1984-09,176.4,404.89
 1985-03,203.6,407.67
 1985-04,210.3,494.10
 1985-05,192.1,493.74
 1985-06,158.2,441.73
 1985-07,189.4,464.16
 1985-08,222.9,513.88
 1985-09,156.1,362.63
 1986-03,210.0,416.32
 1986-04,246.3,546.32
 1986-05,255.7,595.71
 1986-06,164.5,451.91
 1986-07,139.3,420.32
 1986-08,214.5,525.84
 1986-09,167.6,383.50
 1987-03,168.3,384.35
 1987-04,195.8,451.67
 1987-05,250.9,585.55
 1987-06,208.2,536.56
 1987-07,103.8,366.91
 1987-08,144.6,419.44
 1987-09,206.2,453.67
 1988-03,181.1,391.94
 1988-04,248.6,535.15
 1988-05,234.2,577.25
 1988-06,155.9,486.99
 1988-07,177.7,496.80
 1988-08,227.7,557.17
 1988-09,190.0,426.76
 1989-03,205.1,454.68
 1989-04,250.9,555.14
 1989-05,231.3,555.57
 1989-06,156.6,448.86
