다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 동두천,수원,양평,이천,파주
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,253.5,958.92
 1980-04,230.5,1034.20
 1980-05,297.5,1434.11
 1980-06,230.7,1052.04
 1980-07,190.6,953.56
 1980-08,209.3,939.37
 1980-09,256.8,984.78
 1981-03,252.2,1241.83
 1981-04,245.8,1340.93
 1981-05,266.8,1332.97
 1981-06,268.2,1245.53
 1981-07,213.0,949.36
 1981-08,224.9,1036.90
 1981-09,223.6,928.98
 1982-03,257.0,476.61
 1982-04,260.9,580.55
 1982-05,250.2,521.94
 1982-06,296.1,647.03
 1982-07,255.1,572.59
 1982-08,204.6,438.07
 1982-09,277.1,530.49
 1983-03,236.4,422.66
 1983-04,249.7,473.66
 1983-05,292.3,582.24
 1983-06,290.5,626.38
 1983-07,184.6,372.55
 1983-08,238.9,500.73
 1983-09,192.3,394.60
 1984-03,239.8,449.03
 1984-04,232.3,477.29
 1984-05,289.7,616.12
 1984-06,220.1,518.97
 1984-07,228.2,467.92
 1984-08,220.3,465.02
 1984-09,191.4,412.14
 1985-03,236.1,210.69
 1985-04,235.6,214.36
 1985-05,238.2,225.03
 1985-06,262.3,227.28
 1985-07,220.8,191.21
 1985-08,214.9,179.07
 1985-09,165.7,300.32
 1986-03,241.4,480.01
 1986-04,280.3,598.30
 1986-05,288.1,617.03
 1986-06,233.1,474.63
 1986-07,211.2,315.35
 1986-08,211.6,404.43
 1986-09,224.1,379.13
 1987-03,222.7,387.60
 1987-04,234.2,424.13
 1987-05,273.3,528.58
 1987-06,277.6,497.28
 1987-07,183.7,327.04
 1987-08,185.4,365.40
 1987-09,245.4,414.34
 1988-03,249.1,412.77
 1988-04,273.8,509.15
 1988-05,266.6,548.58
 1988-06,244.5,511.21
 1988-07,155.8,340.86
 1988-08,258.8,487.47
 1988-09,255.9,417.95
 1989-03,224.7,384.16
 1989-04,271.7,495.96
 1989-05,273.2,541.40
 1989-06,246.3,483.03
 1989-07,202.6,405.30
 1989-08,256.8,434.97
 1989-09,202.8,315.63
 1990-03,199.6,318.58
 1990-04,208.1,395.37
 1990-05,200.5,387.59
 1990-06,157.5,312.52
 1990-07,176.9,323.60
 1990-08,239.7,436.74
 1990-09,203.4,345.45
 1991-03,203.9,326.95
 1991-04,273.3,492.86
 1991-05,275.4,498.68
 1991-06,260.3,448.95
 1991-07,172.6,316.32
 1991-08,249.7,430.99
 1991-09,196.3,346.96
 1992-03,200.9,299.40
 1992-04,228.4,401.76
 1992-05,238.7,456.29
 1992-06,270.0,464.53
 1992-07,188.4,331.86
 1992-08,210.0,355.65
 1992-09,198.9,319.06
 1993-03,186.1,382.73
 1993-04,213.5,491.55
 1993-05,239.4,582.33
 1993-06,160.9,462.88
 1993-07,166.5,447.86
 1993-08,146.1,362.22
 1993-09,223.3,408.72
 1994-03,217.3,407.84
 1994-04,219.5,445.30
 1994-05,222.3,457.64
 1994-06,221.3,512.38
 1994-07,204.3,469.53
 1994-08,203.2,454.69
 1994-09,227.3,451.14
 1995-03,161.9,336.49
 1995-04,246.0,471.47
 1995-05,241.5,521.36
 1995-06,207.4,482.00
 1995-07,159.1,397.54
 1995-08,151.4,377.13
 1995-09,188.2,387.47
 1996-03,183.7,290.19
 1996-04,254.7,383.98
 1996-05,267.6,419.36
 1996-06,125.5,279.95
 1996-07,160.8,441.66
 1996-08,179.0,426.88
 1996-09,227.1,432.36
 1997-03,238.8,393.35
 1997-04,231.1,440.67
 1997-05,175.0,398.23
 1997-06,227.6,476.81
 1997-07,183.7,408.15
 1997-08,221.8,439.90
 1997-09,215.5,310.37
 1998-03,217.4,263.53
 1998-04,160.3,234.43
 1998-05,218.2,294.53
 1998-06,166.0,261.09
 1998-07,151.0,256.09
 1998-08,134.0,278.58
 1998-09,190.3,291.07
 1999-03,198.2,366.78
 1999-04,229.2,456.42
 1999-05,243.5,532.97
 1999-06,229.9,528.28
 1999-07,180.5,445.17
 1999-08,192.2,419.83
 1999-09,156.1,320.94
 2000-03,215.0,455.28
 2000-04,215.3,530.95
 2000-05,194.3,562.77
 2000-06,199.1,554.20
 2000-07,163.7,542.24
 2000-08,152.1,453.02
 2000-09,158.7,394.07
 2001-03,221.3,484.58
 2001-04,304.9,579.14
 2001-05,328.7,613.82
 2001-06,256.3,458.05
 2001-07,256.8,461.50
 2001-08,324.4,584.85
 2001-09,293.1,514.36
 2002-03,274.0,438.67
 2002-04,276.0,539.10
 2002-05,315.2,605.37
 2002-06,321.5,598.23
 2002-07,282.6,499.78
 2002-08,219.9,345.64
 2002-09,252.8,419.13
 2003-03,228.4,404.19
 2003-04,205.2,448.77
 2003-05,278.9,606.45
 2003-06,204.2,457.77
 2003-07,211.0,450.74
 2003-08,172.0,385.71
 2003-09,181.9,388.23
 2004-03,262.2,494.99
 2004-04,258.3,555.44
 2004-05,242.9,544.98
 2004-06,245.8,523.79
 2004-07,150.3,403.57
 2004-08,240.1,524.65
 2004-09,200.6,443.91
 2005-03,271.6,510.99
 2005-04,259.6,560.45
 2005-05,288.5,657.43
 2005-06,235.0,517.93
 2005-07,209.7,461.93
 2005-08,192.1,448.51
 2005-09,196.9,385.43
 2006-03,257.1,484.42
 2006-04,195.5,451.50
 2006-05,256.0,574.06
 2006-06,237.9,531.84
 2006-07,125.8,332.50
 2006-08,247.9,579.69
 2006-09,237.2,477.59
 2007-03,155.3,348.78
 2007-04,211.0,513.24
 2007-05,213.2,563.62
 2007-06,194.3,535.07
 2007-07,112.1,424.90
 2007-08,126.3,425.65
 2007-09,94.0,309.73
 2008-03,194.9,411.49
 2008-04,211.3,512.62
 2008-05,215.9,579.54
 2008-06,191.7,523.02
 2008-07,98.1,416.64
 2008-08,221.2,533.48
 2008-09,195.3,446.10
 2009-03,215.1,458.31
 2009-04,213.4,524.73
 2009-05,246.8,610.79
 2009-06,213.3,575.27
 2009-07,159.2,476.62
 2009-08,189.5,505.70
 2009-09,217.6,479.93
 2010-03,142.9,347.20
 2010-04,182.1,476.36
 2010-05,201.5,557.47
 2010-06,215.6,587.46
 2010-07,129.2,471.06
 2010-08,127.0,409.60
 2010-09,165.4,404.98
 2011-03,258.1,514.31
 2011-04,210.6,509.16
 2011-05,201.5,542.32
 2011-06,185.9,507.90
 2011-07,95.6,368.29
 2011-08,114.5,407.52
 2011-09,200.9,464.79
 2012-03,199.2,411.82
 2012-04,219.2,513.21
 2012-05,256.2,640.74
 2012-06,247.6,627.32
 2012-07,181.3,487.66
 2012-08,182.9,438.77
 2012-09,199.3,411.28
 2013-03,256.9,486.99
 2013-04,222.2,519.51
 2013-05,234.8,593.67
 2013-06,248.7,612.90
 2013-07,116.9,336.56
 2013-08,234.9,471.11
 2013-09,191.8,385.56
 2014-03,226.2,464.55
 2014-04,217.6,459.33
 2014-05,302.5,630.98
 2014-06,204.5,528.82
 2014-07,200.9,460.52
 2014-08,182.6,386.38
 2014-09,216.2,200.45
 2015-03,265.4,410.18
 2015-04,223.3,391.21
 2015-05,288.7,561.92
 2015-06,259.5,519.12
 2015-07,198.8,412.06
 2015-08,233.8,439.44
 2015-09,263.3,420.01
 2016-03,250.6,397.71
 2016-04,221.6,423.37
 2016-05,278.4,548.69
