다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 강릉,대관령,동해,북강릉,북춘천,삼척,속초,영월,원주,인제,정선군,철원,춘천,태백,홍천
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,276.4,997.47
 1980-04,265.6,835.41
 1980-05,310.2,1332.90
 1980-06,286.0,1416.49
 1980-07,226.8,1043.88
 1980-08,223.2,898.18
 1980-09,260.7,1124.80
 1981-03,261.6,1175.89
 1981-04,254.8,1293.12
 1981-05,278.0,1357.62
 1981-06,299.2,1475.45
 1981-07,235.0,1260.43
 1981-08,244.0,1266.18
 1981-09,233.6,1004.62
 1982-03,254.4,455.46
 1982-04,301.6,534.16
 1982-05,255.3,516.73
 1982-06,306.0,634.83
 1982-07,301.3,582.25
 1982-08,238.5,484.04
 1982-09,283.2,532.99
 1983-03,242.9,485.21
 1983-04,264.8,540.61
 1983-05,303.0,648.55
 1983-06,309.1,635.48
 1983-07,222.1,454.99
 1983-08,252.5,558.55
 1983-09,216.6,400.13
 1984-03,257.3,505.30
 1984-04,251.9,509.31
 1984-05,322.6,667.02
 1984-06,267.5,534.63
 1984-07,258.6,524.54
 1984-08,264.4,490.29
 1984-09,226.9,411.93
 1985-03,247.3,463.73
 1985-04,263.4,527.77
 1985-05,280.2,593.65
 1985-06,294.3,532.88
 1985-07,258.6,565.87
 1985-08,245.4,489.39
 1985-09,166.4,323.70
 1986-03,226.4,443.34
 1986-04,291.9,599.19
 1986-05,270.2,607.68
 1986-06,215.5,528.70
 1986-07,216.7,470.68
 1986-08,223.8,496.34
 1986-09,215.6,448.24
 1987-03,214.0,442.66
 1987-04,265.9,557.43
 1987-05,303.0,649.79
 1987-06,296.3,628.00
 1987-07,245.5,460.92
 1987-08,210.1,421.67
 1987-09,266.5,458.25
 1988-03,233.0,437.94
 1988-04,266.7,553.05
 1988-05,290.4,612.97
 1988-06,247.8,565.70
 1988-07,166.1,390.77
 1988-08,246.1,597.32
 1988-09,205.7,469.77
 1989-03,206.2,404.45
 1989-04,281.9,581.11
 1989-05,285.2,642.47
 1989-06,239.8,610.63
 1989-07,218.1,456.14
 1989-08,233.5,476.64
 1989-09,180.2,376.85
 1990-03,221.5,392.97
 1990-04,230.6,490.16
 1990-05,261.3,549.34
 1990-06,203.8,436.98
 1990-07,177.9,428.17
 1990-08,260.2,510.69
 1990-09,183.4,398.15
 1991-03,197.8,415.64
 1991-04,268.1,558.42
 1991-05,303.8,644.74
 1991-06,289.2,567.73
 1991-07,174.8,404.76
 1991-08,254.3,572.09
 1991-09,199.5,403.12
 1992-03,187.2,389.03
 1992-04,235.8,479.35
 1992-05,272.4,580.21
 1992-06,269.2,605.68
 1992-07,239.7,483.26
 1992-08,179.2,452.78
 1992-09,192.4,393.71
 1993-03,211.1,416.51
 1993-04,234.2,486.26
 1993-05,237.0,587.78
 1993-06,159.2,496.71
 1993-07,182.2,519.05
 1993-08,161.0,438.70
 1993-09,237.0,580.81
 1994-03,230.8,547.36
 1994-04,235.7,600.55
 1994-05,234.7,626.97
 1994-06,216.0,636.17
 1994-07,231.8,578.90
 1994-08,235.5,584.60
 1994-09,211.5,503.06
 1995-03,179.5,379.50
 1995-04,264.8,525.32
 1995-05,244.8,597.74
 1995-06,201.8,534.19
 1995-07,184.6,483.16
 1995-08,178.9,441.34
 1995-09,186.0,409.01
 1996-03,193.7,401.43
 1996-04,262.2,559.73
 1996-05,251.6,575.99
 1996-06,138.7,423.88
 1996-07,202.0,491.24
 1996-08,194.1,484.31
 1996-09,224.2,453.88
 1997-03,239.1,445.89
 1997-04,227.6,505.38
 1997-05,185.1,478.37
 1997-06,218.9,534.50
 1997-07,231.1,546.77
 1997-08,219.4,503.89
 1997-09,208.2,409.76
 1998-03,249.7,453.22
 1998-04,193.9,451.15
 1998-05,255.1,560.20
 1998-06,186.8,482.84
 1998-07,171.2,425.67
 1998-08,146.5,397.69
 1998-09,197.6,387.97
 1999-03,208.4,402.93
 1999-04,232.3,474.29
 1999-05,254.5,569.74
 1999-06,249.5,573.25
 1999-07,175.1,485.00
 1999-08,209.7,480.71
 1999-09,157.9,373.67
 2000-03,233.0,464.37
 2000-04,217.2,546.58
 2000-05,195.8,550.53
 2000-06,206.7,640.77
 2000-07,198.3,580.46
 2000-08,145.4,451.25
 2000-09,155.9,374.57
 2001-03,224.6,514.33
 2001-04,303.5,594.79
 2001-05,338.2,624.11
 2001-06,273.8,467.64
 2001-07,317.8,545.17
 2001-08,325.7,600.02
 2001-09,286.7,486.06
 2002-03,254.4,493.65
 2002-04,267.8,598.13
 2002-05,270.5,610.05
 2002-06,286.1,623.49
 2002-07,213.1,507.26
 2002-08,157.6,345.73
 2002-09,196.3,440.75
 2003-03,225.8,407.53
 2003-04,220.9,463.96
 2003-05,276.3,622.62
 2003-06,243.4,501.16
 2003-07,190.2,495.54
 2003-08,199.3,406.99
 2003-09,168.3,371.58
 2004-03,269.9,535.18
 2004-04,272.2,560.47
 2004-05,282.3,590.91
 2004-06,269.4,572.74
 2004-07,226.8,440.70
 2004-08,206.7,507.92
 2004-09,192.8,482.73
 2005-03,251.8,491.13
 2005-04,284.4,578.79
 2005-05,310.4,633.07
 2005-06,280.7,542.73
 2005-07,225.9,502.20
 2005-08,179.4,492.10
 2005-09,145.5,398.35
 2006-03,248.0,515.78
 2006-04,170.7,439.82
 2006-05,214.6,588.34
 2006-06,226.0,586.83
 2006-07,99.7,355.02
 2006-08,212.8,584.91
 2006-09,202.9,498.44
 2007-03,181.9,429.75
 2007-04,197.7,550.76
 2007-05,239.6,633.81
 2007-06,210.2,608.85
 2007-07,136.5,487.87
 2007-08,146.2,422.18
 2007-09,88.2,328.15
 2008-03,179.6,436.46
 2008-04,210.8,528.74
 2008-05,213.7,626.15
 2008-06,199.7,607.91
 2008-07,158.3,514.72
 2008-08,226.9,573.00
 2008-09,196.3,474.81
 2009-03,188.3,471.16
 2009-04,247.0,585.03
 2009-05,236.7,614.45
 2009-06,206.2,581.82
 2009-07,159.7,544.00
 2009-08,180.1,542.80
 2009-09,201.5,492.95
 2010-03,135.2,406.85
 2010-04,186.3,516.08
 2010-05,208.6,620.22
 2010-06,259.9,683.42
 2010-07,159.7,511.81
 2010-08,121.2,410.23
 2010-09,153.0,398.73
 2011-03,242.2,546.01
 2011-04,207.6,535.51
 2011-05,191.6,557.47
 2011-06,213.1,596.74
 2011-07,101.3,395.77
 2011-08,139.6,468.45
 2011-09,190.9,457.64
 2012-03,188.7,435.53
 2012-04,229.4,550.30
 2012-05,258.7,647.34
 2012-06,223.6,672.74
 2012-07,212.0,542.09
 2012-08,183.7,480.56
 2012-09,202.8,441.77
 2013-03,256.9,518.49
 2013-04,232.9,536.79
 2013-05,255.0,621.98
 2013-06,238.9,658.11
 2013-07,174.9,460.92
 2013-08,251.4,577.16
 2013-09,187.0,404.03
 2014-03,225.4,464.73
 2014-04,220.5,534.07
 2014-05,304.5,730.50
 2014-06,197.6,567.81
 2014-07,251.3,588.41
 2014-08,160.2,428.42
 2014-09,230.0,493.84
 2015-03,296.0,560.94
 2015-04,227.8,480.98
 2015-05,329.3,710.79
 2015-06,275.9,620.74
 2015-07,211.3,517.62
 2015-08,246.5,577.22
 2015-09,256.6,519.16
 2016-03,236.3,516.41
 2016-04,252.7,567.36
 2016-05,321.3,715.68
 2016-06,277.8,611.06
 2016-07,206.2,477.65
 2016-08,253.8,573.78
 2016-09,202.5,391.01
 2017-03,239.3,469.34
 2017-04,286.0,617.31
 2017-05,314.0,703.85
 2017-06,279.9,684.74
 2017-07,207.8,511.43
 2017-08,176.8,468.56
 2017-09,252.0,535.15
 2018-03,231.0,466.11
 2018-04,268.4,567.54
 2018-05,265.0,581.54
 2018-06,267.3,650.56
 2018-07,252.5,636.31
 2018-08,235.2,545.21
 2018-09,207.8,459.98
 2019-03,237.7,491.78
 2019-04,236.5,567.23
 2019-05,340.0,784.83
 2019-06,284.6,698.73
 2019-07,211.8,556.37
 2019-08,267.7,633.22
 2019-09,201.4,448.43
 2020-03,273.6,559.70
 2020-04,288.8,613.78
 2020-05,248.4,638.57
 2020-06,267.3,651.10
 2020-07,210.6,515.01
 2020-08,143.6,407.60
 2020-09,213.3,429.74
 2021-03,240.7,493.87
 2021-04,262.0,604.86
 2021-05,247.5,592.14
 2021-06,247.4,615.72
 2021-07,289.1,697.93
 2021-08,211.3,486.91
 2021-09,231.6,476.77
 2022-03,226.4,475.59
 2022-04,281.5,630.56
 2022-05,327.7,751.88
 2022-06,195.6,533.66
 2022-07,227.5,582.61
 2022-08,176.3,455.87
 2022-09,236.3,500.53
 평균,230.5,552.54

