다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 보은,제천,청주,추풍령,충주
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,231.7,663.93
 1980-04,224.6,714.01
 1980-05,282.7,1154.48
 1980-06,218.6,962.80
 1980-07,167.6,626.09
 1980-08,174.8,759.57
 1980-09,233.5,958.17
 1981-03,231.4,716.99
 1981-04,233.2,831.87
 1981-05,256.5,919.96
 1981-06,237.6,824.20
 1981-07,195.2,707.30
 1981-08,210.5,661.46
 1981-09,216.4,730.06
 1982-03,237.2,460.85
 1982-04,257.7,546.11
 1982-05,251.1,555.12
 1982-06,300.6,647.02
 1982-07,231.8,566.13
 1982-08,201.6,487.63
 1982-09,251.4,460.55
 1983-03,218.9,418.55
 1983-04,229.6,508.54
 1983-05,275.9,606.61
 1983-06,277.6,628.29
 1983-07,182.2,449.81
 1983-08,227.0,450.14
 1983-09,180.6,399.40
 1984-03,232.7,450.41
 1984-04,220.5,484.33
 1984-05,300.6,644.46
 1984-06,229.4,552.48
 1984-07,215.2,500.08
 1984-08,235.5,524.47
 1984-09,201.8,424.73
 1985-03,225.1,447.02
 1985-04,233.2,526.47
 1985-05,254.4,563.96
 1985-06,238.7,434.66
 1985-07,221.4,436.52
 1985-08,235.3,399.62
 1985-09,148.5,259.13
 1986-03,220.8,441.11
 1986-04,270.3,567.31
 1986-05,275.6,613.98
 1986-06,216.0,501.57
 1986-07,198.1,482.18
 1986-08,209.7,478.79
 1986-09,206.6,416.87
 1987-03,206.3,419.00
 1987-04,222.1,477.97
 1987-05,262.6,591.47
 1987-06,277.0,578.78
 1987-07,156.6,378.70
 1987-08,174.7,405.19
 1987-09,228.2,462.43
 1988-03,218.9,384.84
 1988-04,269.8,537.36
 1988-05,278.5,580.02
 1988-06,247.1,558.53
 1988-07,172.0,399.32
 1988-08,237.4,526.82
 1988-09,219.8,440.33
 1989-03,213.6,418.20
 1989-04,279.3,561.38
 1989-05,278.7,594.57
 1989-06,242.6,603.98
 1989-07,205.3,499.32
 1989-08,249.4,552.16
 1989-09,191.0,393.07
 1990-03,193.2,427.02
 1990-04,208.0,479.44
 1990-05,214.9,594.43
 1990-06,156.5,502.67
 1990-07,177.9,495.97
 1990-08,252.9,519.94
 1990-09,193.5,400.81
 1991-03,191.1,405.88
 1991-04,272.5,533.79
 1991-05,277.9,632.12
 1991-06,260.5,568.66
 1991-07,149.3,337.81
 1991-08,233.4,475.23
 1991-09,180.2,401.32
 1992-03,183.3,341.81
 1992-04,228.4,506.19
 1992-05,246.8,549.27
 1992-06,261.0,515.46
 1992-07,208.1,515.45
 1992-08,206.2,420.01
 1992-09,182.1,367.18
 1993-03,202.5,432.84
 1993-04,235.4,509.69
 1993-05,255.5,560.95
 1993-06,155.7,403.84
 1993-07,155.9,399.72
 1993-08,133.6,357.50
 1993-09,217.7,481.35
 1994-03,227.6,428.24
 1994-04,220.9,457.06
 1994-05,220.2,509.83
 1994-06,236.7,505.19
 1994-07,269.4,570.90
 1994-08,242.5,480.31
 1994-09,241.7,466.65
 1995-03,186.2,365.36
 1995-04,257.0,511.18
 1995-05,240.3,516.17
 1995-06,238.3,512.62
 1995-07,170.7,397.53
 1995-08,198.0,449.96
 1995-09,180.0,384.97
 1996-03,185.6,379.59
 1996-04,270.8,541.28
 1996-05,264.7,562.43
 1996-06,127.6,388.01
 1996-07,239.4,538.20
 1996-08,208.3,462.83
 1996-09,226.0,435.73
 1997-03,241.6,444.90
 1997-04,240.2,491.73
 1997-05,205.6,489.85
 1997-06,250.3,547.80
 1997-07,182.2,445.89
 1997-08,230.7,493.58
 1997-09,227.0,439.16
 1998-03,232.8,417.76
 1998-04,177.8,426.78
 1998-05,232.5,517.94
 1998-06,165.0,433.31
 1998-07,168.2,435.75
 1998-08,141.9,368.89
 1998-09,192.5,388.88
 1999-03,192.4,367.18
 1999-04,245.3,496.11
 1999-05,266.6,563.64
 1999-06,238.4,548.46
 1999-07,189.4,493.33
 1999-08,172.3,412.67
 1999-09,161.3,356.48
 2000-03,237.5,512.70
 2000-04,234.2,542.89
 2000-05,214.7,567.51
 2000-06,204.5,521.74
 2000-07,185.6,542.21
 2000-08,152.4,443.55
 2000-09,140.2,379.42
 2001-03,293.3,491.62
