다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 강진군,고흥,광양시,목포,무안,보성군,순천,여수,영광군,완도,장흥,주암,진도(첨찰산),진도군,해남,흑산도
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,221.0,901.20
 1980-04,215.8,991.80
 1980-05,279.5,1307.73
 1980-06,217.1,939.09
 1980-07,172.5,786.85
 1980-08,180.1,723.41
 1980-09,261.0,945.45
 1981-03,226.5,895.83
 1981-04,247.6,1146.46
 1981-05,268.5,1675.53
 1981-06,225.1,1230.23
 1981-07,240.8,1311.24
 1981-08,265.4,1338.68
 1981-09,239.1,936.19
 1982-03,244.3,580.09
 1982-04,251.7,537.86
 1982-05,276.7,613.44
 1982-06,280.8,631.06
 1982-07,237.1,510.48
 1982-08,264.7,567.76
 1982-09,245.2,491.46
 1983-03,222.7,384.82
 1983-04,214.3,458.01
 1983-05,270.7,587.15
 1983-06,268.2,555.76
 1983-07,217.3,427.63
 1983-08,250.0,531.45
 1983-09,202.2,415.23
 1984-03,248.4,498.82
 1984-04,235.5,532.60
 1984-05,287.7,650.69
 1984-06,225.3,529.57
 1984-07,232.7,488.12
 1984-08,266.0,587.81
 1984-09,222.6,459.97
 1985-03,209.7,442.52
 1985-04,242.5,554.33
 1985-05,231.0,550.29
 1985-06,207.4,535.56
 1985-07,246.0,555.33
 1985-08,277.8,597.86
 1985-09,220.3,454.54
 1986-03,246.6,465.65
 1986-04,259.2,580.08
 1986-05,270.1,645.17
 1986-06,226.2,503.03
 1986-07,197.2,465.22
 1986-08,292.3,579.28
 1986-09,211.5,427.61
 1987-03,209.9,390.05
 1987-04,233.8,511.56
 1987-05,275.9,640.23
 1987-06,258.7,600.18
 1987-07,163.6,385.48
 1987-08,194.9,452.60
 1987-09,246.3,479.81
 1988-03,214.2,407.41
 1988-04,273.8,559.66
 1988-05,269.7,616.06
 1988-06,227.6,505.47
 1988-07,222.9,548.78
 1988-08,263.0,603.05
 1988-09,218.0,464.53
 1989-03,250.3,471.68
 1989-04,270.9,551.43
 1989-05,266.5,574.11
 1989-06,225.3,486.42
 1989-07,229.3,493.37
 1989-08,268.4,544.02
 1989-09,177.7,381.36
 1990-03,223.2,411.81
 1990-04,239.1,490.56
 1990-05,230.7,490.99
 1990-06,195.9,438.78
 1990-07,247.2,521.69
 1990-08,298.9,603.41
 1990-09,206.8,408.58
 1991-03,194.0,412.05
 1991-04,239.7,583.79
 1991-05,248.0,615.02
 1991-06,198.5,494.23
 1991-07,185.0,439.63
 1991-08,202.5,523.94
 1991-09,209.7,467.45
 1992-03,189.6,385.20
 1992-04,256.6,559.29
 1992-05,278.8,685.09
 1992-06,254.0,601.09
 1992-07,274.3,529.25
 1992-08,240.4,550.28
 1992-09,195.1,418.74
 1993-03,216.2,468.95
 1993-04,260.4,565.72
 1993-05,227.5,644.23
 1993-06,174.6,510.41
 1993-07,131.2,370.75
 1993-08,134.0,424.21
 1993-09,210.7,469.78
 1994-03,229.6,473.09
 1994-04,196.7,514.12
 1994-05,219.3,559.15
 1994-06,179.5,542.39
 1994-07,296.5,704.48
 1994-08,263.7,602.63
 1994-09,270.3,564.17
 1995-03,225.6,450.49
 1995-04,238.3,542.01
 1995-05,252.0,597.04
 1995-06,233.9,593.31
 1995-07,165.8,457.71
 1995-08,271.6,576.48
 1995-09,184.2,413.82
 1996-03,183.6,380.67
 1996-04,244.0,547.36
 1996-05,252.9,618.50
 1996-06,107.8,374.88
 1996-07,204.5,572.09
 1996-08,241.4,570.22
 1996-09,222.1,496.72
 1997-03,221.2,456.75
 1997-04,229.0,549.10
 1997-05,221.2,554.63
 1997-06,225.0,625.30
 1997-07,178.4,555.89
 1997-08,261.5,633.52
 1997-09,257.0,518.98
 1998-03,213.0,426.53
 1998-04,168.4,434.34
 1998-05,189.4,485.23
 1998-06,143.4,433.18
 1998-07,187.7,526.18
 1998-08,188.6,453.12
 1998-09,195.5,431.85
 1999-03,161.9,358.28
 1999-04,239.1,536.18
 1999-05,288.0,647.40
 1999-06,225.5,560.72
 1999-07,163.5,453.93
 1999-08,192.4,480.20
 1999-09,166.5,384.07
 2000-03,239.2,524.24
 2000-04,239.1,606.17
 2000-05,241.9,596.46
 2000-06,165.0,506.54
 2000-07,202.2,571.09
 2000-08,243.3,632.68
 2000-09,151.7,397.16
 2001-03,297.8,502.45
 2001-04,326.6,626.31
 2001-05,331.2,620.34
 2001-06,304.8,461.31
 2001-07,338.6,599.50
 2001-08,343.2,582.99
 2001-09,312.8,589.30
 2002-03,254.4,481.75
 2002-04,257.8,514.83
 2002-05,259.2,514.51
 2002-06,308.6,657.16
 2002-07,250.1,482.74
 2002-08,231.5,429.57
 2002-09,283.7,516.99
 2003-03,240.8,458.31
 2003-04,232.5,498.97
 2003-05,256.4,565.13
 2003-06,261.8,536.53
 2003-07,195.1,364.72
 2003-08,255.5,464.09
 2003-09,261.4,470.13
 2004-03,241.3,513.90
 2004-04,249.7,557.98
 2004-05,208.4,542.10
 2004-06,214.5,540.90
 2004-07,206.8,564.84
 2004-08,241.1,584.47
 2004-09,158.1,436.67
 2005-03,242.4,504.56
 2005-04,268.8,624.46
 2005-05,309.6,667.56
 2005-06,230.0,559.23
 2005-07,181.6,505.26
 2005-08,205.1,506.13
 2005-09,182.8,424.11
 2006-03,238.6,534.79
 2006-04,197.5,522.66
 2006-05,176.6,512.40
 2006-06,204.0,549.57
 2006-07,147.0,402.81
 2006-08,268.0,625.31
 2006-09,193.5,468.21
 2007-03,182.8,448.75
 2007-04,216.1,567.81
 2007-05,242.7,650.34
 2007-06,144.2,495.23
 2007-07,142.5,514.63
 2007-08,194.4,537.40
 2007-09,130.5,384.89
 2008-03,221.4,496.94
 2008-04,207.9,559.07
 2008-05,226.8,621.75
 2008-06,104.5,470.72
 2008-07,185.7,526.15
 2008-08,223.0,606.59
 2008-09,173.4,485.96
 2009-03,202.1,543.56
 2009-04,252.1,663.59
 2009-05,265.8,753.04
 2009-06,194.6,654.69
 2009-07,128.0,499.46
 2009-08,188.9,609.20
 2009-09,212.4,543.05
 2010-03,137.7,412.31
 2010-04,192.8,574.44
 2010-05,220.5,690.68
 2010-06,200.9,594.97
 2010-07,138.3,526.90
 2010-08,187.1,556.80
 2010-09,187.3,615.29
 2011-03,257.8,742.92
 2011-04,258.4,745.60
 2011-05,194.6,686.25
 2011-06,166.4,595.93
 2011-07,157.9,577.53
 2011-08,123.6,516.50
 2011-09,223.9,618.56
 2012-03,203.8,476.99
 2012-04,228.3,557.52
 2012-05,252.9,681.91
 2012-06,208.0,621.25
 2012-07,183.2,521.99
 2012-08,192.3,520.93
 2012-09,226.2,499.10
 2013-03,260.2,571.04
 2013-04,243.5,584.74
 2013-05,272.3,676.33
 2013-06,187.2,577.97
 2013-07,212.8,554.67
 2013-08,285.9,645.09
 2013-09,222.0,509.45
 2014-03,217.1,701.74
 2014-04,220.3,741.01
 2014-05,300.5,956.35
 2014-06,203.9,612.18
 2014-07,160.6,499.06
 2014-08,128.2,425.58
 2014-09,207.9,526.59
 2015-03,253.5,790.61
 2015-04,197.9,502.37
 2015-05,287.5,710.21
 2015-06,184.6,553.90
 2015-07,204.3,529.61
 2015-08,229.0,576.60
 2015-09,251.2,540.85
 2016-03,251.1,526.37
 2016-04,206.6,519.41
 2016-05,269.4,674.49
 2016-06,189.2,559.20
 2016-07,225.6,594.35
 2016-08,301.4,699.98
 2016-09,169.3,438.25
 2017-03,238.0,537.42
 2017-04,260.2,608.08
 2017-05,288.4,720.95
 2017-06,235.4,663.68
 2017-07,169.0,486.58
 2017-08,253.7,584.50
 2017-09,231.1,507.84
 2018-03,214.4,482.26
 2018-04,229.6,582.69
 2018-05,203.0,568.03
 2018-06,223.0,624.44
 2018-07,287.3,694.71
 2018-08,260.6,593.00
