다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 경주시,구미,문경,봉화,상주,안동,영덕,영주,영천,울릉도,울진,의성,청송군,포항
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,254.1,764.98
 1980-04,245.8,876.32
 1980-05,302.9,1120.01
 1980-06,268.7,1015.96
 1980-07,192.4,758.21
 1980-08,165.2,577.81
 1980-09,248.0,877.25
 1981-03,264.8,795.45
 1981-04,263.3,934.72
 1981-05,295.2,1125.23
 1981-06,265.7,1034.52
 1981-07,227.1,1002.71
 1981-08,231.2,915.85
 1981-09,242.6,1014.00
 1982-03,250.6,473.76
 1982-04,275.4,521.61
 1982-05,268.0,581.59
 1982-06,316.1,663.95
 1982-07,258.1,553.85
 1982-08,241.6,502.21
 1982-09,270.3,508.68
 1983-03,249.9,429.14
 1983-04,249.7,462.55
 1983-05,310.2,603.61
 1983-06,292.1,593.90
 1983-07,229.3,504.81
 1983-08,247.0,503.26
 1983-09,188.3,350.06
 1984-03,272.2,463.01
 1984-04,252.1,430.28
 1984-05,320.5,635.99
 1984-06,252.3,493.78
 1984-07,234.0,512.80
 1984-08,258.2,516.70
 1984-09,219.7,381.42
 1985-03,247.0,417.79
 1985-04,267.8,515.71
 1985-05,279.8,543.02
 1985-06,256.5,509.18
 1985-07,260.1,526.59
 1985-08,254.3,491.37
 1985-09,150.4,326.88
 1986-03,251.1,435.75
 1986-04,292.9,569.70
 1986-05,285.8,619.75
 1986-06,235.8,470.49
 1986-07,210.7,442.33
 1986-08,243.7,469.25
 1986-09,238.8,415.40
 1987-03,236.5,409.57
 1987-04,265.7,529.68
 1987-05,298.7,600.67
 1987-06,292.4,585.15
 1987-07,221.4,469.69
 1987-08,219.3,361.76
 1987-09,252.6,475.66
 1988-03,248.3,378.68
 1988-04,286.7,458.02
 1988-05,284.0,497.53
 1988-06,263.3,443.69
 1988-07,179.0,319.73
 1988-08,263.2,420.06
 1988-09,227.3,323.26
 1989-03,247.9,355.18
 1989-04,296.3,498.57
 1989-05,304.5,541.66
 1989-06,258.1,517.32
 1989-07,223.5,437.55
 1989-08,265.7,485.60
 1989-09,188.5,336.81
 1990-03,226.4,392.67
 1990-04,252.6,440.90
 1990-05,272.0,487.04
 1990-06,218.0,406.70
 1990-07,245.2,458.16
 1990-08,290.0,524.23
 1990-09,193.1,347.49
 1991-03,216.8,370.03
 1991-04,279.2,518.11
 1991-05,291.3,595.93
 1991-06,275.8,549.51
 1991-07,185.2,388.13
 1991-08,236.3,475.11
 1991-09,213.9,369.77
 1992-03,190.1,345.01
 1992-04,245.5,492.85
 1992-05,284.2,592.99
 1992-06,273.5,576.36
 1992-07,278.0,587.76
 1992-08,181.5,400.66
 1992-09,187.4,367.20
