다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 거제,거창,김해시,남해,밀양,북창원,산청,양산시,의령군,진주,창원,통영,함양군,합천
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,231.4,757.47
 1980-04,238.9,875.08
 1980-05,284.3,1092.90
 1980-06,259.7,905.74
 1980-07,178.1,668.36
 1980-08,163.8,572.30
 1980-09,245.2,781.39
 1981-03,249.1,735.43
 1981-04,252.9,924.74
 1981-05,276.2,1007.72
 1981-06,213.0,948.37
 1981-07,213.3,997.70
 1981-08,244.2,958.37
 1981-09,228.3,870.28
 1982-03,251.8,541.05
 1982-04,239.9,523.08
 1982-05,253.3,590.21
 1982-06,281.1,566.95
 1982-07,219.2,487.04
 1982-08,219.5,510.43
 1982-09,234.0,468.69
 1983-03,232.7,471.96
 1983-04,220.1,487.94
 1983-05,263.6,590.26
 1983-06,270.6,574.46
 1983-07,211.2,465.31
 1983-08,233.3,519.58
 1983-09,179.9,388.86
 1984-03,245.6,513.02
 1984-04,221.6,485.65
 1984-05,296.6,650.56
 1984-06,203.9,490.58
 1984-07,212.5,506.85
 1984-08,260.3,555.36
 1984-09,187.6,400.91
 1985-03,220.7,437.12
 1985-04,245.0,538.06
 1985-05,244.2,529.31
 1985-06,226.5,467.57
 1985-07,249.0,559.84
 1985-08,242.8,519.10
 1985-09,186.2,392.42
 1986-03,239.1,478.75
 1986-04,264.3,581.77
 1986-05,275.7,620.49
 1986-06,221.8,464.86
 1986-07,194.7,446.88
 1986-08,271.4,538.42
 1986-09,211.8,402.39
 1987-03,205.5,427.75
 1987-04,235.8,535.38
 1987-05,266.1,615.22
 1987-06,271.4,597.56
 1987-07,170.4,411.41
 1987-08,161.8,394.64
 1987-09,227.4,462.23
 1988-03,219.1,428.68
 1988-04,263.4,550.35
 1988-05,261.8,579.92
 1988-06,238.5,492.34
 1988-07,213.4,435.39
 1988-08,267.4,534.60
 1988-09,218.5,428.13
 1989-03,241.1,480.56
 1989-04,281.1,562.22
 1989-05,274.9,575.90
 1989-06,257.4,518.70
 1989-07,246.2,482.64
 1989-08,270.4,515.70
 1989-09,153.1,346.26
 1990-03,230.1,410.77
 1990-04,251.1,500.99
 1990-05,254.1,519.96
 1990-06,210.5,472.08
 1990-07,248.1,532.24
 1990-08,318.0,626.68
 1990-09,185.1,413.60
 1991-03,201.7,446.24
 1991-04,243.4,562.42
 1991-05,260.0,616.67
 1991-06,221.5,511.38
 1991-07,161.4,427.79
 1991-08,210.9,506.08
 1991-09,212.2,445.94
 1992-03,177.5,375.43
 1992-04,247.6,517.55
 1992-05,281.0,587.96
 1992-06,265.9,548.33
 1992-07,262.0,548.88
 1992-08,220.9,424.15
 1992-09,199.4,395.91
 1993-03,199.6,447.65
 1993-04,245.6,544.17
 1993-05,238.0,555.67
 1993-06,169.6,442.85
 1993-07,120.4,380.21
 1993-08,110.9,350.97
 1993-09,179.4,419.60
 1994-03,225.9,478.27
 1994-04,195.2,487.90
 1994-05,224.1,567.46
 1994-06,209.3,504.46
 1994-07,299.2,645.46
 1994-08,265.3,539.73
 1994-09,254.4,531.90
 1995-03,218.8,442.67
 1995-04,253.1,549.43
 1995-05,243.9,550.02
 1995-06,217.5,515.08
 1995-07,172.5,481.00
 1995-08,247.0,516.80
 1995-09,180.1,392.23
 1996-03,199.1,393.02
 1996-04,264.6,514.50
 1996-05,256.6,544.05
 1996-06,126.2,352.17
 1996-07,205.2,512.63
 1996-08,228.2,500.38
 1996-09,207.7,425.91
 1997-03,229.2,449.92
 1997-04,231.4,506.32
 1997-05,227.2,537.97
 1997-06,241.6,547.56
 1997-07,161.8,419.87
 1997-08,201.4,461.05
 1997-09,213.2,447.91
 1998-03,236.0,425.66
 1998-04,177.1,401.66
 1998-05,214.6,521.15
 1998-06,131.0,377.08
 1998-07,147.6,405.60
 1998-08,184.9,421.79
 1998-09,190.2,409.23
 1999-03,163.8,359.93
 1999-04,233.4,503.66
 1999-05,306.8,602.70
 1999-06,214.6,479.09
 1999-07,140.3,391.73
 1999-08,150.4,400.56
 1999-09,152.5,365.15
 2000-03,250.1,519.21
 2000-04,233.8,542.48
 2000-05,251.1,586.32
 2000-06,202.0,471.26
 2000-07,220.7,529.20
 2000-08,170.7,463.43
 2000-09,146.7,389.16
 2001-03,247.2,500.88
 2001-04,286.7,601.99
 2001-05,290.8,578.16
 2001-06,243.1,441.28
 2001-07,277.5,550.49
 2001-08,242.6,521.90
 2001-09,211.4,482.72
 2002-03,269.4,482.64
 2002-04,281.8,504.19
 2002-05,286.3,523.30
 2002-06,315.4,567.44
 2002-07,266.2,434.93
 2002-08,214.2,385.65
 2002-09,240.1,474.17
 2003-03,252.0,452.51
 2003-04,244.4,480.44
 2003-05,258.0,526.37
 2003-06,256.6,467.29
 2003-07,182.1,349.96
 2003-08,242.3,421.32
 2003-09,211.1,396.94
 2004-03,247.9,487.62
 2004-04,248.1,557.82
 2004-05,210.4,498.53
 2004-06,246.2,516.23
 2004-07,222.0,548.15
