다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 고산,서귀포,성산,성산,성산포,제주
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 1980-03,176.3,668.50
 1980-04,233.3,983.01
 1980-05,272.6,1243.48
 1980-06,192.6,921.71
 1980-07,165.3,790.06
 1980-08,147.1,701.75
 1980-09,218.5,938.15
 1981-03,206.3,752.93
 1981-04,215.7,888.62
 1981-05,272.7,1103.91
 1981-06,177.9,835.61
 1981-07,282.5,1251.67
 1981-08,229.5,1054.43
 1981-09,208.8,873.87
 1982-03,207.2,435.11
 1982-04,196.9,462.27
 1982-05,255.4,641.29
 1982-06,263.3,633.80
 1982-07,179.8,508.07
 1982-08,245.1,572.33
 1982-09,177.8,420.52
 1983-03,148.7,336.82
 1983-04,189.5,477.93
 1983-05,225.4,596.84
 1983-06,178.5,524.78
 1983-07,198.0,538.10
 1983-08,193.2,486.04
 1983-09,144.7,364.45
 1984-03,199.0,437.96
 1984-04,192.1,490.99
 1984-05,242.2,611.52
 1984-06,153.2,498.25
 1984-07,219.0,611.03
 1984-08,237.1,548.76
 1984-09,176.2,443.79
 1985-03,152.4,345.08
 1985-04,208.1,471.01
 1985-05,187.5,518.32
 1985-06,161.2,481.78
 1985-07,238.5,626.32
 1985-08,229.0,557.11
 1985-09,194.1,458.60
 1986-03,190.6,395.48
 1986-04,215.8,511.12
 1986-05,232.2,614.70
 1986-06,191.2,550.16
 1986-07,165.1,455.71
 1986-08,241.8,572.22
 1986-09,183.0,415.34
 1987-03,148.2,326.99
 1987-04,193.8,495.12
 1987-05,212.1,600.79
 1987-06,194.3,548.16
 1987-07,132.5,427.15
 1987-08,183.4,501.60
 1987-09,221.0,430.28
 1988-03,156.8,326.29
 1988-04,232.1,510.67
 1988-05,242.0,551.37
 1988-06,174.6,454.48
 1988-07,263.1,614.36
 1988-08,240.9,588.09
 1988-09,191.3,462.97
 1989-03,203.6,407.56
 1989-04,230.6,506.08
 1989-05,217.8,535.83
 1989-06,195.1,494.94
 1989-07,232.4,556.34
 1989-08,191.1,524.67
 1989-09,166.7,428.39
 1990-03,218.0,483.06
 1990-04,209.2,480.95
 1990-05,208.9,537.40
 1990-06,216.0,518.75
 1990-07,260.0,574.86
 1990-08,285.4,660.71
 1990-09,189.4,459.08
 1991-03,168.2,341.76
 1991-04,210.7,462.99
 1991-05,214.4,542.25
 1991-06,173.6,450.73
 1991-07,195.1,470.98
 1991-08,231.9,523.38
 1991-09,205.4,399.90
 1992-03,124.3,294.26
 1992-04,226.8,452.27
 1992-05,263.7,562.75
 1992-06,240.7,518.71
 1992-07,242.2,522.83
 1992-08,223.3,426.05
 1992-09,212.7,378.25
 1993-03,170.5,356.96
 1993-04,224.2,472.83
 1993-05,194.9,505.86
 1993-06,140.8,441.09
 1993-07,117.3,409.07
 1993-08,125.0,362.44
 1993-09,171.3,396.64
 1994-03,208.7,386.02
 1994-04,169.2,435.36
 1994-05,224.0,511.02
 1994-06,184.5,494.61
 1994-07,323.7,682.25
 1994-08,277.5,659.15
 1994-09,270.3,591.90
 1995-03,192.7,425.82
 1995-04,209.5,514.12
 1995-05,223.0,553.14
 1995-06,194.1,518.10
 1995-07,224.9,530.51
 1995-08,267.3,601.83
 1995-09,158.8,403.58
 1996-03,140.5,349.75
 1996-04,228.3,530.37
 1996-05,235.1,534.38
 1996-06,137.5,408.31
 1996-07,215.2,468.03
 1996-08,230.8,479.78
 1996-09,227.2,437.83
 1997-03,179.1,382.61
 1997-04,199.4,447.01
 1997-05,229.0,569.54
 1997-06,213.7,522.40
 1997-07,203.8,534.55
 1997-08,227.7,451.56
 1997-09,221.3,407.29
 1998-03,168.2,386.44
 1998-04,140.9,400.37
 1998-05,177.3,513.32
 1998-06,140.1,435.76
 1998-07,216.2,601.67
 1998-08,240.2,627.19
 1998-09,214.9,454.74
 1999-03,119.9,309.75
 1999-04,212.9,516.06
 1999-05,257.5,657.10
 1999-06,178.2,499.06
 1999-07,142.1,432.37
 1999-08,126.2,424.40
 1999-09,154.1,352.40
 2000-03,219.9,514.81
 2000-04,226.5,605.55
 2000-05,241.8,639.46
 2000-06,165.9,502.96
 2000-07,227.3,614.81
 2000-08,244.8,632.70
 2000-09,174.0,471.87
 2001-03,221.0,472.24
 2001-04,231.9,600.76
 2001-05,201.9,593.95
 2001-06,145.9,462.19
 2001-07,261.1,635.99
 2001-08,211.9,603.10
 2001-09,220.6,561.88
 2002-03,195.2,469.65
 2002-04,171.0,468.38
 2002-05,161.8,507.95
 2002-06,234.6,625.70
 2002-07,149.6,503.99
 2002-08,183.8,486.37
 2002-09,229.5,552.27
 2003-03,180.1,429.53
 2003-04,181.3,489.03
 2003-05,179.5,519.42
 2003-06,186.8,528.68
 2003-07,98.7,399.71
 2003-08,184.3,515.46
 2003-09,232.5,505.31
 2004-03,207.1,468.59
 2004-04,222.0,540.07
 2004-05,172.8,503.02
 2004-06,192.9,512.74
 2004-07,301.6,709.95
 2004-08,248.7,589.97
 2004-09,143.3,389.81
 2005-03,217.3,446.84
 2005-04,238.7,618.12
 2005-05,250.7,656.52
 2005-06,206.4,654.50
 2005-07,164.7,535.80
 2005-08,192.1,559.19
 2005-09,188.9,473.45
 2006-03,219.9,468.61
 2006-04,189.3,493.91
 2006-05,152.0,531.37
 2006-06,145.4,514.84
 2006-07,153.0,541.32
 2006-08,254.5,596.54
 2006-09,158.3,392.77
 2007-03,177.2,436.79
 2007-04,198.0,544.66
 2007-05,234.0,646.99
 2007-06,136.5,512.41
 2007-07,164.8,529.53
 2007-08,238.3,661.13
 2007-09,159.1,457.09
 2008-03,222.1,501.43
 2008-04,176.3,541.42
 2008-05,217.1,641.00
 2008-06,93.4,428.33
 2008-07,229.6,659.78
 2008-08,195.9,591.40
 2008-09,145.4,467.16
 2009-03,167.6,452.78
 2009-04,259.0,599.19
 2009-05,263.4,717.61
 2009-06,208.9,623.80
 2009-07,153.7,574.58
 2009-08,208.3,608.99
 2009-09,188.7,512.86
 2010-03,124.9,369.36
 2010-04,169.0,509.60
 2010-05,209.2,644.65
 2010-06,142.9,515.91
 2010-07,160.6,574.45
 2010-08,233.5,613.50
 2010-09,187.1,516.26
 2011-03,230.5,545.89
 2011-04,233.8,643.37
 2011-05,185.1,618.17
 2011-06,129.8,499.06
 2011-07,201.1,681.13
 2011-08,152.6,520.98
 2011-09,238.3,617.35
 2012-03,168.8,454.85
 2012-04,214.9,579.57
 2012-05,219.5,698.99
 2012-06,156.0,597.27
 2012-07,180.0,580.38
 2012-08,209.4,633.44
 2012-09,187.7,528.09
 2013-03,228.8,558.54
 2013-04,227.4,600.03
 2013-05,257.3,731.37
 2013-06,125.8,529.32
 2013-07,247.1,658.01
 2013-08,286.3,662.33
 2013-09,228.0,517.58
 2014-03,218.3,454.87
 2014-04,208.2,535.26
 2014-05,275.4,682.63
 2014-06,163.4,529.41
 2014-07,134.9,468.17
 2014-08,143.1,402.01
 2014-09,185.8,429.36
 2015-03,214.0,448.34
 2015-04,178.7,457.56
 2015-05,255.4,660.45
 2015-06,153.9,479.34
 2015-07,196.1,593.93
 2015-08,217.8,530.07
 2015-09,209.9,494.55
 2016-03,207.7,479.48
 2016-04,180.6,483.09
 2016-05,207.9,591.90
 2016-06,121.2,451.38
 2016-07,225.2,610.55
 2016-08,296.7,631.34
 2016-09,140.0,367.08
 2017-03,214.2,433.79
 2017-04,208.8,545.76
 2017-05,256.4,682.11
 2017-06,180.5,584.91
 2017-07,208.8,617.20
 2017-08,271.4,619.22
 2017-09,159.8,414.01
 2018-03,193.3,450.58
 2018-04,211.5,550.16
 2018-05,159.9,543.09
 2018-06,208.8,576.10
 2018-07,272.9,632.09
 2018-08,297.6,613.70
 2018-09,166.3,394.68
 2019-03,213.0,464.14
 2019-04,202.9,523.03
 2019-05,268.7,682.44
 2019-06,209.5,594.51
 2019-07,175.1,536.39
 2019-08,225.3,519.94
 2019-09,180.2,393.46
 2020-03,222.6,463.70
 2020-04,279.3,631.61
 2020-05,210.0,614.98
 2020-06,164.4,514.61
 2020-07,130.6,466.66
 2020-08,242.2,609.75
 2020-09,180.3,385.26
 2021-03,204.6,453.55
 2021-04,241.4,589.31
 2021-05,240.5,645.53
 2021-06,229.9,604.98
 2021-07,175.2,551.05
 2021-08,200.1,500.53
 2021-09,171.5,381.35
 2022-03,179.9,409.19
 2022-04,242.8,599.27
 2022-05,271.9,653.49
 2022-06,212.9,611.40
 2022-07,256.8,622.55
 2022-08,246.1,598.05
 2022-09,179.5,410.16
 평균,202.2,537.71

